Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1752267600.0 10024.1 NA 516 567 0 NA NA NA NA 690 777 0 NA NA NA NA 1293 648 247 NA NA NA NA 1204 1008 675 NA NA NA 
1752267600.0 10024.3 NA 515 544 0 NA NA NA NA 701 777 0 NA NA NA NA 1330 640 216 NA NA NA NA 1217 1126 605 NA NA NA 
1752267600.0 101.0 200 NA NA NA NA NA NA 576 NA NA NA NA NA NA 711 NA NA NA NA NA NA 1139 NA NA NA NA NA NA 
1752267600.0 102.0 371 NA NA NA NA NA NA 563 NA NA NA NA NA NA 654 NA NA NA NA NA NA 1016 NA NA NA NA NA NA 
1752267600.0 1020.0 NA 231 219 0 227 NA NA NA 354 341 0 352 NA NA NA 113 83 43 111 NA NA NA 373 176 127 345 NA NA 
1752267600.0 1040.1 NA 298 213 0 NA NA NA NA 434 316 0 NA NA NA NA 246 95 103 NA NA NA NA 541 237 260 NA NA NA 
1752267600.0 1049.0 NA 277 0 NA NA NA NA NA 411 0 NA NA NA NA NA 870 95 NA NA NA NA NA 1862 271 NA NA NA NA 
1752267600.0 105.0 289 361 238 NA NA NA NA 432 502 356 NA NA NA NA 1004 294 100 NA NA NA NA 1636 429 245 NA NA NA NA 
1752267600.0 10824.1 NA 507 577 0 NA NA NA NA 662 797 0 NA NA NA NA 1326 612 250 NA NA NA NA 1260 1053 557 NA NA NA 
1752267600.0 11634.1 NA 513 560 0 NA NA NA NA 677 770 0 NA NA NA NA 1355 626 258 NA NA NA NA 1189 1113 769 NA NA NA 
1752267600.0 11634.5 NA 500 367 0 NA NA NA NA 687 598 0 NA NA NA NA 1351 305 112 NA NA NA NA 1389 740 318 NA NA NA 
1752267600.0 12434.511 NA 512 344 0 NA NA NA NA 673 511 0 NA NA NA NA 1753 233 91 NA NA NA NA 1657 473 235 NA NA NA 
1752267600.0 12434.521 NA 514 343 0 NA NA NA NA 684 485 0 NA NA NA NA 1777 244 96 NA NA NA NA 1675 386 282 NA NA NA 
1752267600.0 12834.402 NA 507 436 0 NA NA NA NA 671 1179 0 NA NA NA NA 680 297 120 NA NA NA NA 780 675 336 NA NA NA 
1752267600.0 12834.412 NA 510 352 0 NA NA NA NA 703 506 0 NA NA NA NA 640 218 95 NA NA NA NA 664 416 251 NA NA NA 
1752267600.0 1325.1 NA 443 509 0 NA NA NA NA 595 727 0 NA NA NA NA 344 534 185 NA NA NA NA 572 1025 492 NA NA NA 
1752267600.0 1325.3 NA 441 498 0 NA NA NA NA 606 726 0 NA NA NA NA 343 499 181 NA NA NA NA 565 935 444 NA NA NA 
1752267600.0 135.12 766 0 443 350 NA NA NA 1074 0 634 511 NA NA NA 772 128 349 230 NA NA NA 1034 226 771 620 NA NA NA 
1752267600.0 135.2 721 0 441 350 NA NA NA 981 0 612 511 NA NA NA 650 121 313 228 NA NA NA 1203 328 687 522 NA NA NA 
1752267600.0 135.3 721 0 442 356 NA NA NA 966 0 625 508 NA NA NA 642 112 333 223 NA NA NA 873 268 729 450 NA NA NA 
1752267600.0 135.4 800 0 444 349 NA NA NA 1054 0 619 517 NA NA NA 708 118 341 225 NA NA NA 949 261 830 548 NA NA NA 
1752267600.0 135.5 768 0 444 357 NA NA NA 1043 0 620 515 NA NA NA 720 123 335 226 NA NA NA 1153 346 633 487 NA NA NA 
1752267600.0 135.6 771 0 450 351 NA NA NA 1073 0 627 512 NA NA NA 898 131 372 232 NA NA NA 1288 299 819 631 NA NA NA 
1752267600.0 135.7 771 0 447 351 NA NA NA 1042 0 626 513 NA NA NA 681 118 340 232 NA NA NA 1022 246 720 547 NA NA NA 
1752267600.0 135.8 397 NA NA NA NA NA NA 602 NA NA NA NA NA NA 574 NA NA NA NA NA NA 706 NA NA NA NA NA NA 
1752267600.0 135.9 768 0 443 350 NA NA NA 1060 0 626 515 NA NA NA 674 123 334 244 NA NA NA 1116 279 750 642 NA NA NA 
1752267600.0 136.733 NA 544 308 0 NA NA NA NA 770 446 0 NA NA NA NA 1133 173 114 NA NA NA NA 1127 347 270 NA NA NA 
1752267600.0 136.7801 NA 351 0 NA NA NA NA NA 497 0 NA NA NA NA NA 344 95 NA NA NA NA NA 764 219 NA NA NA NA 
1752267600.0 136.7802 NA 284 0 NA NA NA NA NA 412 0 NA NA NA NA NA 184 83 NA NA NA NA NA 374 154 NA NA NA NA 
1752267600.0 136.8855 NA 378 343 0 NA NA NA NA 509 568 0 NA NA NA NA 270 452 85 NA NA NA NA 419 782 237 NA NA NA 
1752267600.0 136.8885 NA 378 350 0 NA NA NA NA 508 562 0 NA NA NA NA 281 466 83 NA NA NA NA 405 783 200 NA NA NA 
1752267600.0 136.901 NA 599 572 462 293 532 561 NA 830 787 624 413 758 773 NA 16066 2032 1009 209 537 735 NA 41911 5358 2582 583 1555 2028 
1752267600.0 136.902 NA 605 571 456 292 335 565 NA 814 800 624 413 758 773 NA 13932 1763 1055 188 504 742 NA 36369 5024 2782 461 1313 1684 
1752267600.0 136.903 NA 634 605 535 312 587 592 NA 899 844 712 427 807 841 NA 21297 8410 2572 400 859 1736 NA 56971 21232 6975 1008 1899 4161 
1752267600.0 136.904 NA 634 605 518 301 567 589 NA 860 832 706 422 806 823 NA 19513 4794 1733 285 718 1226 NA 50472 13169 3875 613 1587 3069 
1752267600.0 138.3 NA 162 0 NA NA NA NA NA 235 0 NA NA NA NA NA 36 0 NA NA NA NA NA 205 0 NA NA NA NA 
1752267600.0 140.5611 NA 529 0 NA NA NA NA NA 726 0 NA NA NA NA NA 2222 82 NA NA NA NA NA 2507 179 NA NA NA NA 
1752267600.0 141.008405 NA 371 345 0 NA NA NA NA 518 502 0 NA NA NA NA 415 887 87 NA NA NA NA 504 828 237 NA NA NA 
1752267600.0 141.008411 NA 371 326 0 NA NA NA NA 519 481 0 NA NA NA NA 395 326 89 NA NA NA NA 481 605 202 NA NA NA 
1752267600.0 141.008421 NA 378 330 0 NA NA NA NA 513 474 0 NA NA NA NA 379 436 86 NA NA NA NA 427 688 222 NA NA NA 
1752267600.0 141.113 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 104 913 400 NA NA NA NA 293 1860 1115 NA NA NA 
1752267600.0 145.704 NA 739 1156 0 NA NA NA NA 1042 1569 0 NA NA NA NA 5482 74122 257 NA NA NA NA 5135 52463 687 NA NA NA 
1752267600.0 159.01 NA 479 0 NA NA NA NA NA 662 0 NA NA NA NA NA 1723 101 NA NA NA NA NA 2436 252 NA NA NA NA 
