Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3 
1754341200.0 1049.0 NA 276 0 NA 408 0 NA 843 85 NA 2135 252 
1754341200.0 2500.0001 NA 530 0 NA 750 0 NA 37023 78 NA 34119 176 
1754341200.0 2500.0002 NA 529 0 NA 851 0 NA 40244 78 NA 37442 187 
1754341200.0 2500.0003 NA 575 0 NA 832 0 NA 39269 79 NA 35936 189 
1754341200.0 2500.0103 NA 505 0 NA 743 0 NA 29706 88 NA 26879 336 
1754341200.0 2500.1001 NA 506 0 NA 833 0 NA 34658 79 NA 33286 193 
1754341200.0 2500.1301 NA 299 NA NA 458 NA NA 3636 NA NA 3087 NA 
1754341200.0 2500.2201 NA 460 NA NA 679 NA NA 3067 NA NA 3537 NA 
1754341200.0 2500.2206 NA 516 NA NA 712 NA NA 4181 NA NA 4567 NA 
1754341200.0 2500.2207 NA 345 NA NA 521 NA NA 6979 NA NA 7342 NA 
1754341200.0 2500.2208 NA 504 NA NA 777 NA NA 39969 NA NA 29681 NA 
1754341200.0 2500.2302 NA 516 NA NA 733 NA NA 2969 NA NA 2857 NA 
1754341200.0 2500.2306 NA 523 NA NA 714 NA NA 2904 NA NA 2863 NA 
1754341200.0 2500.2307 NA 303 NA NA 461 NA NA 4033 NA NA 3067 NA 
1754341200.0 2500.2308 NA 542 NA NA 797 NA NA 28007 NA NA 26455 NA 
1754341200.0 2500.3207 NA 388 NA NA 588 NA NA 6487 NA NA 8076 NA 
1754341200.0 2500.3307 NA 305 NA NA 460 NA NA 3729 NA NA 2785 NA 
1754341200.0 2500.9001 NA 341 NA NA 502 NA NA 775 NA NA 1203 NA 
1754341200.0 2500.9102 170 228 265 244 310 405 4475 121 149 9618 351 577 
1754341200.0 250199.18 613 NA NA 840 NA NA 2774 NA NA 3215 NA NA 
1754341200.0 503.0 221 0 NA 301 0 NA 1247 82 NA 1972 257 NA 
1754341200.0 507.0 224 0 NA 300 0 NA 594 89 NA 781 256 NA 
1754341200.0 508.0 225 0 NA 304 0 NA 124 80 NA 332 241 NA 
1754341200.0 510.0 225 0 NA 304 0 NA 1245 92 NA 1918 278 NA 
1754341200.0 511.0 228 0 NA 305 0 NA 2851 73 NA 8572 234 NA 
1754341200.0 512.0 66 230 0 243 313 0 3514 132 88 4641 353 350 
1754341200.0 513.0 168 229 0 242 311 0 912 128 85 860 292 272 
1754341200.0 514.0 166 234 0 243 315 0 480 116 79 471 281 184 
1754341200.0 516.0 65 233 0 243 310 0 3821 107 84 5505 332 304 
1754341200.0 517.0 168 230 0 242 313 0 530 115 74 512 272 156 
1754341200.0 520.0 169 233 0 242 316 0 527 109 84 443 241 296 
1754341200.0 522.0 167 223 0 242 304 0 892 101 84 847 290 233 
1754341200.0 523.0 169 227 0 243 303 0 1180 103 82 976 271 251 
1754341200.0 524.0 168 224 0 242 308 0 528 94 76 481 239 176 
1754341200.0 529.0 168 227 0 242 302 0 3999 90 83 5937 331 272 
1754341200.0 530.0 168 227 0 241 309 0 525 105 79 443 301 230 
1754341200.0 535.0 235 0 NA 327 0 NA 591 79 NA 644 180 NA 
1754341200.0 536.0 228 0 NA 317 0 NA 135 85 NA 399 267 NA 
1754341200.0 538.0 112 0 NA 325 0 NA 3969 84 NA 6326 293 NA 
1754341200.0 539.0 151 0 NA 309 0 NA 11653 76 NA 40725 177 NA 
1754341200.0 545.0 223 0 NA 304 0 NA 116 89 NA 360 270 NA 
1754341200.0 554.0 168 234 0 242 315 0 2467 111 80 1945 214 214 
1754341200.0 561.0 229 0 NA 304 0 NA 111 84 NA 248 252 NA 
1754341200.0 562.0 168 229 0 243 308 0 478 106 83 570 217 237 
1754341200.0 577.0 215 0 NA 289 0 NA 115 81 NA 240 231 NA 
