Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1751878800.0 136.903 NA 297 296 337 161 298 324 NA 492 433 443 230 445 467 NA 3993 1997 1709 341 553 821 NA 6764 3517 2509 524 869 1104 
1751878800.0 144.6 NA 413 NA NA NA NA NA NA 576 NA NA NA NA NA NA 1220 NA NA NA NA NA NA 1057 NA NA NA NA NA 
1751878800.0 2500.2204 NA 279 NA NA NA NA NA NA 462 NA NA NA NA NA NA 10108 NA NA NA NA NA NA 3816 NA NA NA NA NA 
1751878800.0 2500.2206 NA 263 NA NA NA NA NA NA 427 NA NA NA NA NA NA 2738 NA NA NA NA NA NA 1031 NA NA NA NA NA 
1751878800.0 2500.2207 NA 203 NA NA NA NA NA NA 327 NA NA NA NA NA NA 6358 NA NA NA NA NA NA 3415 NA NA NA NA NA 
1751878800.0 2500.2208 NA 313 NA NA NA NA NA NA 517 NA NA NA NA NA NA 25336 NA NA NA NA NA NA 11564 NA NA NA NA NA 
1751878800.0 2500.2304 NA 293 NA NA NA NA NA NA 450 NA NA NA NA NA NA 7045 NA NA NA NA NA NA 2325 NA NA NA NA NA 
1751878800.0 2500.3001 NA 295 0 NA NA NA NA NA 446 0 NA NA NA NA NA 5695 66 NA NA NA NA NA 3377 85 NA NA NA NA 
1751878800.0 2500.3204 NA 319 NA NA NA NA NA NA 439 NA NA NA NA NA NA 7524 NA NA NA NA NA NA 2451 NA NA NA NA NA 
1751878800.0 2500.3205 NA 284 NA NA NA NA NA NA 503 NA NA NA NA NA NA 8365 NA NA NA NA NA NA 3723 NA NA NA NA NA 
1751878800.0 2500.3207 NA 266 NA NA NA NA NA NA 394 NA NA NA NA NA NA 5733 NA NA NA NA NA NA 1883 NA NA NA NA NA 
1751878800.0 2500.3209 NA 277 NA NA NA NA NA NA 452 NA NA NA NA NA NA 5981 NA NA NA NA NA NA 4436 NA NA NA NA NA 
1751878800.0 2500.3304 NA 256 NA NA NA NA NA NA 383 NA NA NA NA NA NA 6485 NA NA NA NA NA NA 3209 NA NA NA NA NA 
1751878800.0 2500.3305 NA 285 NA NA NA NA NA NA 416 NA NA NA NA NA NA 7480 NA NA NA NA NA NA 3514 NA NA NA NA NA 
1751878800.0 2500.3308 NA 267 NA NA NA NA NA NA 461 NA NA NA NA NA NA 5997 NA NA NA NA NA NA 2533 NA NA NA NA NA 
1751878800.0 2500.3309 NA 243 NA NA NA NA NA NA 419 NA NA NA NA NA NA 3099 NA NA NA NA NA NA 1471 NA NA NA NA NA 
1751878800.0 34034.0 191 0 NA NA NA NA NA 247 0 NA NA NA NA NA 2263 0 NA NA NA NA NA 1654 0 NA NA NA NA NA 
1751878800.0 4.6 NA 415 0 NA NA NA NA NA 579 0 NA NA NA NA NA 1304 200 NA NA NA NA NA 1165 228 NA NA NA NA 
1751878800.0 529.0 25 83 0 NA NA NA NA 106 116 0 NA NA NA NA 3619 79 65 NA NA NA NA 3385 104 111 NA NA NA NA 
1751878800.0 538.0 98 0 NA NA NA NA NA 141 0 NA NA NA NA NA 3601 62 NA NA NA NA NA 2934 89 NA NA NA NA NA 
