Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3 
1752008400.0 144.6 NA 402 NA NA 559 NA NA 1306 NA NA 1307 NA 
1752008400.0 2500.2204 NA 281 NA NA 473 NA NA 11356 NA NA 4757 NA 
1752008400.0 2500.2207 NA 207 NA NA 331 NA NA 7717 NA NA 3289 NA 
1752008400.0 2500.2208 NA 315 NA NA 517 NA NA 26334 NA NA 13189 NA 
1752008400.0 2500.3001 NA 225 0 NA 438 0 NA 7272 86 NA 4106 149 
1752008400.0 2500.3205 NA 340 NA NA 511 NA NA 10669 NA NA 3749 NA 
1752008400.0 2500.3208 NA 320 NA NA 474 NA NA 9481 NA NA 3393 NA 
1752008400.0 2500.3209 NA 295 NA NA 437 NA NA 5829 NA NA 2594 NA 
1752008400.0 2500.3304 NA 282 NA NA 393 NA NA 8227 NA NA 3028 NA 
1752008400.0 2500.3305 NA 314 NA NA 432 NA NA 9440 NA NA 3533 NA 
1752008400.0 2500.3308 NA 296 NA NA 450 NA NA 7551 NA NA 3196 NA 
1752008400.0 29634.402 NA 0 NA NA 0 NA NA 0 NA NA 0 NA 
1752008400.0 29634.753 NA 0 NA NA 0 NA NA 0 NA NA 0 NA 
1752008400.0 29634.755 NA 0 NA NA 0 NA NA 0 NA NA 0 NA 
1752008400.0 29634.757 NA 0 NA NA 0 NA NA 0 NA NA 0 NA 
1752008400.0 34034.0 161 0 NA 250 0 NA 2900 0 NA 1985 0 NA 
