Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1753650000.0 141.044408 NA 217 119 NA NA NA 294 721 NA NA NA 321 126 NA NA NA 192 152 NA NA 
1753650000.0 141.044483 NA 259 0 NA NA NA 860 0 NA NA NA 610 119 NA NA NA 369 152 NA NA 
1753650000.0 160.03502 130 306 166 548 212 245 401 220 1217 290 3272 339 106 1579 194 3184 310 131 896 191 
1753650000.0 16834.403 NA 556 242 0 NA NA 1180 815 0 NA NA 621 323 133 NA NA 422 316 153 NA 
1753650000.0 16834.404 NA 518 175 NA NA NA 1142 732 NA NA NA 632 156 NA NA NA 420 173 NA NA 
1753650000.0 16834.407 NA 490 243 0 NA NA 1172 814 0 NA NA 638 313 108 NA NA 422 309 124 NA 
1753650000.0 16834.408 NA 522 174 NA NA NA 1139 736 NA NA NA 626 161 NA NA NA 412 180 NA NA 
1753650000.0 16834.424 NA 504 177 NA NA NA 1141 710 NA NA NA 655 189 NA NA NA 463 201 NA NA 
1753650000.0 16850.403 NA 539 238 0 NA NA 1172 816 0 NA NA 609 291 130 NA NA 412 296 149 NA 
1753650000.0 16850.404 NA 514 174 NA NA NA 1144 731 NA NA NA 587 151 NA NA NA 400 173 NA NA 
1753650000.0 16850.408 NA 509 175 NA NA NA 1109 738 NA NA NA 585 154 NA NA NA 398 188 NA NA 
1753650000.0 17034.402 NA 846 289 0 NA NA 1670 863 0 NA NA 2311 401 113 NA NA 1199 366 129 NA 
1753650000.0 17034.403 NA 862 300 0 NA NA 1657 893 0 NA NA 2499 398 122 NA NA 1232 334 158 NA 
1753650000.0 17034.404 NA 883 174 NA NA NA 1638 735 NA NA NA 2459 166 NA NA NA 1160 185 NA NA 
1753650000.0 17034.406 NA 853 316 0 NA NA 1663 923 0 NA NA 2451 482 125 NA NA 1163 351 144 NA 
1753650000.0 17034.407 NA 870 322 0 NA NA 1670 919 0 NA NA 2267 470 126 NA NA 1080 354 142 NA 
1753650000.0 17034.408 NA 834 176 NA NA NA 1645 741 NA NA NA 2476 156 NA NA NA 1185 187 NA NA 
1753650000.0 17034.424 NA 878 184 NA NA NA 1652 722 NA NA NA 2352 203 NA NA NA 1147 206 NA NA 
1753650000.0 17050.402 NA 842 282 0 NA NA 1616 873 0 NA NA 2278 375 111 NA NA 1125 329 127 NA 
1753650000.0 17050.403 NA 831 290 0 NA NA 1666 867 0 NA NA 2452 391 123 NA NA 1214 345 164 NA 
1753650000.0 17050.404 NA 830 173 NA NA NA 1611 736 NA NA NA 2362 152 NA NA NA 1120 170 NA NA 
1753650000.0 17050.406 NA 888 285 0 NA NA 1641 911 0 NA NA 2421 457 126 NA NA 1159 345 147 NA 
1753650000.0 17050.407 NA 837 314 0 NA NA 1662 928 0 NA NA 2386 455 124 NA NA 1137 344 141 NA 
1753650000.0 17050.408 NA 812 176 NA NA NA 1611 738 NA NA NA 2280 164 NA NA NA 1104 183 NA NA 
1753650000.0 17061.402 NA 794 278 0 NA NA 1683 860 0 NA NA 2405 356 110 NA NA 1156 315 127 NA 
1753650000.0 29634.403 NA 676 450 0 NA NA 4437 1218 0 NA NA 1175 733 119 NA NA 745 646 152 NA 
1753650000.0 29634.404 NA 691 226 NA NA NA 4432 940 NA NA NA 1157 465 NA NA NA 749 504 NA NA 
1753650000.0 29634.612 NA 319 241 0 NA NA 418 795 0 NA NA 458 321 136 NA NA 229 264 155 NA 
1753650000.0 29634.704 NA 680 363 0 NA NA 1352 1043 0 NA NA 1158 767 118 NA NA 725 675 137 NA 
1753650000.0 29834.402 NA 1567 892 0 NA NA 5584 1799 0 NA NA 6613 1816 125 NA NA 2604 977 146 NA 
1753650000.0 29834.403 NA 1467 879 0 NA NA 5600 1669 0 NA NA 6299 1910 150 NA NA 2708 1065 169 NA 
1753650000.0 29834.404 NA 1496 234 NA NA NA 5742 955 NA NA NA 6700 452 NA NA NA 2656 482 NA NA 
1753650000.0 29834.704 NA 1534 756 0 NA NA 2496 1667 0 NA NA 6542 2119 139 NA NA 2568 1010 155 NA 
