Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1758747600.0 1002.5 NA 274 303 0 0 NA NA 2097370 2097340 0 0 NA NA 322 550 511 262 NA NA 482 600 593 334 NA 
1758747600.0 101.0 348 NA NA NA NA NA 2097420 NA NA NA NA NA 885 NA NA NA NA NA 721 NA NA NA NA NA 
1758747600.0 1010.0 NA 170 213 0 NA NA NA 2097320 2097310 0 NA NA NA 107 169 113 NA NA NA 196 216 164 NA NA 
1758747600.0 102.0 340 NA NA NA NA NA 2097420 NA NA NA NA NA 822 NA NA NA NA NA 667 NA NA NA NA NA 
1758747600.0 1020.0 NA 192 149 0 194 NA NA 2097330 2097320 0 2097320 NA NA 186 94 50 172 NA NA 337 136 76 236 NA 
1758747600.0 103.0 259 0 0 NA NA NA 2097300 0 0 NA NA NA 570 116 1286 NA NA NA 552 146 1587 NA NA NA 
1758747600.0 1040.1 NA 246 156 0 NA NA NA 2097350 2097300 0 NA NA NA 332 101 148 NA NA NA 465 139 201 NA NA 
1758747600.0 1041.0 NA 253 195 0 NA NA NA 2097350 2097310 0 NA NA NA 225 128 65 NA NA NA 330 169 94 NA NA 
1758747600.0 1042.0 NA 255 159 0 NA NA NA 2097350 2097310 0 NA NA NA 423 104 50 NA NA NA 591 116 78 NA NA 
1758747600.0 1046.0 NA 218 172 0 NA NA NA 2097330 2097320 0 NA NA NA 288 105 47 NA NA NA 272 146 69 NA NA 
1758747600.0 1047.0 NA 222 199 0 NA NA NA 2097330 2097340 0 NA NA NA 291 142 57 NA NA NA 255 170 93 NA NA 
1758747600.0 1048.0 NA 223 186 0 NA NA NA 2097330 2097330 0 NA NA NA 292 130 45 NA NA NA 265 167 75 NA NA 
1758747600.0 1049.0 NA 207 0 NA NA NA NA 2097340 0 NA NA NA NA 914 90 NA NA NA NA 944 129 NA NA NA 
1758747600.0 1052.0 NA 348 272 0 NA NA NA 2097440 2097380 0 NA NA NA 446 188 48 NA NA NA 590 223 85 NA NA 
1758747600.0 1052.1 NA 246 0 NA NA NA NA 2097380 0 NA NA NA NA 184 48 NA NA NA NA 197 60 NA NA NA 
1758747600.0 106.0 239 0 0 NA NA NA 2097300 0 0 NA NA NA 564 111 1245 NA NA NA 584 179 1524 NA NA NA 
1758747600.0 110.0 249 372 638 NA NA NA 2097310 2097370 2097570 NA NA NA 592 417 1455 NA NA NA 606 282 1568 NA NA NA 
1758747600.0 111.0 239 345 649 NA NA NA 2097340 2097380 2097580 NA NA NA 822 324 1523 NA NA NA 762 322 1881 NA NA NA 
