Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1757538000.0 141.044406 NA 198 193 0 NA NA 293 753 0 NA NA 290 1282 60 NA NA 171 702 79 NA 
1757538000.0 141.044407 NA 198 205 0 NA NA 291 782 0 NA NA 282 1354 75 NA NA 161 710 115 NA 
1757538000.0 141.044408 NA 198 157 NA NA NA 298 690 NA NA NA 284 854 NA NA NA 164 600 NA NA 
1757538000.0 141.044412 NA 197 179 0 NA NA 288 709 0 NA NA 283 198 64 NA NA 162 191 80 NA 
1757538000.0 141.044413 NA 199 182 0 NA NA 294 707 0 NA NA 283 231 71 NA NA 160 187 89 NA 
1757538000.0 141.044414 NA 198 115 NA NA NA 288 605 NA NA NA 287 70 NA NA NA 164 89 NA NA 
1757538000.0 141.044422 NA 199 182 0 NA NA 296 698 0 NA NA 289 215 63 NA NA 166 178 81 NA 
1757538000.0 141.044423 NA 199 180 0 NA NA 293 692 0 NA NA 285 216 69 NA NA 168 179 87 NA 
1757538000.0 141.044424 NA 198 114 NA NA NA 290 605 NA NA NA 284 70 NA NA NA 169 91 NA NA 
1757538000.0 141.044483 NA 262 0 NA NA NA 858 0 NA NA NA 1598 93 NA NA NA 810 112 NA NA 
1757538000.0 160.03502 121 286 149 566 197 241 393 217 1182 289 2808 318 98 1444 173 2575 289 131 793 175 
1757538000.0 16834.402 NA 506 225 0 NA NA 1160 774 0 NA NA 552 253 86 NA NA 369 255 101 NA 
1757538000.0 16834.403 NA 509 235 0 NA NA 1172 795 0 NA NA 559 255 97 NA NA 380 255 117 NA 
1757538000.0 16834.404 NA 505 186 NA NA NA 1151 703 NA NA NA 554 129 NA NA NA 364 154 NA NA 
1757538000.0 16834.406 NA 466 226 0 NA NA 1186 783 0 NA NA 556 255 93 NA NA 376 270 112 NA 
1757538000.0 16834.407 NA 506 236 0 NA NA 1163 809 0 NA NA 550 259 95 NA NA 363 269 113 NA 
1757538000.0 16834.408 NA 506 184 NA NA NA 1153 710 NA NA NA 549 127 NA NA NA 369 143 NA NA 
1757538000.0 16834.412 NA 507 214 0 NA NA 1151 761 0 NA NA 553 241 63 NA NA 370 260 81 NA 
1757538000.0 16834.413 NA 506 215 0 NA NA 1184 757 0 NA NA 550 241 64 NA NA 365 260 81 NA 
1757538000.0 16834.422 NA 509 208 0 NA NA 1170 739 0 NA NA 554 238 58 NA NA 373 250 75 NA 
1757538000.0 16834.423 NA 506 211 0 NA NA 1170 736 0 NA NA 553 240 59 NA NA 369 236 76 NA 
1757538000.0 16834.424 NA 506 186 NA NA NA 1136 700 NA NA NA 555 158 NA NA NA 365 162 NA NA 
1757538000.0 16850.402 NA 491 224 0 NA NA 1133 775 0 NA NA 538 241 85 NA NA 383 261 105 NA 
1757538000.0 16850.403 NA 493 230 0 NA NA 1154 782 0 NA NA 533 243 91 NA NA 370 251 109 NA 
1757538000.0 16850.404 NA 486 183 NA NA NA 1132 702 NA NA NA 524 125 NA NA NA 360 141 NA NA 
1757538000.0 16850.406 NA 490 221 0 NA NA 1152 772 0 NA NA 536 240 87 NA NA 376 248 103 NA 
1757538000.0 16850.407 NA 487 231 0 NA NA 1147 785 0 NA NA 538 250 87 NA NA 380 267 104 NA 
1757538000.0 16850.408 NA 488 182 NA NA NA 1122 702 NA NA NA 537 126 NA NA NA 362 142 NA NA 
1757538000.0 16861.402 NA 473 217 0 NA NA 1122 743 0 NA NA 502 229 72 NA NA 354 247 89 NA 
1757538000.0 17034.402 NA 869 284 0 NA NA 1675 856 0 NA NA 2141 337 97 NA NA 973 298 114 NA 
1757538000.0 17034.403 NA 876 297 0 NA NA 1698 869 0 NA NA 2074 344 106 NA NA 945 289 124 NA 
1757538000.0 17034.404 NA 866 186 NA NA NA 1659 711 NA NA NA 2093 131 NA NA NA 972 157 NA NA 
1757538000.0 17034.406 NA 868 291 0 NA NA 1670 858 0 NA NA 2047 375 105 NA NA 933 301 121 NA 
1757538000.0 17034.407 NA 860 314 0 NA NA 1666 897 0 NA NA 2041 394 107 NA NA 947 301 125 NA 
1757538000.0 17034.408 NA 878 184 NA NA NA 1674 713 NA NA NA 2171 132 NA NA NA 976 158 NA NA 
1757538000.0 17034.412 NA 863 524 0 NA NA 1676 1116 0 NA NA 2044 559 63 NA NA 966 431 80 NA 
1757538000.0 17034.413 NA 892 496 0 NA NA 1754 1140 0 NA NA 2126 576 65 NA NA 975 446 85 NA 
1757538000.0 17034.422 NA 871 488 0 NA NA 1671 1136 0 NA NA 2158 507 58 NA NA 965 387 75 NA 
