Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1758834000.0 1.0 150 184 320 NA NA NA NA NA 238 260 440 NA NA NA NA NA 606 172 463 NA NA NA NA NA 648 395 913 NA NA NA NA NA 
1758834000.0 10003.0 NA 295 506 0 152 173 NA NA NA 425 763 0 229 280 NA NA NA 929 1183 211 170 269 NA NA NA 656 2006 346 297 400 NA NA 
1758834000.0 1002.3 NA 510 232 0 NA NA NA NA NA 730 359 0 NA NA NA NA NA 3770 350 121 NA NA NA NA NA 2496 475 190 NA NA NA NA 
1758834000.0 1002.5 NA 153 140 0 0 NA NA NA NA 238 210 0 0 NA NA NA NA 171 114 100 51 NA NA NA NA 400 203 243 126 NA NA NA 
1758834000.0 10024.0 NA 305 526 0 182 175 NA NA NA 421 778 0 311 287 NA NA NA 963 1309 283 196 275 NA NA NA 691 1845 626 321 618 NA NA 
1758834000.0 10024.1 NA 328 315 0 NA NA NA NA NA 433 443 0 NA NA NA NA NA 615 343 187 NA NA NA NA NA 398 576 378 NA NA NA NA 
1758834000.0 10024.3 NA 328 288 0 NA NA NA NA NA 437 427 0 NA NA NA NA NA 629 317 153 NA NA NA NA NA 407 549 332 NA NA NA NA 
1758834000.0 10026.0 NA 307 532 0 156 175 NA NA NA 443 745 0 232 279 NA NA NA 817 1508 315 190 268 NA NA NA 630 1804 593 348 485 NA NA 
1758834000.0 1003.0 NA 405 0 NA NA NA NA NA NA 671 0 NA NA NA NA NA NA 1312 117 NA NA NA NA NA NA 1269 303 NA NA NA NA NA 
1758834000.0 1005.0 NA 216 163 0 0 NA NA NA NA 387 260 0 0 NA NA NA NA 280 106 38 53 NA NA NA NA 660 204 101 153 NA NA NA 
1758834000.0 10059.0 NA 310 528 0 155 175 NA NA NA 423 797 0 233 287 NA NA NA 957 1711 333 172 285 NA NA NA 665 2075 701 296 510 NA NA 
1758834000.0 101.0 180 NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA 318 NA NA NA NA NA NA NA 475 NA NA NA NA NA NA NA 
1758834000.0 1010.0 NA 90 109 0 NA NA NA NA NA 155 175 0 NA NA NA NA NA 71 85 55 NA NA NA NA NA 188 220 155 NA NA NA NA 
1758834000.0 102.0 179 NA NA NA NA NA NA NA 289 NA NA NA NA NA NA NA 300 NA NA NA NA NA NA NA 458 NA NA NA NA NA NA NA 
1758834000.0 1020.0 NA 96 85 0 95 NA NA NA NA 167 158 0 167 NA NA NA NA 96 64 26 89 NA NA NA NA 263 168 75 308 NA NA NA 
1758834000.0 10224.15 NA 454 745 0 196 NA NA NA NA 673 1053 0 300 NA NA NA NA 2086 2299 341 368 NA NA NA NA 1255 2245 638 667 NA NA NA 
1758834000.0 10225.0 NA 468 746 0 174 NA NA NA NA 654 1032 0 281 NA NA NA NA 2011 1886 321 271 NA NA NA NA 1234 2100 575 415 NA NA NA 
1758834000.0 103.0 115 0 0 NA NA NA NA NA 173 0 0 NA NA NA NA NA 288 69 630 NA NA NA NA NA 386 271 1094 NA NA NA NA NA 
1758834000.0 1030.0 NA 285 100 0 0 NA NA NA NA 453 165 0 0 NA NA NA NA 2167 85 26 26 NA NA NA NA 1006 200 81 81 NA NA NA 
1758834000.0 1040.1 NA 133 86 0 NA NA NA NA NA 205 145 0 NA NA NA NA NA 192 68 46 NA NA NA NA NA 477 221 108 NA NA NA NA 
1758834000.0 1041.0 NA 132 92 0 NA NA NA NA NA 212 155 0 NA NA NA NA NA 127 70 29 NA NA NA NA NA 314 235 70 NA NA NA NA 
1758834000.0 1042.0 NA 130 89 0 NA NA NA NA NA 213 152 0 NA NA NA NA NA 311 70 29 NA NA NA NA NA 656 165 88 NA NA NA NA 
1758834000.0 10424.0 NA 260 508 0 NA NA NA NA NA 358 754 0 NA NA NA NA NA 264 1165 213 NA NA NA NA NA 443 1772 382 NA NA NA NA 
1758834000.0 1046.0 NA 104 89 0 NA NA NA NA NA 173 153 0 NA NA NA NA NA 122 69 26 NA NA NA NA NA 228 213 59 NA NA NA NA 
1758834000.0 1047.0 NA 103 107 0 NA NA NA NA NA 175 178 0 NA NA NA NA NA 129 88 31 NA NA NA NA NA 209 221 87 NA NA NA NA 
1758834000.0 1048.0 NA 103 99 0 NA NA NA NA NA 177 164 0 NA NA NA NA NA 120 83 26 NA NA NA NA NA 218 189 71 NA NA NA NA 
1758834000.0 1049.0 NA 111 0 NA NA NA NA NA NA 181 0 NA NA NA NA NA NA 851 60 NA NA NA NA NA NA 1198 187 NA NA NA NA NA 
1758834000.0 105.0 151 188 99 NA NA NA NA NA 235 262 157 NA NA NA NA NA 617 158 82 NA NA NA NA NA 507 328 219 NA NA NA NA NA 
1758834000.0 1052.0 NA 216 164 0 NA NA NA NA NA 385 264 0 NA NA NA NA NA 246 109 27 NA NA NA NA NA 589 283 81 NA NA NA NA 
