Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1757624400.0 103.0 107 0 0 NA NA 173 0 0 NA NA 242 59 578 NA NA 270 78 662 NA NA 
1757624400.0 106.0 109 0 0 NA NA 173 0 0 NA NA 239 65 585 NA NA 268 99 601 NA NA 
1757624400.0 108.0 140 184 396 NA NA 240 271 565 NA NA 881 183 760 NA NA 494 212 810 NA NA 
1757624400.0 110.0 113 174 386 NA NA 182 264 566 NA NA 258 172 703 NA NA 264 227 762 NA NA 
1757624400.0 111.0 116 165 371 NA NA 185 257 537 NA NA 288 118 663 NA NA 299 152 743 NA NA 
1757624400.0 119.0 131 178 380 NA NA 235 263 560 NA NA 512 166 718 NA NA 309 143 723 NA NA 
1757624400.0 120.0 113 174 373 NA NA 186 261 553 NA NA 232 164 687 NA NA 254 198 739 NA NA 
1757624400.0 122.0 112 166 368 NA NA 186 246 539 NA NA 259 120 665 NA NA 262 164 713 NA NA 
1757624400.0 126.0 115 175 381 NA NA 177 266 551 NA NA 377 165 715 NA NA 310 218 738 NA NA 
1757624400.0 127.0 119 174 378 NA NA 187 271 532 NA NA 311 165 688 NA NA 291 192 765 NA NA 
1757624400.0 128.0 112 173 368 NA NA 173 267 553 NA NA 230 165 692 NA NA 244 218 833 NA NA 
1757624400.0 129.0 116 176 373 NA NA 182 258 542 NA NA 228 170 677 NA NA 309 216 773 NA NA 
1757624400.0 130.0 112 132 374 NA NA 179 263 560 NA NA 248 176 680 NA NA 266 199 758 NA NA 
1757624400.0 131.0 113 176 372 NA NA 176 263 535 NA NA 355 164 721 NA NA 312 169 739 NA NA 
1757624400.0 144.6 NA 402 NA NA NA NA 561 NA NA NA NA 1568 NA NA NA NA 1412 NA NA NA 
1757624400.0 23634.0 NA 660 716 0 272 NA 864 929 0 381 NA 983 1290 250 507 NA 783 1060 264 502 
1757624400.0 24034.0 NA 554 683 0 270 NA 695 866 0 370 NA 831 1261 237 498 NA 486 1009 279 467 
1757624400.0 24834.911 171 661 695 0 275 239 862 955 0 381 3934 2511 2735 712 506 2369 1627 1661 787 494 
1757624400.0 2500.0002 NA 283 0 NA NA NA 543 0 NA NA NA 27878 60 NA NA NA 10059 79 NA NA 
1757624400.0 2500.2204 NA 307 NA NA NA NA 464 NA NA NA NA 8728 NA NA NA NA 2722 NA NA NA 
1757624400.0 2500.2208 NA 311 NA NA NA NA 504 NA NA NA NA 26241 NA NA NA NA 9497 NA NA NA 
1757624400.0 2500.2308 NA 327 NA NA NA NA 528 NA NA NA NA 20042 NA NA NA NA 6619 NA NA NA 
1757624400.0 2500.2309 NA 102 NA NA NA NA 167 NA NA NA NA 3784 NA NA NA NA 2225 NA NA NA 
1757624400.0 2500.3208 NA 260 NA NA NA NA 478 NA NA NA NA 9426 NA NA NA NA 3140 NA NA NA 
1757624400.0 2500.3209 NA 302 NA NA NA NA 443 NA NA NA NA 5607 NA NA NA NA 1863 NA NA NA 
1757624400.0 250205.0 NA 438 524 0 NA NA 656 720 0 NA NA 2205 1044 173 NA NA 979 900 228 NA 
1757624400.0 25234.0 174 655 725 0 275 231 874 926 0 369 1945 997 1327 252 536 1147 845 1132 268 600 
1757624400.0 25634.0 164 628 660 0 240 223 853 908 0 374 1978 1107 1423 266 571 1153 807 1352 334 626 
1757624400.0 26034.0 169 622 670 0 266 231 861 906 0 382 2152 1107 1521 268 568 1204 919 1522 332 550 
1757624400.0 26434.0 159 584 694 0 262 221 825 974 0 377 2112 1113 1456 276 539 1125 874 1400 318 519 
1757624400.0 26834.0 167 630 678 0 263 234 872 942 0 381 1862 1030 1415 235 499 970 820 1415 310 549 
1757624400.0 27234.0 176 630 678 0 267 237 871 925 0 392 2047 1113 1445 281 550 1082 853 1444 346 541 
1757624400.0 27634.0 166 626 671 0 240 225 865 959 0 386 2062 1094 1459 266 575 1150 931 1370 321 575 
1757624400.0 28034.0 173 628 667 0 269 235 860 904 0 366 1820 1036 1425 234 501 1003 819 1340 309 576 
1757624400.0 28434.0 160 634 690 0 266 221 845 977 0 378 2083 1077 1456 271 573 1153 809 1413 362 556 
1757624400.0 28834.0 167 624 688 0 264 234 855 938 0 374 1860 1043 1414 235 500 897 840 1322 295 591 
1757624400.0 29234.0 173 624 687 0 243 229 845 963 0 376 1803 1043 1410 234 516 1006 873 1439 295 574 
1757624400.0 29634.0 NA 637 664 0 256 NA 873 976 0 376 NA 1109 1558 274 531 NA 797 1462 333 531 
1757624400.0 29634.702 NA 636 672 0 256 NA 864 947 0 367 NA 1104 1570 274 539 NA 810 1679 303 554 
1757624400.0 29634.773 NA 627 NA NA NA NA 898 NA NA NA NA 1301 NA NA NA NA 850 NA NA NA 
1757624400.0 29634.9 NA 633 683 0 257 NA 833 938 0 376 NA 1121 1596 273 574 NA 840 1613 289 583 
1757624400.0 29634.911 174 636 695 0 215 241 894 961 0 381 4345 2899 3122 854 574 2591 1947 2483 984 617 
1757624400.0 29661.0 NA 580 630 0 253 NA 791 846 0 372 NA 975 1245 239 536 NA 744 1149 303 561 
