Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1757494800.0 141.044412 NA 198 152 0 NA 292 810 0 NA 284 193 64 NA 180 176 79 
1757494800.0 160.03502 163 284 150 0 237 406 216 0 2837 324 94 0 2750 371 107 0 
1757494800.0 16834.402 NA 477 199 0 NA 1283 814 0 NA 552 250 85 NA 360 256 100 
1757494800.0 16834.403 NA 476 205 0 NA 1253 844 0 NA 553 268 95 NA 372 416 110 
1757494800.0 16834.404 NA 476 158 NA NA 1235 760 NA NA 542 128 NA NA 361 148 NA 
1757494800.0 16834.406 NA 475 198 0 NA 1261 817 0 NA 554 252 91 NA 364 274 107 
1757494800.0 16834.407 NA 481 207 0 NA 1284 836 0 NA 562 261 92 NA 372 267 108 
1757494800.0 16834.408 NA 472 158 NA NA 1234 760 NA NA 545 127 NA NA 356 147 NA 
1757494800.0 16834.412 NA 471 189 0 NA 1250 864 0 NA 548 238 62 NA 365 257 79 
1757494800.0 16834.413 NA 474 190 0 NA 1276 853 0 NA 552 239 64 NA 360 248 83 
1757494800.0 16834.422 NA 477 179 0 NA 1252 807 0 NA 551 237 58 NA 363 246 73 
1757494800.0 16834.423 NA 471 181 0 NA 1274 795 0 NA 555 242 59 NA 357 243 74 
1757494800.0 16834.424 NA 475 160 NA NA 1238 768 NA NA 553 158 NA NA 377 167 NA 
1757494800.0 16850.402 NA 459 195 0 NA 1264 810 0 NA 530 238 84 NA 358 244 104 
1757494800.0 16850.403 NA 454 202 0 NA 1243 832 0 NA 534 245 92 NA 365 262 108 
1757494800.0 16850.404 NA 460 157 NA NA 1221 766 NA NA 523 124 NA NA 358 143 NA 
1757494800.0 16850.406 NA 457 194 0 NA 1227 808 0 NA 533 244 87 NA 358 261 103 
1757494800.0 16850.407 NA 456 204 0 NA 1263 842 0 NA 526 247 88 NA 399 250 104 
1757494800.0 16850.408 NA 459 158 NA NA 1216 762 NA NA 525 127 NA NA 357 151 NA 
1757494800.0 16861.402 NA 436 186 0 NA 1223 809 0 NA 501 228 72 NA 357 254 87 
1757494800.0 17034.402 NA 851 262 0 NA 1805 914 0 NA 2098 337 96 NA 935 294 111 
