Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1761166800.0 1001.0 NA 621 346 0 0 0 0 0 0 NA 2097570 2097410 0 0 0 0 0 0 NA 4846 657 112 54 95 147 315 146 NA 3082 706 180 92 149 219 399 204 
1761166800.0 1001.3 NA 879 399 0 NA NA NA NA NA NA 2097650 2097420 0 NA NA NA NA NA NA 41276 1315 1010 NA NA NA NA NA NA 22310 1434 1426 NA NA NA NA NA 
1761166800.0 1002.5 NA 282 284 0 0 NA NA NA NA NA 2097400 2097360 0 0 NA NA NA NA NA 337 669 626 324 NA NA NA NA NA 379 734 621 410 NA NA NA NA 
1761166800.0 1005.0 NA 363 274 0 0 NA NA NA NA NA 2097480 2097400 0 0 NA NA NA NA NA 529 213 93 128 NA NA NA NA NA 625 284 143 223 NA NA NA NA 
1761166800.0 101.0 358 NA NA NA NA NA NA NA NA 2097440 NA NA NA NA NA NA NA NA 1216 NA NA NA NA NA NA NA NA 935 NA NA NA NA NA NA NA NA 
1761166800.0 1010.0 NA 185 222 0 NA NA NA NA NA NA 2097350 2097330 0 NA NA NA NA NA NA 107 194 144 NA NA NA NA NA NA 152 251 206 NA NA NA NA NA 
1761166800.0 102.0 354 NA NA NA NA NA NA NA NA 2097430 NA NA NA NA NA NA NA NA 1161 NA NA NA NA NA NA NA NA 1057 NA NA NA NA NA NA NA NA 
1761166800.0 1020.0 NA 204 168 0 206 NA NA NA NA NA 2097360 2097330 0 2097360 NA NA NA NA NA 213 90 47 216 NA NA NA NA NA 271 101 55 264 NA NA NA NA 
1761166800.0 103.0 259 0 0 NA NA NA NA NA NA 2097320 0 0 NA NA NA NA NA NA 1055 191 2124 NA NA NA NA NA NA 1267 273 2503 NA NA NA NA NA NA 
1761166800.0 1040.1 NA 263 164 0 NA NA NA NA NA NA 2097390 2097320 0 NA NA NA NA NA NA 360 105 180 NA NA NA NA NA NA 392 131 228 NA NA NA NA NA 
1761166800.0 1041.0 NA 272 195 0 NA NA NA NA NA NA 2097390 2097320 0 NA NA NA NA NA NA 234 143 81 NA NA NA NA NA NA 254 222 143 NA NA NA NA NA 
1761166800.0 1042.0 NA 272 176 0 NA NA NA NA NA NA 2097390 2097320 0 NA NA NA NA NA NA 447 115 61 NA NA NA NA NA NA 482 160 116 NA NA NA NA NA 
1761166800.0 1046.0 NA 224 175 0 NA NA NA NA NA NA 2097360 2097330 0 NA NA NA NA NA NA 320 131 62 NA NA NA NA NA NA 316 222 116 NA NA NA NA NA 
1761166800.0 1047.0 NA 234 200 0 NA NA NA NA NA NA 2097360 2097350 0 NA NA NA NA NA NA 343 177 71 NA NA NA NA NA NA 338 207 121 NA NA NA NA NA 
1761166800.0 1048.0 NA 228 139 0 NA NA NA NA NA NA 2097360 2097340 0 NA NA NA NA NA NA 329 162 54 NA NA NA NA NA NA 334 420 98 NA NA NA NA NA 
1761166800.0 1049.0 NA 225 0 NA NA NA NA NA NA NA 2097370 0 NA NA NA NA NA NA NA 808 114 NA NA NA NA NA NA NA 875 191 NA NA NA NA NA NA 
1761166800.0 1052.0 NA 363 276 0 NA NA NA NA NA NA 2097480 2097400 0 NA NA NA NA NA NA 519 216 62 NA NA NA NA NA NA 487 288 103 NA NA NA NA NA 
1761166800.0 1052.1 NA 269 0 NA NA NA NA NA NA NA 2097410 0 NA NA NA NA NA NA NA 208 63 NA NA NA NA NA NA NA 253 115 NA NA NA NA NA NA 
1761166800.0 106.0 259 0 0 NA NA NA NA NA NA 2097320 0 0 NA NA NA NA NA NA 1187 175 2114 NA NA NA NA NA NA 1293 224 2555 NA NA NA NA NA NA 
1761166800.0 111.0 255 341 668 NA NA NA NA NA NA 2097360 2097400 2097620 NA NA NA NA NA NA 1841 520 2655 NA NA NA NA NA NA 1682 572 2949 NA NA NA NA NA NA 
1761166800.0 11634.24 NA 419 813 0 279 NA NA NA NA NA 2097440 2097700 0 2097390 NA NA NA NA NA 707 2024 630 333 NA NA NA NA NA 682 2519 920 324 NA NA NA NA 
1761166800.0 11834.24 NA 423 864 0 NA NA NA NA NA NA 2097440 2097720 0 NA NA NA NA NA NA 722 2106 661 NA NA NA NA NA NA 704 2492 893 NA NA NA NA NA 
1761166800.0 122.0 268 310 649 NA NA NA NA NA NA 2097350 2097380 2097600 NA NA NA NA NA NA 924 312 1682 NA NA NA NA NA NA 903 401 1939 NA NA NA NA NA NA 
1761166800.0 13.0 NA 394 715 0 NA NA NA NA NA NA 2097420 2097630 0 NA NA NA NA NA NA 472 3844 479 NA NA NA NA NA NA 457 3006 596 NA NA NA NA NA 
1761166800.0 1308.0 NA 416 438 198 0 NA NA NA NA NA 2097440 2097480 2097340 0 NA NA NA NA NA 522 701 149 245 NA NA NA NA NA 353 742 196 385 NA NA NA NA 
1761166800.0 1320.0 NA 439 753 0 325 NA NA NA NA NA 2097450 2097640 0 2097420 NA NA NA NA NA 574 1916 437 408 NA NA NA NA NA 544 1769 607 578 NA NA NA NA 
1761166800.0 1322.0 NA 434 753 0 336 NA NA NA NA NA 2097450 2097650 0 2097420 NA NA NA NA NA 600 2038 424 420 NA NA NA NA NA 377 2115 626 551 NA NA NA NA 
1761166800.0 1333.0 NA 430 741 0 NA NA NA NA NA NA 2097450 2097640 0 NA NA NA NA NA NA 827 2777 658 NA NA NA NA NA NA 493 2307 742 NA NA NA NA NA 
1761166800.0 136.7801 NA 362 0 NA NA NA NA NA NA NA 2097420 0 NA NA NA NA NA NA NA 785 168 NA NA NA NA NA NA NA 693 285 NA NA NA NA NA NA 
1761166800.0 136.7802 NA 262 0 NA NA NA NA NA NA NA 2097390 0 NA NA NA NA NA NA NA 331 146 NA NA NA NA NA NA NA 463 344 NA NA NA NA NA NA 
1761166800.0 136.7803 NA 362 0 NA NA NA NA NA NA NA 2097430 0 NA NA NA NA NA NA NA 840 147 NA NA NA NA NA NA NA 849 243 NA NA NA NA NA NA 
1761166800.0 136.821 NA 354 771 0 NA NA NA NA NA NA 2097400 2097660 0 NA NA NA NA NA NA 726 35539 293 NA NA NA NA NA NA 413 12486 401 NA NA NA NA NA 
1761166800.0 136.829 NA 343 759 0 NA NA NA NA NA NA 2097390 2097670 0 NA NA NA NA NA NA 579 43416 346 NA NA NA NA NA NA 490 15966 367 NA NA NA NA NA 
1761166800.0 136.842 NA 350 776 0 NA NA NA NA NA NA 2097400 2097660 0 NA NA NA NA NA NA 629 44333 293 NA NA NA NA NA NA 500 15456 312 NA NA NA NA NA 
1761166800.0 136.8561 NA 330 784 0 NA NA NA NA NA NA 2097400 2097650 0 NA NA NA NA NA NA 396 3247 455 NA NA NA NA NA NA 353 2669 569 NA NA NA NA NA 
1761166800.0 136.8562 NA 332 773 0 NA NA NA NA NA NA 2097390 2097640 0 NA NA NA NA NA NA 373 2692 434 NA NA NA NA NA NA 393 2208 597 NA NA NA NA NA 
1761166800.0 136.8642 NA 346 833 0 NA NA NA NA NA NA 2097390 2097680 0 NA NA NA NA NA NA 637 45011 325 NA NA NA NA NA NA 503 16092 403 NA NA NA NA NA 
1761166800.0 136.866 NA 354 791 0 NA NA NA NA NA NA 2097390 2097660 0 NA NA NA NA NA NA 760 37708 294 NA NA NA NA NA NA 537 12934 386 NA NA NA NA NA 
1761166800.0 1360.0 262 0 0 0 NA NA NA NA NA 2097330 0 0 0 NA NA NA NA NA 1447 210 1452 403 NA NA NA NA NA 1203 265 1628 524 NA NA NA NA NA 
1761166800.0 138.5 NA 722 387 0 NA NA NA NA NA NA 2097620 2097440 0 NA NA NA NA NA NA 7412 988 515 NA NA NA NA NA NA 8078 1296 681 NA NA NA NA NA 
1761166800.0 139.001 NA 375 803 0 NA NA NA NA NA NA 2097400 2097630 0 NA NA NA NA NA NA 958 9193 368 NA NA NA NA NA NA 819 9713 403 NA NA NA NA NA 
1761166800.0 139.002 NA 348 943 0 NA NA NA NA NA NA 2097400 2097650 0 NA NA NA NA NA NA 852 10675 543 NA NA NA NA NA NA 765 11065 640 NA NA NA NA NA 
1761166800.0 139.003 NA 371 655 0 NA NA NA NA NA NA 2097400 2097620 0 NA NA NA NA NA NA 728 7444 155 NA NA NA NA NA NA 692 8857 235 NA NA NA NA NA 
1761166800.0 140.009 NA 0 0 0 NA NA NA NA NA NA 0 0 0 NA NA NA NA NA NA 183 3064 944 NA NA NA NA NA NA 195 3464 1260 NA NA NA NA NA 
1761166800.0 140.113 NA 0 0 0 NA NA NA NA NA NA 0 0 0 NA NA NA NA NA NA 230 4742 2759 NA NA NA NA NA NA 291 5467 3027 NA NA NA NA NA 
1761166800.0 140.6 NA 200 660 0 NA NA NA NA NA NA 2097320 2097570 0 NA NA NA NA NA NA 105 1421 415 NA NA NA NA NA NA 151 1038 577 NA NA NA NA NA 
1761166800.0 141.009 NA 0 0 0 NA NA NA NA NA NA 0 0 0 NA NA NA NA NA NA 170 5315 2027 NA NA NA NA NA NA 177 6047 2267 NA NA NA NA NA 
1761166800.0 141.011 NA 370 993 0 NA NA NA NA NA NA 2097400 2097720 0 NA NA NA NA NA NA 1063 40848 447 NA NA NA NA NA NA 725 13860 476 NA NA NA NA NA 
1761166800.0 141.113 NA 0 0 0 NA NA NA NA NA NA 0 0 0 NA NA NA NA NA NA 163 1919 1137 NA NA NA NA NA NA 171 2373 1656 NA NA NA NA NA 
1761166800.0 142.0 NA 645 1265 0 NA NA NA NA NA NA 2097640 2097860 0 NA NA NA NA NA NA 5815 85228 493 NA NA NA NA NA NA 2950 40525 745 NA NA NA NA NA 
1761166800.0 143.901 NA 851 0 NA NA NA NA NA NA NA 2097690 0 NA NA NA NA NA NA NA 26647 416 NA NA NA NA NA NA NA 10142 562 NA NA NA NA NA NA 
1761166800.0 143.902 NA 835 0 NA NA NA NA NA NA NA 2097680 0 NA NA NA NA NA NA NA 25030 405 NA NA NA NA NA NA NA 10105 533 NA NA NA NA NA NA 
