Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1759698000.0 10224.0 NA 488 765 0 186 NA NA 716 1073 0 282 NA NA 1380 1564 217 265 NA NA 646 1168 238 290 NA 
1759698000.0 10225.0 NA 507 793 0 186 NA NA 659 1069 0 280 NA NA 1316 1714 262 336 NA NA 598 1336 285 357 NA 
1759698000.0 103.0 114 0 0 NA NA NA 175 0 0 NA NA NA 244 61 576 NA NA NA 253 99 625 NA NA NA 
1759698000.0 10424.0 NA 259 516 0 NA NA NA 365 756 0 NA NA NA 196 868 204 NA NA NA 194 890 223 NA NA 
1759698000.0 106.0 113 0 0 NA NA NA 179 0 0 NA NA NA 258 63 551 NA NA NA 303 98 575 NA NA NA 
1759698000.0 110.0 127 180 382 NA NA NA 190 260 541 NA NA NA 261 163 711 NA NA NA 246 188 695 NA NA NA 
1759698000.0 11024.2 NA 559 800 0 175 NA NA 777 1239 0 268 NA NA 1863 1888 226 204 NA NA 893 1384 248 224 NA 
1759698000.0 11024.6 NA 589 829 0 180 NA NA 812 1187 0 281 NA NA 1881 1874 227 258 NA NA 801 1332 246 278 NA 
1759698000.0 11025.0 NA 571 845 0 180 NA NA 788 1185 0 285 NA NA 1867 1821 218 261 NA NA 904 1320 240 284 NA 
1759698000.0 111.0 123 175 386 NA NA NA 223 267 562 NA NA NA 473 138 668 NA NA NA 458 166 687 NA NA NA 
1759698000.0 11834.24 NA 250 531 0 NA NA NA 349 779 0 NA NA NA 211 811 195 NA NA NA 206 855 210 NA NA 
1759698000.0 11846.0 NA 644 1034 0 NA NA NA 935 1475 0 NA NA NA 2216 2431 227 NA NA NA 985 1346 265 NA NA 
1759698000.0 119.0 114 184 391 NA NA NA 238 263 560 NA NA NA 537 171 735 NA NA NA 380 195 712 NA NA NA 
