Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1764799200.0 140.022 204 584 0 295 856 0 259 4980 139 154 1891 159 
1764799200.0 2500.0002 278 0 NA 455 0 NA 31197 64 NA 24023 149 NA 
1764799200.0 2500.0004 316 0 NA 551 0 NA 33339 66 NA 24954 121 NA 
1764799200.0 2500.1502 148 NA NA 246 NA NA 8589 NA NA 11867 NA NA 
1764799200.0 2500.1504 148 NA NA 240 NA NA 11123 NA NA 13771 NA NA 
1764799200.0 2500.2204 295 NA NA 455 NA NA 10751 NA NA 3797 NA NA 
1764799200.0 2500.2207 197 NA NA 311 NA NA 7416 NA NA 3951 NA NA 
1764799200.0 2500.2208 296 NA NA 487 NA NA 32265 NA NA 24475 NA NA 
1764799200.0 2500.2304 301 NA NA 452 NA NA 7748 NA NA 2468 NA NA 
1764799200.0 2500.231 94 NA NA 163 NA NA 4299 NA NA 2904 NA NA 
1764799200.0 2500.3204 295 NA NA 446 NA NA 8123 NA NA 2444 NA NA 
1764799200.0 2500.3205 319 NA NA 493 NA NA 9784 NA NA 8677 NA NA 
1764799200.0 2500.3208 311 NA NA 461 NA NA 11733 NA NA 4220 NA NA 
1764799200.0 2500.3209 292 NA NA 441 NA NA 6629 NA NA 2246 NA NA 
1764799200.0 2500.3305 293 NA NA 422 NA NA 7593 NA NA 2429 NA NA 
