Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1761166800.0 1001.3 NA 529 214 0 NA NA NA 783 339 0 NA NA NA 11997 284 147 NA NA NA 4271 293 194 NA NA 
1761166800.0 1001.4 NA 524 186 0 0 0 NA 783 292 0 0 0 NA 11750 214 61 66 58 NA 4075 344 80 90 100 
1761166800.0 1002.4 NA 493 0 NA NA NA NA 775 0 NA NA NA NA 16387 256 NA NA NA NA 7590 359 NA NA NA 
1761166800.0 1010.0 NA 83 104 0 NA NA NA 156 173 0 NA NA NA 72 91 59 NA NA NA 193 190 139 NA NA 
1761166800.0 1040.1 NA 128 82 0 NA NA NA 212 144 0 NA NA NA 179 71 49 NA NA NA 585 176 105 NA NA 
1761166800.0 1041.0 NA 125 88 0 NA NA NA 209 154 0 NA NA NA 140 77 33 NA NA NA 286 159 62 NA NA 
1761166800.0 1046.0 NA 97 82 0 NA NA NA 174 155 0 NA NA NA 120 74 26 NA NA NA 266 151 59 NA NA 
1761166800.0 1047.0 NA 95 100 0 NA NA NA 174 171 0 NA NA NA 118 93 31 NA NA NA 212 169 67 NA NA 
1761166800.0 1048.0 NA 95 92 0 NA NA NA 173 166 0 NA NA NA 126 92 29 NA NA NA 235 165 68 NA NA 
1761166800.0 1052.1 NA 138 0 NA NA NA NA 249 0 NA NA NA NA 113 27 NA NA NA NA 235 65 NA NA NA 
1761166800.0 111.0 136 186 397 NA NA NA 220 521 559 NA NA NA 5637 228 1065 NA NA NA 3132 240 1166 NA NA NA 
1761166800.0 112.0 156 186 381 NA NA NA 238 410 554 NA NA NA 10538 248 897 NA NA NA 3984 217 882 NA NA NA 
1761166800.0 123.1 372 NA NA NA NA NA 811 NA NA NA NA NA 515 NA NA NA NA NA 674 NA NA NA NA NA 
1761166800.0 123.2 377 NA NA NA NA NA 772 NA NA NA NA NA 559 NA NA NA NA NA 544 NA NA NA NA NA 
1761166800.0 123.3 317 NA NA NA NA NA 704 NA NA NA NA NA 414 NA NA NA NA NA 631 NA NA NA NA NA 
1761166800.0 124.1 355 NA NA NA NA NA 822 NA NA NA NA NA 436 NA NA NA NA NA 639 NA NA NA NA NA 
1761166800.0 124.2 357 NA NA NA NA NA 854 NA NA NA NA NA 465 NA NA NA NA NA 704 NA NA NA NA NA 
1761166800.0 124.4 357 NA NA NA NA NA 736 NA NA NA NA NA 432 NA NA NA NA NA 586 NA NA NA NA NA 
1761166800.0 124.5 361 NA NA NA NA NA 739 NA NA NA NA NA 436 NA NA NA NA NA 653 NA NA NA NA NA 
1761166800.0 124.6 322 NA NA NA NA NA 676 NA NA NA NA NA 423 NA NA NA NA NA 771 NA NA NA NA NA 
1761166800.0 126.0 122 179 392 NA NA NA 186 604 556 NA NA NA 10520 255 879 NA NA NA 4072 254 875 NA NA NA 
1761166800.0 136.761 NA 192 487 0 NA NA NA 271 731 0 NA NA NA 253 14027 122 NA NA NA 222 4613 138 NA NA 
1761166800.0 136.7801 NA 183 0 NA NA NA NA 280 0 NA NA NA NA 252 79 NA NA NA NA 427 165 NA NA NA 
1761166800.0 136.7802 NA 130 0 NA NA NA NA 204 0 NA NA NA NA 158 75 NA NA NA NA 542 171 NA NA NA 
1761166800.0 136.803 NA 218 499 0 NA NA NA 303 724 0 NA NA NA 204 3570 167 NA NA NA 232 2402 276 NA NA 
1761166800.0 136.815 NA 218 498 0 NA NA NA 300 742 0 NA NA NA 178 3995 171 NA NA NA 310 2541 217 NA NA 
1761166800.0 136.827 NA 217 498 0 NA NA NA 310 750 0 NA NA NA 194 4189 165 NA NA NA 355 2741 190 NA NA 
1761166800.0 136.839 NA 220 492 0 NA NA NA 303 749 0 NA NA NA 191 4214 142 NA NA NA 256 2750 163 NA NA 
1761166800.0 136.858 NA 216 476 0 NA NA NA 286 728 0 NA NA NA 208 3026 194 NA NA NA 230 2233 240 NA NA 
1761166800.0 136.87 NA 219 488 0 NA NA NA 305 756 0 NA NA NA 200 3748 169 NA NA NA 252 2608 226 NA NA 
1761166800.0 136.871 NA 205 478 0 NA NA NA 295 772 0 NA NA NA 256 21211 151 NA NA NA 403 6953 184 NA NA 
1761166800.0 136.882 NA 217 528 0 NA NA NA 297 771 0 NA NA NA 213 3833 184 NA NA NA 333 2471 215 NA NA 
1761166800.0 136.887 NA 213 564 0 NA NA NA 300 891 0 NA NA NA 233 13404 191 NA NA NA 228 4583 209 NA NA 
1761166800.0 138.3 NA 74 495 0 NA NA NA 121 709 0 NA NA NA 40 9349 254 NA NA NA 175 6691 338 NA NA 
1761166800.0 139.001 NA 219 463 0 NA NA NA 312 720 0 NA NA NA 198 2430 142 NA NA NA 170 2016 193 NA NA 
1761166800.0 140.045 NA 212 586 0 NA NA NA 302 907 0 NA NA NA 289 20055 177 NA NA NA 446 6600 218 NA NA 
1761166800.0 140.063 NA 215 604 0 NA NA NA 293 866 0 NA NA NA 276 12640 184 NA NA NA 238 4857 209 NA NA 
1761166800.0 140.075 NA 215 602 0 NA NA NA 311 883 0 NA NA NA 322 17521 223 NA NA NA 514 6814 285 NA NA 
1761166800.0 140.56 NA 766 0 NA NA NA NA 1349 0 NA NA NA NA 16294 195 NA NA NA NA 7215 246 NA NA NA 
1761166800.0 140.6 NA 99 433 0 NA NA NA 146 647 0 NA NA NA 43 681 136 NA NA NA 122 789 256 NA NA 
1761166800.0 141.003 NA 215 631 0 NA NA NA 295 929 0 NA NA NA 249 17257 193 NA NA NA 273 5986 230 NA NA 
1761166800.0 141.033 NA 209 590 0 NA NA NA 298 900 0 NA NA NA 315 20873 196 NA NA NA 273 6664 249 NA NA 
1761166800.0 141.049 NA 214 623 0 NA NA NA 305 953 0 NA NA NA 277 17111 175 NA NA NA 283 5894 215 NA NA 
1761166800.0 141.102 NA 206 599 0 NA NA NA 308 970 0 NA NA NA 306 20155 181 NA NA NA 328 6621 233 NA NA 
1761166800.0 141.111 NA 212 567 0 NA NA NA 301 918 0 NA NA NA 275 17518 193 NA NA NA 278 8170 244 NA NA 
1761166800.0 143.202 80 331 130 530 0 NA 178 673 173 754 0 NA 1963 295 108 1133 279 NA 3288 310 149 1451 442 NA 
1761166800.0 145.415 208 587 0 NA NA NA 327 836 0 NA NA NA 128 2850 197 NA NA NA 194 2102 258 NA NA NA 
1761166800.0 148.0 73 270 485 0 NA NA 165 560 714 0 NA NA 2147 319 1029 222 NA NA 4055 329 1182 343 NA NA 
1761166800.0 149.0 130 283 513 0 NA NA 185 547 734 0 NA NA 4420 534 1219 292 NA NA 3640 404 1349 322 NA NA 
1761166800.0 149.1 137 248 502 0 NA NA 191 567 778 0 NA NA 2332 261 1058 256 NA NA 1925 217 1305 327 NA NA 
1761166800.0 158.5 115 231 468 132 0 NA 164 548 710 195 0 NA 1664 231 1023 169 253 NA 1397 206 897 248 296 NA 
1761166800.0 159.03 123 220 114 247 186 NA 170 529 161 428 296 NA 1754 204 98 432 242 NA 2100 185 187 428 273 NA 
1761166800.0 159.2 136 277 473 0 NA NA 197 612 681 0 NA NA 11659 304 1000 236 NA NA 5687 170 931 296 NA NA 
1761166800.0 160.03 124 240 104 294 204 NA 168 564 159 429 294 NA 1836 248 99 445 232 NA 2157 193 176 379 258 NA 
1761166800.0 160.401 122 241 108 477 186 NA 169 561 153 656 275 NA 1788 233 107 687 244 NA 2052 189 148 750 304 NA 
1761166800.0 161.03 124 325 115 298 220 NA 169 692 166 452 306 NA 1795 374 111 442 230 NA 2095 313 197 416 240 NA 
1761166800.0 161.2 138 398 568 0 NA NA 187 711 773 0 NA NA 10897 636 1841 325 NA NA 4526 493 1200 341 NA NA 
1761166800.0 161.3 138 366 564 0 NA NA 184 723 782 0 NA NA 5405 575 1579 315 NA NA 2735 456 1465 344 NA NA 
1761166800.0 161.4 135 381 541 0 NA NA 184 687 755 0 NA NA 9193 648 1711 315 NA NA 5927 401 1193 346 NA NA 
1761166800.0 16834.0 NA 472 660 0 201 NA NA 866 938 0 322 NA NA 800 2136 363 231 NA NA 691 1817 539 279 NA 
1761166800.0 2022.0030001 NA 219 574 0 NA NA NA 304 848 0 NA NA NA 245 14280 166 NA NA NA 180 4641 188 NA NA 
1761166800.0 2025.0000001 NA 342 572 0 NA NA NA 455 791 0 NA NA NA 515 3518 190 NA NA NA 640 2652 240 NA NA 
1761166800.0 2500.0101 NA 297 0 NA NA NA NA 444 0 NA NA NA NA 18316 79 NA NA NA NA 8064 105 NA NA NA 
1761166800.0 2500.1101 NA 300 0 NA NA NA NA 432 0 NA NA NA NA 17625 90 NA NA NA NA 5777 104 NA NA NA 
1761166800.0 2500.1502 NA 157 NA NA NA NA NA 251 NA NA NA NA NA 9201 NA NA NA NA NA 7174 NA NA NA NA 
1761166800.0 2500.1504 NA 154 NA NA NA NA NA 253 NA NA NA NA NA 11024 NA NA NA NA NA 9320 NA NA NA NA 
1761166800.0 2500.2309 NA 322 NA NA NA NA NA 512 NA NA NA NA NA 22931 NA NA NA NA NA 9085 NA NA NA NA 
1761166800.0 2500.2401 NA 207 NA NA NA NA NA 368 NA NA NA NA NA 280 NA NA NA NA NA 568 NA NA NA NA 
1761166800.0 2500.2403 NA 120 NA NA NA NA NA 207 NA NA NA NA NA 148 NA NA NA NA NA 287 NA NA NA NA 
1761166800.0 2500.2404 NA 184 NA NA NA NA NA 288 NA NA NA NA NA 1109 NA NA NA NA NA 882 NA NA NA NA 
1761166800.0 2500.3206 NA 281 NA NA NA NA NA 406 NA NA NA NA NA 767 NA NA NA NA NA 756 NA NA NA NA 
1761166800.0 2500.3302 NA 256 NA NA NA NA NA 361 NA NA NA NA NA 553 NA NA NA NA NA 655 NA NA NA NA 
1761166800.0 2500.3306 NA 255 NA NA NA NA NA 357 NA NA NA NA NA 528 NA NA NA NA NA 673 NA NA NA NA 
1761166800.0 2500.3308 NA 242 NA NA NA NA NA 386 NA NA NA NA NA 4002 NA NA NA NA NA 2025 NA NA NA NA 
1761166800.0 2500.3309 NA 283 NA NA NA NA NA 429 NA NA NA NA NA 5642 NA NA NA NA NA 2739 NA NA NA NA 
1761166800.0 2500.9002 NA 148 NA NA NA NA NA 251 NA NA NA NA NA 496 NA NA NA NA NA 612 NA NA NA NA 
1761166800.0 2500.9101 87 105 NA NA NA NA 122 188 NA NA NA NA 95 118 NA NA NA NA 170 255 NA NA NA NA 
1761166800.0 2500.9102 64 93 107 NA NA NA 106 126 193 NA NA NA 4169 144 137 NA NA NA 3234 194 184 NA NA NA 
1761166800.0 250199.0 380 NA NA NA NA NA 535 NA NA NA NA NA 1153 NA NA NA NA NA 1074 NA NA NA NA NA 
1761166800.0 26834.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 
1761166800.0 27234.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 
1761166800.0 281.0 133 264 442 0 NA NA 205 534 673 0 NA NA 12457 299 886 204 NA NA 5984 211 876 264 NA NA 
