Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1760389200.0 1020.0 NA 91 86 0 94 NA 170 155 0 165 NA 91 66 25 93 NA 244 175 63 263 
1760389200.0 123.1 371 NA NA NA NA 539 NA NA NA NA 388 NA NA NA NA 436 NA NA NA NA 
1760389200.0 123.2 402 NA NA NA NA 555 NA NA NA NA 425 NA NA NA NA 458 NA NA NA NA 
1760389200.0 123.3 319 NA NA NA NA 453 NA NA NA NA 333 NA NA NA NA 420 NA NA NA NA 
1760389200.0 124.1 362 NA NA NA NA 521 NA NA NA NA 333 NA NA NA NA 333 NA NA NA NA 
1760389200.0 124.2 367 NA NA NA NA 534 NA NA NA NA 367 NA NA NA NA 382 NA NA NA NA 
1760389200.0 124.4 365 NA NA NA NA 506 NA NA NA NA 345 NA NA NA NA 431 NA NA NA NA 
1760389200.0 124.5 368 NA NA NA NA 521 NA NA NA NA 339 NA NA NA NA 332 NA NA NA NA 
1760389200.0 124.6 323 NA NA NA NA 454 NA NA NA NA 336 NA NA NA NA 412 NA NA NA NA 
1760389200.0 144.6 NA 408 NA NA NA NA 562 NA NA NA NA 1342 NA NA NA NA 1195 NA NA NA 
1760389200.0 2500.1302 NA 154 NA NA NA NA 255 NA NA NA NA 7085 NA NA NA NA 8894 NA NA NA 
1760389200.0 2500.1304 NA 152 NA NA NA NA 254 NA NA NA NA 9293 NA NA NA NA 10436 NA NA NA 
1760389200.0 2500.2204 NA 269 NA NA NA NA 450 NA NA NA NA 9024 NA NA NA NA 2940 NA NA NA 
1760389200.0 2500.2208 NA 319 NA NA NA NA 500 NA NA NA NA 24876 NA NA NA NA 14538 NA NA NA 
1760389200.0 2500.2304 NA 314 NA NA NA NA 445 NA NA NA NA 8104 NA NA NA NA 2679 NA NA NA 
1760389200.0 2500.2309 NA 306 NA NA NA NA 513 NA NA NA NA 18672 NA NA NA NA 6405 NA NA NA 
1760389200.0 2500.3204 NA 310 NA NA NA NA 442 NA NA NA NA 8205 NA NA NA NA 2722 NA NA NA 
1760389200.0 2500.3205 NA 315 NA NA NA NA 497 NA NA NA NA 7978 NA NA NA NA 2642 NA NA NA 
1760389200.0 2500.3208 NA 295 NA NA NA NA 462 NA NA NA NA 8749 NA NA NA NA 3302 NA NA NA 
1760389200.0 2500.3209 NA 294 NA NA NA NA 441 NA NA NA NA 6498 NA NA NA NA 2419 NA NA NA 
1760389200.0 2500.3305 NA 308 NA NA NA NA 427 NA NA NA NA 7814 NA NA NA NA 2663 NA NA NA 
1760389200.0 250399.0 294 NA NA NA NA 420 NA NA NA NA 302 NA NA NA NA 394 NA NA NA NA 
1760389200.0 250400.0 441 0 225 NA NA 632 0 346 NA NA 431 93 280 NA NA 554 138 364 NA NA 
1760389200.0 250400.18 515 0 232 NA NA 733 0 346 NA NA 508 102 276 NA NA 565 146 366 NA NA 
