Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1760994000.0 1.0 146 180 243 NA NA NA NA NA 243 256 455 NA NA NA NA NA 620 202 579 NA NA NA NA NA 440 206 651 NA NA NA NA NA 
1760994000.0 1002.0 NA 406 142 NA NA NA NA NA NA 577 186 NA NA NA NA NA NA 1525 127 NA NA NA NA NA NA 1094 109 NA NA NA NA NA 
1760994000.0 1002.5 NA 144 131 0 0 NA NA NA NA 238 204 0 0 NA NA NA NA 184 127 117 58 NA NA NA NA 422 180 146 86 NA NA NA 
1760994000.0 10024.1 NA 313 300 0 NA NA NA NA NA 431 448 0 NA NA NA NA NA 675 516 260 NA NA NA NA NA 359 520 275 NA NA NA NA 
1760994000.0 1003.0 NA 388 0 NA NA NA NA NA NA 667 0 NA NA NA NA NA NA 1371 165 NA NA NA NA NA NA 1197 250 NA NA NA NA NA 
1760994000.0 1005.0 NA 204 156 0 0 NA NA NA NA 383 262 0 0 NA NA NA NA 259 154 55 70 NA NA NA NA 457 247 83 122 NA NA NA 
1760994000.0 101.0 163 NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA 386 NA NA NA NA NA NA NA 461 NA NA NA NA NA NA NA 
1760994000.0 1010.0 NA 86 105 0 NA NA NA NA NA 154 175 0 NA NA NA NA NA 83 105 63 NA NA NA NA NA 223 169 88 NA NA NA NA 
1760994000.0 102.0 162 NA NA NA NA NA NA NA 296 NA NA NA NA NA NA NA 345 NA NA NA NA NA NA NA 388 NA NA NA NA NA NA NA 
1760994000.0 1020.0 NA 88 79 0 89 NA NA NA NA 171 157 0 169 NA NA NA NA 106 70 29 105 NA NA NA NA 268 113 59 177 NA NA NA 
1760994000.0 10224.0 NA 505 780 0 186 NA NA NA NA 642 1084 0 273 NA NA NA NA 1807 2002 306 404 NA NA NA NA 903 1332 329 439 NA NA NA 
1760994000.0 10224.15 NA 490 766 0 212 NA NA NA NA 662 1040 0 319 NA NA NA NA 1656 1718 326 536 NA NA NA NA 859 1199 362 503 NA NA NA 
1760994000.0 10225.0 NA 484 751 0 185 NA NA NA NA 633 1012 0 282 NA NA NA NA 1861 1875 289 399 NA NA NA NA 845 1309 305 429 NA NA NA 
1760994000.0 103.0 120 0 0 NA NA NA NA NA 175 0 0 NA NA NA NA NA 309 72 789 NA NA NA NA NA 364 93 797 NA NA NA NA NA 
1760994000.0 1040.1 NA 124 82 0 NA NA NA NA NA 212 144 0 NA NA NA NA NA 199 73 57 NA NA NA NA NA 285 106 95 NA NA NA NA 
1760994000.0 1041.0 NA 122 89 0 NA NA NA NA NA 202 154 0 NA NA NA NA NA 137 95 44 NA NA NA NA NA 167 125 82 NA NA NA NA 
1760994000.0 1042.0 NA 122 86 0 NA NA NA NA NA 213 151 0 NA NA NA NA NA 280 89 43 NA NA NA NA NA 511 101 59 NA NA NA NA 
