Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1764540000.0 101.0 178 NA NA NA NA 315 NA NA NA NA 347 NA NA NA NA 362 NA NA NA NA 
1764540000.0 102.0 180 NA NA NA NA 291 NA NA NA NA 321 NA NA NA NA 361 NA NA NA NA 
1764540000.0 103.0 122 0 0 NA NA 181 0 0 NA NA 259 58 588 NA NA 259 81 600 NA NA 
1764540000.0 111.0 141 184 397 NA NA 217 264 549 NA NA 418 125 707 NA NA 414 165 871 NA NA 
1764540000.0 123.1 383 NA NA NA NA 552 NA NA NA NA 420 NA NA NA NA 544 NA NA NA NA 
1764540000.0 123.2 408 NA NA NA NA 553 NA NA NA NA 456 NA NA NA NA 544 NA NA NA NA 
1764540000.0 123.3 322 NA NA NA NA 441 NA NA NA NA 348 NA NA NA NA 472 NA NA NA NA 
1764540000.0 124.1 366 NA NA NA NA 520 NA NA NA NA 357 NA NA NA NA 504 NA NA NA NA 
1764540000.0 124.2 367 NA NA NA NA 555 NA NA NA NA 379 NA NA NA NA 461 NA NA NA NA 
1764540000.0 124.4 377 NA NA NA NA 515 NA NA NA NA 356 NA NA NA NA 458 NA NA NA NA 
1764540000.0 124.5 369 NA NA NA NA 515 NA NA NA NA 367 NA NA NA NA 483 NA NA NA NA 
1764540000.0 124.6 322 NA NA NA NA 450 NA NA NA NA 345 NA NA NA NA 427 NA NA NA NA 
1764540000.0 126.0 126 185 399 NA NA 184 264 552 NA NA 420 168 721 NA NA 374 183 797 NA NA 
1764540000.0 130.0 125 187 397 NA NA 182 261 555 NA NA 259 162 698 NA NA 298 169 769 NA NA 
1764540000.0 141.113 NA 0 0 0 NA NA 0 0 0 NA NA 72 499 232 NA NA 168 645 317 NA 
1764540000.0 144.6 NA 415 NA NA NA NA 554 NA NA NA NA 1225 NA NA NA NA 1096 NA NA NA 
1764540000.0 23634.0 NA 632 697 0 269 NA 870 961 0 378 NA 962 1267 279 383 NA 1040 1503 454 496 
1764540000.0 24834.0 NA 647 721 0 276 NA 888 942 0 372 NA 961 1310 267 387 NA 1278 2160 509 505 
1764540000.0 2500.0501 NA 208 176 0 NA NA 306 258 0 NA NA 363 285 61 NA NA 449 427 99 NA 
1764540000.0 2500.1001 NA 308 0 NA NA NA 544 0 NA NA NA 24757 61 NA NA NA 19168 126 NA NA 
1764540000.0 2500.1502 NA 153 NA NA NA NA 247 NA NA NA NA 7644 NA NA NA NA 11271 NA NA NA 
1764540000.0 2500.1504 NA 154 NA NA NA NA 255 NA NA NA NA 10014 NA NA NA NA 13434 NA NA NA 
1764540000.0 2500.2204 NA 299 NA NA NA NA 447 NA NA NA NA 9176 NA NA NA NA 3160 NA NA NA 
1764540000.0 2500.2207 NA 199 NA NA NA NA 299 NA NA NA NA 6192 NA NA NA NA 2977 NA NA NA 
1764540000.0 2500.2208 NA 307 NA NA NA NA 512 NA NA NA NA 28107 NA NA NA NA 20665 NA NA NA 
1764540000.0 2500.2304 NA 321 NA NA NA NA 451 NA NA NA NA 7093 NA NA NA NA 2210 NA NA NA 
1764540000.0 2500.2309 NA 314 NA NA NA NA 526 NA NA NA NA 21269 NA NA NA NA 16432 NA NA NA 
1764540000.0 2500.231 NA 100 NA NA NA NA 172 NA NA NA NA 3834 NA NA NA NA 2313 NA NA NA 
1764540000.0 2500.2401 NA 227 NA NA NA NA 379 NA NA NA NA 240 NA NA NA NA 342 NA NA NA 
1764540000.0 2500.2402 NA 173 NA NA NA NA 253 NA NA NA NA 739 NA NA NA NA 544 NA NA NA 
1764540000.0 2500.2403 NA 122 NA NA NA NA 206 NA NA NA NA 171 NA NA NA NA 480 NA NA NA 
1764540000.0 2500.3204 NA 315 NA NA NA NA 446 NA NA NA NA 7329 NA NA NA NA 2217 NA NA NA 
1764540000.0 2500.3205 NA 344 NA NA NA NA 485 NA NA NA NA 10291 NA NA NA NA 3616 NA NA NA 
1764540000.0 2500.3208 NA 315 NA NA NA NA 454 NA NA NA NA 9603 NA NA NA NA 3382 NA NA NA 
1764540000.0 2500.3209 NA 295 NA NA NA NA 455 NA NA NA NA 5819 NA NA NA NA 2198 NA NA NA 
1764540000.0 2500.3301 NA 244 NA NA NA NA 336 NA NA NA NA 484 NA NA NA NA 362 NA NA NA 
1764540000.0 2500.3304 NA 285 NA NA NA NA 385 NA NA NA NA 6827 NA NA NA NA 2015 NA NA NA 
1764540000.0 2500.3305 NA 316 NA NA NA NA 435 NA NA NA NA 7079 NA NA NA NA 2208 NA NA NA 
1764540000.0 2500.3309 NA 291 NA NA NA NA 437 NA NA NA NA 5890 NA NA NA NA 2151 NA NA NA 
1764540000.0 250399.0 304 NA NA NA NA 426 NA NA NA NA 330 NA NA NA NA 396 NA NA NA NA 
1764540000.0 250399.17 366 NA NA NA NA 503 NA NA NA NA 450 NA NA NA NA 438 NA NA NA NA 
1764540000.0 250400.0 440 0 241 NA NA 652 0 360 NA NA 489 93 302 NA NA 1093 133 409 NA NA 
1764540000.0 250400.18 522 0 238 NA NA 733 0 361 NA NA 568 110 317 NA NA 778 179 434 NA NA 
1764540000.0 250403.0 440 0 236 NA NA 658 0 337 NA NA 460 97 299 NA NA 851 160 408 NA NA 
1764540000.0 250405.0 443 0 231 NA NA 638 0 330 NA NA 451 93 304 NA NA 713 168 454 NA NA 
1764540000.0 250405.18 521 0 243 NA NA 725 0 352 NA NA 562 105 305 NA NA 748 192 337 NA NA 
1764540000.0 250406.0 441 0 242 NA NA 635 0 347 NA NA 440 97 288 NA NA 897 184 376 NA NA 
1764540000.0 250406.18 547 0 233 NA NA 712 0 344 NA NA 477 108 296 NA NA 887 161 425 NA NA 
1764540000.0 250407.0 390 0 231 NA NA 562 0 332 NA NA 407 83 283 NA NA 1001 125 389 NA NA 
1764540000.0 250408.0 446 0 237 NA NA 655 0 341 NA NA 472 101 320 NA NA 844 153 452 NA NA 
1764540000.0 25634.0 164 637 697 0 274 229 871 947 0 385 2421 910 1258 278 397 1487 720 1412 393 506 
1764540000.0 26834.0 135 644 707 0 273 230 871 954 0 387 2129 879 1210 240 349 1259 684 1356 302 508 
1764540000.0 29634.0 NA 645 728 0 271 NA 864 988 0 387 NA 943 1276 277 422 NA 957 1554 429 620 
1764540000.0 34034.0 186 640 0 NA NA 247 861 0 NA NA 2525 952 0 NA NA 2511 935 0 NA NA 
1764540000.0 500199.0 277 NA NA NA NA 406 NA NA NA NA 656 NA NA NA NA 692 NA NA NA NA 
