Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1759827600.0 136.7803 NA 197 0 NA NA NA 286 0 NA NA NA 407 108 NA NA NA 721 189 NA NA 
1759827600.0 144.6 NA 394 NA NA NA NA 542 NA NA NA NA 1292 NA NA NA NA 1275 NA NA NA 
1759827600.0 2500.0003 NA 322 0 NA NA NA 540 0 NA NA NA 33633 81 NA NA NA 16986 166 NA NA 
1759827600.0 2500.2204 NA 276 NA NA NA NA 453 NA NA NA NA 8525 NA NA NA NA 2971 NA NA NA 
1759827600.0 2500.2208 NA 313 NA NA NA NA 514 NA NA NA NA 31549 NA NA NA NA 15977 NA NA NA 
1759827600.0 2500.2304 NA 277 NA NA NA NA 446 NA NA NA NA 6665 NA NA NA NA 2244 NA NA NA 
1759827600.0 2500.2309 NA 101 NA NA NA NA 168 NA NA NA NA 3901 NA NA NA NA 2652 NA NA NA 
1759827600.0 2500.3204 NA 241 NA NA NA NA 435 NA NA NA NA 7527 NA NA NA NA 2871 NA NA NA 
1759827600.0 2500.3205 NA 255 NA NA NA NA 492 NA NA NA NA 7535 NA NA NA NA 2772 NA NA NA 
1759827600.0 2500.3208 NA 308 NA NA NA NA 468 NA NA NA NA 11396 NA NA NA NA 4519 NA NA NA 
1759827600.0 2500.3209 NA 291 NA NA NA NA 442 NA NA NA NA 5330 NA NA NA NA 2135 NA NA NA 
1759827600.0 2500.3305 NA 253 NA NA NA NA 439 NA NA NA NA 6703 NA NA NA NA 2227 NA NA NA 
1759827600.0 29634.773 NA 635 NA NA NA NA 912 NA NA NA NA 1869 NA NA NA NA 2198 NA NA NA 
1759827600.0 29634.911 176 633 654 0 265 240 849 974 0 373 5203 3483 4090 959 767 4434 4139 5017 1675 1078 
1759827600.0 536.0 94 0 NA NA NA 140 0 NA NA NA 140 87 NA NA NA 301 153 NA NA NA 
