Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1760648400.0 1.0 144 175 284 NA NA NA NA NA NA 250 267 467 NA NA NA NA NA NA 766 182 619 NA NA NA NA NA NA 553 220 677 NA NA NA NA NA NA 
1760648400.0 10.0 NA 223 444 0 NA NA NA NA NA NA 311 618 0 NA NA NA NA NA NA 779 1671 209 NA NA NA NA NA NA 376 1097 230 NA NA NA NA NA 
1760648400.0 1000.0 NA 393 211 0 116 NA NA NA NA NA 563 293 0 181 NA NA NA NA NA 1400 249 152 161 NA NA NA NA NA 889 242 168 159 NA NA NA NA 
1760648400.0 10001.0 NA 302 520 0 154 181 NA NA NA NA 408 735 0 233 282 NA NA NA NA 822 1177 251 220 382 NA NA NA NA 398 1140 284 269 476 NA NA NA 
1760648400.0 10002.0 NA 298 512 0 154 184 NA NA NA NA 425 748 0 235 281 NA NA NA NA 904 1166 259 242 343 NA NA NA NA 434 1118 284 288 390 NA NA NA 
1760648400.0 10003.0 NA 301 518 0 155 182 NA NA NA NA 429 742 0 229 279 NA NA NA NA 874 1210 287 232 380 NA NA NA NA 429 1119 362 278 499 NA NA NA 
1760648400.0 10004.0 NA 303 510 0 159 173 NA NA NA NA 423 776 0 236 283 NA NA NA NA 823 1176 276 257 366 NA NA NA NA 384 1237 301 300 405 NA NA NA 
1760648400.0 10005.0 NA 298 516 0 156 175 NA NA NA NA 421 742 0 226 278 NA NA NA NA 831 1188 284 257 352 NA NA NA NA 485 1091 362 308 387 NA NA NA 
1760648400.0 10006.0 NA 301 503 0 155 177 NA NA NA NA 409 753 0 229 274 NA NA NA NA 827 1281 291 246 383 NA NA NA NA 401 1213 322 333 445 NA NA NA 
1760648400.0 10007.0 NA 297 508 0 183 173 NA NA NA NA 418 751 0 311 274 NA NA NA NA 886 1230 313 278 384 NA NA NA NA 404 1144 341 357 452 NA NA NA 
1760648400.0 10008.0 NA 303 522 0 186 181 NA NA NA NA 417 765 0 302 277 NA NA NA NA 856 1129 270 254 372 NA NA NA NA 388 1115 289 295 459 NA NA NA 
1760648400.0 10009.0 NA 303 511 0 184 180 NA NA NA NA 428 781 0 314 281 NA NA NA NA 986 1165 275 272 389 NA NA NA NA 422 1229 357 319 541 NA NA NA 
1760648400.0 1001.0 NA 344 189 0 0 0 0 0 0 NA 492 286 0 0 0 0 0 0 NA 1398 331 43 35 63 125 83 125 NA 981 384 55 47 81 141 98 140 
1760648400.0 1001.3 NA 528 214 0 NA NA NA NA NA NA 758 330 0 NA NA NA NA NA NA 5761 329 157 NA NA NA NA NA NA 2442 370 206 NA NA NA NA NA 
1760648400.0 1002.0 NA 404 140 NA NA NA NA NA NA NA 585 178 NA NA NA NA NA NA NA 1558 126 NA NA NA NA NA NA NA 1089 113 NA NA NA NA NA NA 
1760648400.0 1002.3 NA 529 239 0 NA NA NA NA NA NA 758 363 0 NA NA NA NA NA NA 3399 383 134 NA NA NA NA NA NA 1713 358 185 NA NA NA NA NA 
1760648400.0 1002.4 NA 525 0 NA NA NA NA NA NA NA 771 0 NA NA NA NA NA NA NA 6244 239 NA NA NA NA NA NA NA 2591 258 NA NA NA NA NA NA 
1760648400.0 1002.5 NA 149 137 0 0 NA NA NA NA NA 240 204 0 0 NA NA NA NA NA 223 184 150 75 NA NA NA NA NA 489 289 215 106 NA NA NA NA 
1760648400.0 10023.0 NA 306 512 0 156 174 NA NA NA NA 422 738 0 224 284 NA NA NA NA 886 1069 319 264 358 NA NA NA NA 412 1044 343 357 413 NA NA NA 
1760648400.0 10024.0 NA 310 534 0 190 181 NA NA NA NA 431 774 0 306 282 NA NA NA NA 877 1233 329 277 348 NA NA NA NA 405 1098 368 307 392 NA NA NA 
1760648400.0 10024.1 NA 326 318 0 NA NA NA NA NA NA 429 447 0 NA NA NA NA NA NA 924 538 244 NA NA NA NA NA NA 427 538 263 NA NA NA NA NA 
1760648400.0 10024.2 NA 317 524 0 NA NA NA NA NA NA 428 756 0 NA NA NA NA NA NA 712 1091 229 NA NA NA NA NA NA 334 1104 249 NA NA NA NA NA 
1760648400.0 10024.3 NA 324 286 0 NA NA NA NA NA NA 434 427 0 NA NA NA NA NA NA 941 497 246 NA NA NA NA NA NA 460 603 313 NA NA NA NA NA 
1760648400.0 10024.4 NA 321 521 0 NA NA NA NA NA NA 422 771 0 NA NA NA NA NA NA 841 1092 252 NA NA NA NA NA NA 374 1101 282 NA NA NA NA NA 
1760648400.0 10025.0 NA 306 517 0 155 175 NA NA NA NA 431 755 0 234 280 NA NA NA NA 917 1172 327 247 384 NA NA NA NA 400 1110 354 305 515 NA NA NA 
1760648400.0 10026.0 NA 314 544 0 160 176 NA NA NA NA 455 784 0 233 283 NA NA NA NA 853 1418 287 273 367 NA NA NA NA 394 1113 418 388 418 NA NA NA 
1760648400.0 1003.0 NA 401 0 NA NA NA NA NA NA NA 663 0 NA NA NA NA NA NA NA 1634 188 NA NA NA NA NA NA NA 1265 228 NA NA NA NA NA NA 
1760648400.0 10042.0 NA 308 521 0 188 176 NA NA NA NA 426 733 0 304 290 NA NA NA NA 893 1153 265 273 366 NA NA NA NA 415 1061 282 309 414 NA NA NA 
1760648400.0 1005.0 NA 218 157 0 0 NA NA NA NA NA 369 265 0 0 NA NA NA NA NA 340 165 61 85 NA NA NA NA NA 398 247 98 135 NA NA NA NA 
1760648400.0 10059.0 NA 316 548 0 156 178 NA NA NA NA 434 786 0 238 287 NA NA NA NA 948 1653 297 226 401 NA NA NA NA 411 1179 318 338 451 NA NA NA 
1760648400.0 10071.0 NA 316 524 0 155 187 NA NA NA NA 427 774 0 240 282 NA NA NA NA 961 1237 321 241 388 NA NA NA NA 410 1128 360 320 537 NA NA NA 
1760648400.0 101.0 176 NA NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA NA 498 NA NA NA NA NA NA NA NA 522 NA NA NA NA NA NA NA NA 
1760648400.0 1010.0 NA 85 109 0 NA NA NA NA NA NA 157 178 0 NA NA NA NA NA NA 98 121 72 NA NA NA NA NA NA 194 178 89 NA NA NA NA NA 
1760648400.0 102.0 169 NA NA NA NA NA NA NA NA 298 NA NA NA NA NA NA NA NA 420 NA NA NA NA NA NA NA NA 443 NA NA NA NA NA NA NA NA 
1760648400.0 1020.0 NA 98 87 0 90 NA NA NA NA NA 175 159 0 172 NA NA NA NA NA 154 105 47 138 NA NA NA NA NA 310 125 83 201 NA NA NA NA 
1760648400.0 10224.0 NA 515 804 0 190 NA NA NA NA NA 666 1092 0 290 NA NA NA NA NA 1569 1815 230 281 NA NA NA NA NA 751 1213 245 311 NA NA NA NA 
1760648400.0 10224.15 NA 506 791 0 214 NA NA NA NA NA 672 1052 0 322 NA NA NA NA NA 1675 1832 213 456 NA NA NA NA NA 765 1351 229 498 NA NA NA NA 
1760648400.0 10225.0 NA 514 781 0 188 NA NA NA NA NA 665 1111 0 282 NA NA NA NA NA 1387 1741 228 299 NA NA NA NA NA 643 1152 285 318 NA NA NA NA 
1760648400.0 103.0 114 0 0 NA NA NA NA NA NA 179 0 0 NA NA NA NA NA NA 276 85 690 NA NA NA NA NA NA 257 100 749 NA NA NA NA NA NA 
1760648400.0 1030.0 NA 282 99 0 0 NA NA NA NA NA 428 168 0 0 NA NA NA NA NA 3074 132 42 40 NA NA NA NA NA 1245 131 66 57 NA NA NA NA 
1760648400.0 1040.0 NA 503 85 0 NA NA NA NA NA NA 704 146 0 NA NA NA NA NA NA 5076 104 53 NA NA NA NA NA NA 1890 120 64 NA NA NA NA NA 
1760648400.0 1040.1 NA 133 84 0 NA NA NA NA NA NA 214 147 0 NA NA NA NA NA NA 234 107 63 NA NA NA NA NA NA 397 126 80 NA NA NA NA NA 
1760648400.0 1041.0 NA 132 93 0 NA NA NA NA NA NA 215 158 0 NA NA NA NA NA NA 186 106 48 NA NA NA NA NA NA 235 132 67 NA NA NA NA NA 
1760648400.0 1042.0 NA 130 87 0 NA NA NA NA NA NA 217 153 0 NA NA NA NA NA NA 359 104 47 NA NA NA NA NA NA 643 157 77 NA NA NA NA NA 
1760648400.0 10424.0 NA 268 530 0 NA NA NA NA NA NA 368 751 0 NA NA NA NA NA NA 240 1036 284 NA NA NA NA NA NA 240 1017 320 NA NA NA NA NA 
1760648400.0 1046.0 NA 103 85 0 NA NA NA NA NA NA 179 158 0 NA NA NA NA NA NA 178 120 38 NA NA NA NA NA NA 274 162 63 NA NA NA NA NA 
1760648400.0 1047.0 NA 97 104 0 NA NA NA NA NA NA 179 182 0 NA NA NA NA NA NA 183 144 46 NA NA NA NA NA NA 305 165 57 NA NA NA NA NA 
1760648400.0 1048.0 NA 103 100 0 NA NA NA NA NA NA 179 166 0 NA NA NA NA NA NA 170 128 43 NA NA NA NA NA NA 310 147 55 NA NA NA NA NA 
1760648400.0 1049.0 NA 108 0 NA NA NA NA NA NA NA 189 0 NA NA NA NA NA NA NA 740 99 NA NA NA NA NA NA NA 1079 133 NA NA NA NA NA NA 
1760648400.0 105.0 160 187 99 NA NA NA NA NA NA 244 265 160 NA NA NA NA NA NA 874 231 119 NA NA NA NA NA NA 683 277 164 NA NA NA NA NA NA 
1760648400.0 1052.0 NA 222 156 0 NA NA NA NA NA NA 390 264 0 NA NA NA NA NA NA 341 188 45 NA NA NA NA NA NA 408 237 59 NA NA NA NA NA 
1760648400.0 1052.1 NA 144 0 NA NA NA NA NA NA NA 251 0 NA NA NA NA NA NA NA 159 43 NA NA NA NA NA NA NA 192 56 NA NA NA NA NA NA 
1760648400.0 106.0 119 0 0 NA NA NA NA NA NA 177 0 0 NA NA NA NA NA NA 353 95 804 NA NA NA NA NA NA 407 155 954 NA NA NA NA NA NA 
1760648400.0 107.0 144 183 394 NA NA NA NA NA NA 261 270 564 NA NA NA NA NA NA 854 213 998 NA NA NA NA NA NA 456 194 925 NA NA NA NA NA NA 
1760648400.0 108.0 166 194 404 NA NA NA NA NA NA 259 279 581 NA NA NA NA NA NA 1024 207 918 NA NA NA NA NA NA 526 206 860 NA NA NA NA NA NA 
1760648400.0 10801.0 NA 294 516 0 154 177 NA NA NA NA 394 760 0 228 274 NA NA NA NA 888 1156 296 250 375 NA NA NA NA 393 1180 364 289 493 NA NA NA 
1760648400.0 10802.0 NA 296 512 0 155 180 NA NA NA NA 408 741 0 234 289 NA NA NA NA 944 1119 316 270 379 NA NA NA NA 417 1067 336 363 444 NA NA NA 
1760648400.0 10803.0 NA 308 512 0 158 177 NA NA NA NA 399 780 0 233 274 NA NA NA NA 798 1096 239 266 377 NA NA NA NA 380 1055 329 298 418 NA NA NA 
1760648400.0 10804.0 NA 293 511 0 155 174 NA NA NA NA 410 748 0 229 283 NA NA NA NA 904 1173 264 244 346 NA NA NA NA 396 1232 295 279 410 NA NA NA 
1760648400.0 10804.31 NA 286 504 0 158 178 NA NA NA NA 417 742 0 232 279 NA NA NA NA 925 1206 279 265 379 NA NA NA NA 420 1468 350 418 448 NA NA NA 
1760648400.0 10805.0 NA 291 517 0 156 180 NA NA NA NA 414 742 0 232 284 NA NA NA NA 874 1089 277 270 352 NA NA NA NA 416 1034 368 312 385 NA NA NA 
1760648400.0 10805.31 NA 287 503 0 158 180 NA NA NA NA 403 751 0 225 285 NA NA NA NA 762 1240 295 260 386 NA NA NA NA 360 1497 352 383 441 NA NA NA 
1760648400.0 10806.0 NA 297 504 0 154 171 NA NA NA NA 399 745 0 230 280 NA NA NA NA 983 1156 268 253 351 NA NA NA NA 438 1193 297 298 387 NA NA NA 
1760648400.0 10807.0 NA 292 510 0 180 175 NA NA NA NA 407 753 0 304 279 NA NA NA NA 867 1134 312 269 386 NA NA NA NA 434 1070 332 309 494 NA NA NA 
1760648400.0 10808.0 NA 299 513 0 181 178 NA NA NA NA 410 751 0 305 275 NA NA NA NA 932 1180 276 262 407 NA NA NA NA 424 1142 295 371 554 NA NA NA 
1760648400.0 10809.0 NA 294 514 0 181 175 NA NA NA NA 393 761 0 305 284 NA NA NA NA 854 1294 292 261 392 NA NA NA NA 386 1202 360 340 432 NA NA NA 
1760648400.0 10823.0 NA 290 507 0 155 171 NA NA NA NA 406 749 0 231 283 NA NA NA NA 843 1094 295 266 378 NA NA NA NA 378 1095 317 313 455 NA NA NA 
1760648400.0 10824.0 NA 310 531 0 191 176 NA NA NA NA 413 765 0 313 275 NA NA NA NA 1023 1233 272 273 367 NA NA NA NA 479 1085 296 306 399 NA NA NA 
1760648400.0 10824.1 NA 318 318 0 NA NA NA NA NA NA 406 457 0 NA NA NA NA NA NA 828 531 275 NA NA NA NA NA NA 372 524 299 NA NA NA NA NA 
1760648400.0 10824.6 NA 309 527 0 190 176 NA NA NA NA 393 790 0 310 291 NA NA NA NA 966 1279 295 230 386 NA NA NA NA 396 1141 364 332 437 NA NA NA 
1760648400.0 10824.8 NA 300 532 0 189 177 NA NA NA NA 419 772 0 306 286 NA NA NA NA 907 1201 294 268 380 NA NA NA NA 486 1118 420 368 424 NA NA NA 
1760648400.0 10825.0 NA 294 514 0 160 180 NA NA NA NA 405 740 0 230 281 NA NA NA NA 894 1113 280 264 357 NA NA NA NA 408 1056 355 304 414 NA NA NA 
1760648400.0 10826.0 NA 307 535 0 163 181 NA NA NA NA 426 757 0 231 289 NA NA NA NA 843 1417 293 262 359 NA NA NA NA 380 1275 355 360 413 NA NA NA 
1760648400.0 10842.0 NA 310 478 0 192 175 NA NA NA NA 410 771 0 307 283 NA NA NA NA 874 1155 282 230 361 NA NA NA NA 391 1199 303 322 416 NA NA NA 
1760648400.0 10859.0 NA 318 549 0 157 189 NA NA NA NA 433 791 0 234 295 NA NA NA NA 1002 1822 327 252 393 NA NA NA NA 463 1377 346 323 413 NA NA NA 
1760648400.0 10871.0 NA 307 526 0 160 176 NA NA NA NA 409 775 0 235 282 NA NA NA NA 980 1235 306 261 339 NA NA NA NA 434 1187 347 300 395 NA NA NA 
1760648400.0 109.0 161 194 410 NA NA NA NA NA NA 252 271 573 NA NA NA NA NA NA 1078 212 856 NA NA NA NA NA NA 514 195 826 NA NA NA NA NA NA 
1760648400.0 11.0 NA 209 400 0 134 NA NA NA NA NA 289 554 0 198 NA NA NA NA NA 794 1112 261 221 NA NA NA NA NA 343 927 286 312 NA NA NA NA 
1760648400.0 110.0 115 176 378 NA NA NA NA NA NA 177 267 578 NA NA NA NA NA NA 339 206 872 NA NA NA NA NA NA 378 182 867 NA NA NA NA NA NA 
1760648400.0 11024.0 NA 587 903 0 190 NA NA NA NA NA 758 1251 0 281 NA NA NA NA NA 2248 2303 282 279 NA NA NA NA NA 882 1444 299 291 NA NA NA NA 
1760648400.0 11024.15 NA 538 891 0 212 NA NA NA NA NA 766 1215 0 320 NA NA NA NA NA 2301 2201 241 451 NA NA NA NA NA 1092 1425 264 487 NA NA NA NA 
1760648400.0 11024.2 NA 536 842 0 170 NA NA NA NA NA 771 1159 0 276 NA NA NA NA NA 2909 2949 346 303 NA NA NA NA NA 1283 1835 375 351 NA NA NA NA 
1760648400.0 11024.6 NA 561 887 0 189 NA NA NA NA NA 759 1215 0 289 NA NA NA NA NA 2164 1952 265 288 NA NA NA NA NA 879 1262 336 304 NA NA NA NA 
1760648400.0 11025.0 NA 576 870 0 189 NA NA NA NA NA 787 1225 0 279 NA NA NA NA NA 2285 2349 264 283 NA NA NA NA NA 978 1462 292 297 NA NA NA NA 
1760648400.0 111.0 128 177 383 NA NA NA NA NA NA 222 267 583 NA NA NA NA NA NA 457 166 970 NA NA NA NA NA NA 350 195 1011 NA NA NA NA NA NA 
1760648400.0 112.0 141 188 332 NA NA NA NA NA NA 243 275 562 NA NA NA NA NA NA 775 208 921 NA NA NA NA NA NA 507 206 979 NA NA NA NA NA NA 
1760648400.0 11224.0 NA 266 520 0 NA NA NA NA NA NA 376 745 0 NA NA NA NA NA NA 277 1105 261 NA NA NA NA NA NA 240 1249 298 NA NA NA NA NA 
1760648400.0 11224.6 NA 263 531 0 NA NA NA NA NA NA 381 741 0 NA NA NA NA NA NA 277 1045 271 NA NA NA NA NA NA 252 962 308 NA NA NA NA NA 
1760648400.0 113.0 156 181 396 NA NA NA NA NA NA 249 277 576 NA NA NA NA NA NA 838 218 922 NA NA NA NA NA NA 474 225 944 NA NA NA NA NA NA 
1760648400.0 114.0 138 191 355 NA NA NA NA NA NA 243 273 581 NA NA NA NA NA NA 815 218 950 NA NA NA NA NA NA 506 203 1010 NA NA NA NA NA NA 
