Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1764972000.0 141.044406 NA 195 179 0 NA NA 300 807 0 NA NA 249 459 49 NA NA 138 228 60 NA 
1764972000.0 141.044407 NA 195 187 0 NA NA 298 820 0 NA NA 247 531 60 NA NA 139 245 74 NA 
1764972000.0 141.044408 NA 197 132 NA NA NA 299 744 NA NA NA 245 81 NA NA NA 130 90 NA NA 
1764972000.0 141.044412 NA 198 156 0 NA NA 298 819 0 NA NA 244 171 52 NA NA 130 153 64 NA 
1764972000.0 141.044413 NA 196 130 0 NA NA 305 820 0 NA NA 254 222 61 NA NA 138 194 75 NA 
1764972000.0 141.044414 NA 196 106 NA NA NA 294 657 NA NA NA 240 60 NA NA NA 128 71 NA NA 
1764972000.0 141.044422 NA 198 159 0 NA NA 296 772 0 NA NA 248 195 51 NA NA 132 145 63 NA 
1764972000.0 141.044423 NA 195 156 0 NA NA 297 764 0 NA NA 243 198 59 NA NA 132 158 74 NA 
1764972000.0 141.044424 NA 197 105 NA NA NA 304 658 NA NA NA 242 60 NA NA NA 129 73 NA NA 
1764972000.0 141.044483 NA 243 0 NA NA NA 927 0 NA NA NA 474 83 NA NA NA 237 100 NA NA 
1764972000.0 160.03502 118 222 103 470 178 171 325 156 1210 272 743 141 74 489 156 504 126 93 453 158 
1764972000.0 17034.402 NA 854 288 0 NA NA 1756 966 0 NA NA 2256 350 90 NA NA 1077 271 103 NA 
1764972000.0 17034.403 NA 814 296 0 NA NA 1776 955 0 NA NA 2100 340 103 NA NA 979 264 129 NA 
1764972000.0 17034.406 NA 811 313 0 NA NA 1777 1012 0 NA NA 2074 401 99 NA NA 957 278 110 NA 
