Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1766008800.0 160.03502 132 242 118 497 187 343 157 1114 836 149 80 532 610 152 105 553 
1766008800.0 17034.402 NA 825 NA NA NA 1541 NA NA NA 1175 NA NA NA 714 NA NA 
1766008800.0 17034.403 NA 824 NA NA NA 1543 NA NA NA 1185 NA NA NA 727 NA NA 
1766008800.0 17034.406 NA 768 NA NA NA 1473 NA NA NA 1099 NA NA NA 710 NA NA 
1766008800.0 17034.412 NA 750 NA NA NA 1494 NA NA NA 1129 NA NA NA 760 NA NA 
1766008800.0 17034.422 NA 777 NA NA NA 1477 NA NA NA 1065 NA NA NA 690 NA NA 
1766008800.0 17034.423 NA 746 NA NA NA 1452 NA NA NA 1069 NA NA NA 737 NA NA 
1766008800.0 18434.402 NA 471 NA NA NA 1093 NA NA NA 544 NA NA NA 426 NA NA 
1766008800.0 18434.403 NA 471 NA NA NA 1107 NA NA NA 535 NA NA NA 433 NA NA 
1766008800.0 18434.404 NA 465 NA NA NA 1097 NA NA NA 530 NA NA NA 414 NA NA 
1766008800.0 18434.406 NA 468 NA NA NA 1096 NA NA NA 538 NA NA NA 411 NA NA 
1766008800.0 18434.407 NA 468 NA NA NA 1097 NA NA NA 526 NA NA NA 417 NA NA 
1766008800.0 18434.408 NA 465 NA NA NA 1118 NA NA NA 526 NA NA NA 403 NA NA 
1766008800.0 18434.412 NA 468 NA NA NA 1080 NA NA NA 546 NA NA NA 426 NA NA 
1766008800.0 18434.413 NA 472 NA NA NA 1084 NA NA NA 532 NA NA NA 411 NA NA 
1766008800.0 18434.422 NA 471 NA NA NA 1104 NA NA NA 540 NA NA NA 410 NA NA 
1766008800.0 18434.423 NA 471 NA NA NA 1101 NA NA NA 540 NA NA NA 418 NA NA 
1766008800.0 18434.424 NA 466 NA NA NA 1082 NA NA NA 528 NA NA NA 426 NA NA 
1766008800.0 18450.402 NA 466 NA NA NA 1111 NA NA NA 542 NA NA NA 415 NA NA 
1766008800.0 18450.403 NA 466 NA NA NA 1116 NA NA NA 527 NA NA NA 417 NA NA 
1766008800.0 18450.404 NA 461 NA NA NA 1094 NA NA NA 531 NA NA NA 410 NA NA 
1766008800.0 18450.406 NA 467 NA NA NA 1094 NA NA NA 526 NA NA NA 407 NA NA 
1766008800.0 18450.407 NA 462 NA NA NA 1090 NA NA NA 549 NA NA NA 421 NA NA 
1766008800.0 18450.408 NA 462 NA NA NA 1078 NA NA NA 530 NA NA NA 405 NA NA 
1766008800.0 18461.402 NA 446 NA NA NA 1077 NA NA NA 506 NA NA NA 411 NA NA 
1766008800.0 18634.402 NA 650 NA NA NA 1322 NA NA NA 885 NA NA NA 650 NA NA 
1766008800.0 18634.403 NA 629 NA NA NA 1314 NA NA NA 886 NA NA NA 666 NA NA 
1766008800.0 18634.404 NA 673 NA NA NA 1347 NA NA NA 882 NA NA NA 605 NA NA 
1766008800.0 18634.406 NA 619 NA NA NA 1336 NA NA NA 903 NA NA NA 673 NA NA 
1766008800.0 18634.407 NA 656 NA NA NA 1341 NA NA NA 868 NA NA NA 655 NA NA 
1766008800.0 18634.408 NA 672 NA NA NA 1347 NA NA NA 866 NA NA NA 627 NA NA 
1766008800.0 18634.412 NA 658 NA NA NA 1329 NA NA NA 866 NA NA NA 651 NA NA 
1766008800.0 18634.413 NA 671 NA NA NA 1336 NA NA NA 868 NA NA NA 658 NA NA 
1766008800.0 18634.422 NA 662 NA NA NA 1317 NA NA NA 890 NA NA NA 660 NA NA 
1766008800.0 18634.423 NA 671 NA NA NA 1302 NA NA NA 831 NA NA NA 671 NA NA 
1766008800.0 18634.424 NA 664 NA NA NA 1347 NA NA NA 861 NA NA NA 610 NA NA 
1766008800.0 18650.402 NA 614 NA NA NA 1292 NA NA NA 866 NA NA NA 665 NA NA 
1766008800.0 18650.403 NA 649 NA NA NA 1304 NA NA NA 874 NA NA NA 657 NA NA 
1766008800.0 18650.404 NA 648 NA NA NA 1349 NA NA NA 877 NA NA NA 635 NA NA 
1766008800.0 18650.406 NA 608 NA NA NA 1293 NA NA NA 851 NA NA NA 648 NA NA 
1766008800.0 18650.407 NA 643 NA NA NA 1295 NA NA NA 817 NA NA NA 644 NA NA 
1766008800.0 18650.408 NA 656 NA NA NA 1317 NA NA NA 871 NA NA NA 604 NA NA 
1766008800.0 18661.402 NA 647 NA NA NA 1280 NA NA NA 833 NA NA NA 614 NA NA 
