Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1764885600.0 141.113 NA 0 0 0 NA NA 0 0 0 NA NA 209 671 281 NA NA 528 1213 633 NA 
1764885600.0 16834.0 NA 613 961 0 260 NA 905 1253 0 395 NA 859 3939 299 302 NA 1069 5670 712 608 
1764885600.0 2500.1502 NA 139 NA NA NA NA 238 NA NA NA NA 7819 NA NA NA NA 10147 NA NA NA 
1764885600.0 2500.1504 NA 140 NA NA NA NA 236 NA NA NA NA 10264 NA NA NA NA 12037 NA NA NA 
1764885600.0 2500.2204 NA 281 NA NA NA NA 426 NA NA NA NA 8048 NA NA NA NA 2466 NA NA NA 
1764885600.0 2500.2207 NA 181 NA NA NA NA 293 NA NA NA NA 5705 NA NA NA NA 2777 NA NA NA 
1764885600.0 2500.231 NA 85 NA NA NA NA 162 NA NA NA NA 4235 NA NA NA NA 2009 NA NA NA 
1764885600.0 2500.2401 NA 208 NA NA NA NA 362 NA NA NA NA 311 NA NA NA NA 583 NA NA NA 
1764885600.0 2500.2403 NA 118 NA NA NA NA 203 NA NA NA NA 172 NA NA NA NA 396 NA NA NA 
1764885600.0 2500.3205 NA 311 NA NA NA NA 471 NA NA NA NA 8193 NA NA NA NA 2504 NA NA NA 
1764885600.0 2500.3208 NA 299 NA NA NA NA 465 NA NA NA NA 8577 NA NA NA NA 2513 NA NA NA 
1764885600.0 250399.0 286 NA NA NA NA 428 NA NA NA NA 392 NA NA NA NA 608 NA NA NA NA 
