Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1764669600.0 1.0 132 173 314 NA NA NA NA NA NA 234 260 460 NA NA NA NA NA NA 711 172 447 NA NA NA NA NA NA 470 202 582 NA NA NA NA NA NA 
1764669600.0 10.0 NA 222 435 0 NA NA NA NA NA NA 321 582 0 NA NA NA NA NA NA 719 1686 166 NA NA NA NA NA NA 382 1207 181 NA NA NA NA NA 
1764669600.0 1000.0 NA 387 206 0 113 NA NA NA NA NA 538 285 0 185 NA NA NA NA NA 1165 209 119 115 NA NA NA NA NA 704 205 137 118 NA NA NA NA 
1764669600.0 10001.0 NA 309 527 0 158 185 NA NA NA NA 418 772 0 226 287 NA NA NA NA 528 695 159 138 230 NA NA NA NA 255 672 172 160 313 NA NA NA 
1764669600.0 10002.0 NA 313 525 0 157 181 NA NA NA NA 417 734 0 232 284 NA NA NA NA 531 700 161 137 228 NA NA NA NA 258 646 174 163 299 NA NA NA 
1764669600.0 10003.0 NA 312 521 0 157 188 NA NA NA NA 413 736 0 230 288 NA NA NA NA 537 711 161 143 234 NA NA NA NA 261 656 173 176 344 NA NA NA 
1764669600.0 10004.0 NA 312 516 0 157 186 NA NA NA NA 413 750 0 232 278 NA NA NA NA 534 690 160 140 223 NA NA NA NA 245 699 175 166 290 NA NA NA 
1764669600.0 10005.0 NA 310 519 0 157 189 NA NA NA NA 409 743 0 236 277 NA NA NA NA 527 678 159 139 222 NA NA NA NA 251 717 171 167 252 NA NA NA 
1764669600.0 10006.0 NA 310 523 0 157 184 NA NA NA NA 415 758 0 232 285 NA NA NA NA 523 660 161 138 232 NA NA NA NA 247 655 174 162 298 NA NA NA 
1764669600.0 10007.0 NA 311 527 0 188 187 NA NA NA NA 429 727 0 303 292 NA NA NA NA 526 680 167 143 225 NA NA NA NA 237 704 192 171 275 NA NA NA 
1764669600.0 10008.0 NA 311 522 0 189 188 NA NA NA NA 416 741 0 304 290 NA NA NA NA 565 683 165 142 231 NA NA NA NA 249 764 178 162 318 NA NA NA 
1764669600.0 10009.0 NA 307 531 0 186 184 NA NA NA NA 413 741 0 302 284 NA NA NA NA 536 714 167 144 226 NA NA NA NA 267 687 184 168 296 NA NA NA 
1764669600.0 1001.0 NA 342 193 0 0 0 0 0 0 NA 501 268 0 0 0 0 0 0 NA 934 172 33 22 33 74 42 75 NA 783 179 42 31 41 82 53 84 
1764669600.0 1002.0 NA 405 138 NA NA NA NA NA NA NA 553 177 NA NA NA NA NA NA NA 1334 95 NA NA NA NA NA NA NA 986 77 NA NA NA NA NA NA 
1764669600.0 1002.3 NA 529 235 0 NA NA NA NA NA NA 766 363 0 NA NA NA NA NA NA 2882 319 109 NA NA NA NA NA NA 1340 267 147 NA NA NA NA NA 
1764669600.0 1002.5 NA 151 131 0 0 NA NA NA NA NA 239 209 0 0 NA NA NA NA NA 150 106 90 48 NA NA NA NA NA 263 130 121 63 NA NA NA NA 
1764669600.0 10023.0 NA 308 521 0 157 185 NA NA NA NA 411 722 0 231 289 NA NA NA NA 569 670 165 139 221 NA NA NA NA 276 780 177 158 271 NA NA NA 
1764669600.0 10024.0 NA 321 548 0 190 190 NA NA NA NA 430 779 0 309 285 NA NA NA NA 588 826 181 145 223 NA NA NA NA 249 703 194 169 236 NA NA NA 
1764669600.0 10024.1 NA 314 313 0 NA NA NA NA NA NA 436 443 0 NA NA NA NA NA NA 576 333 183 NA NA NA NA NA NA 334 389 218 NA NA NA NA NA 
1764669600.0 10024.2 NA 320 536 0 NA NA NA NA NA NA 432 744 0 NA NA NA NA NA NA 722 858 179 NA NA NA NA NA NA 326 876 209 NA NA NA NA NA 
1764669600.0 10024.3 NA 319 287 0 NA NA NA NA NA NA 433 425 0 NA NA NA NA NA NA 568 312 151 NA NA NA NA NA NA 282 326 167 NA NA NA NA NA 
1764669600.0 10024.4 NA 317 535 0 NA NA NA NA NA NA 429 736 0 NA NA NA NA NA NA 588 842 177 NA NA NA NA NA NA 342 887 211 NA NA NA NA NA 
1764669600.0 10025.0 NA 314 533 0 157 189 NA NA NA NA 424 749 0 233 292 NA NA NA NA 581 728 170 140 224 NA NA NA NA 254 678 184 168 267 NA NA NA 
1764669600.0 10026.0 NA 325 556 0 162 191 NA NA NA NA 440 780 0 231 290 NA NA NA NA 547 890 184 140 227 NA NA NA NA 249 749 194 167 258 NA NA NA 
1764669600.0 1003.0 NA 398 0 NA NA NA NA NA NA NA 659 0 NA NA NA NA NA NA NA 1220 114 NA NA NA NA NA NA NA 868 145 NA NA NA NA NA NA 
1764669600.0 10042.0 NA 316 532 0 190 185 NA NA NA NA 423 739 0 306 290 NA NA NA NA 577 712 176 145 231 NA NA NA NA 269 713 197 165 301 NA NA NA 
1764669600.0 1005.0 NA 211 160 0 0 NA NA NA NA NA 389 264 0 0 NA NA NA NA NA 229 100 35 51 NA NA NA NA NA 348 126 47 91 NA NA NA NA 
1764669600.0 10059.0 NA 325 550 0 162 192 NA NA NA NA 430 779 0 234 287 NA NA NA NA 569 1041 185 145 230 NA NA NA NA 260 752 200 165 284 NA NA NA 
1764669600.0 10071.0 NA 319 541 0 160 189 NA NA NA NA 423 765 0 236 292 NA NA NA NA 543 786 181 143 226 NA NA NA NA 254 674 198 169 281 NA NA NA 
1764669600.0 101.0 180 NA NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA NA 312 NA NA NA NA NA NA NA NA 288 NA NA NA NA NA NA NA NA 
1764669600.0 1010.0 NA 88 103 0 NA NA NA NA NA NA 157 176 0 NA NA NA NA NA NA 58 82 54 NA NA NA NA NA NA 106 134 68 NA NA NA NA NA 
1764669600.0 102.0 168 NA NA NA NA NA NA NA NA 289 NA NA NA NA NA NA NA NA 296 NA NA NA NA NA NA NA NA 304 NA NA NA NA NA NA NA NA 
1764669600.0 1020.0 NA 87 84 0 92 NA NA NA NA NA 170 159 0 168 NA NA NA NA NA 86 54 26 81 NA NA NA NA NA 160 77 54 128 NA NA NA NA 
1764669600.0 10224.0 NA 505 803 0 182 NA NA NA NA NA 682 1060 0 293 NA NA NA NA NA 1285 1436 192 237 NA NA NA NA NA 678 1016 205 297 NA NA NA NA 
1764669600.0 103.0 117 0 0 NA NA NA NA NA NA 175 0 0 NA NA NA NA NA NA 296 58 687 NA NA NA NA NA NA 281 88 806 NA NA NA NA NA NA 
1764669600.0 1030.0 NA 243 95 0 0 NA NA NA NA NA 426 168 0 0 NA NA NA NA NA 2289 78 22 22 NA NA NA NA NA 885 80 31 29 NA NA NA NA 
