Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1759784400.0 1001.4 NA 861 378 0 0 0 NA 1157 889 0 0 0 NA 20991 219 62 67 66 NA 7430 348 73 85 119 
1759784400.0 1002.5 NA 272 255 0 0 NA NA 396 360 0 0 NA NA 181 162 134 70 NA NA 226 383 210 132 NA 
1759784400.0 1005.0 NA 397 278 0 0 NA NA 621 416 0 0 NA NA 344 136 47 63 NA NA 506 207 80 116 NA 
1759784400.0 101.0 332 NA NA NA NA NA 520 NA NA NA NA NA 744 NA NA NA NA NA 821 NA NA NA NA NA 
1759784400.0 1010.0 NA 200 223 0 NA NA NA 296 321 0 NA NA NA 75 102 64 NA NA NA 122 111 98 NA NA 
1759784400.0 102.0 336 NA NA NA NA NA 499 NA NA NA NA NA 672 NA NA NA NA NA 868 NA NA NA NA NA 
1759784400.0 1020.0 NA 196 185 0 195 NA NA 307 292 0 305 NA NA 106 80 39 105 NA NA 204 145 73 180 NA 
1759784400.0 103.0 232 0 NA NA NA NA 330 0 NA NA NA NA 526 79 NA NA NA NA 527 145 NA NA NA NA 
1759784400.0 1040.0 NA 813 188 0 NA NA NA 1086 272 0 NA NA NA 25395 71 94 NA NA NA 8523 104 173 NA NA 
1759784400.0 1040.1 NA 260 184 0 NA NA NA 381 272 0 NA NA NA 220 87 96 NA NA NA 287 156 107 NA NA 
1759784400.0 1041.0 NA 268 200 0 NA NA NA 381 290 0 NA NA NA 135 82 36 NA NA NA 201 127 69 NA NA 
1759784400.0 1042.0 NA 269 196 0 NA NA NA 386 287 0 NA NA NA 285 78 34 NA NA NA 432 108 71 NA NA 
1759784400.0 10424.0 NA 501 NA NA NA NA NA 1108 NA NA NA NA NA 358 NA NA NA NA NA 362 NA NA NA NA 
1759784400.0 1049.0 NA 241 0 NA NA NA NA 354 0 NA NA NA NA 627 71 NA NA NA NA 891 122 NA NA NA 
1759784400.0 1052.0 NA 402 278 0 NA NA NA 621 417 0 NA NA NA 340 134 38 NA NA NA 473 230 74 NA NA 
1759784400.0 1052.1 NA 270 0 NA NA NA NA 400 0 NA NA NA NA 121 35 NA NA NA NA 178 58 NA NA NA 
1759784400.0 106.0 239 0 NA NA NA NA 332 0 NA NA NA NA 505 83 NA NA NA NA 556 126 NA NA NA NA 
1759784400.0 110.0 232 330 NA NA NA NA 324 448 NA NA NA NA 548 286 NA NA NA NA 543 225 NA NA NA NA 
1759784400.0 111.0 245 340 NA NA NA NA 382 449 NA NA NA NA 888 216 NA NA NA NA 837 220 NA NA NA NA 
1759784400.0 11224.6 NA 509 NA NA NA NA NA 1107 NA NA NA NA NA 370 NA NA NA NA NA 244 NA NA NA NA 
1759784400.0 11634.24 NA 416 NA NA NA NA NA 537 NA NA NA NA NA 405 NA NA NA NA NA 364 NA NA NA NA 
1759784400.0 120.0 235 331 NA NA NA NA 348 451 NA NA NA NA 519 281 NA NA NA NA 511 201 NA NA NA NA 
1759784400.0 122.0 245 321 NA NA NA NA 352 444 NA NA NA NA 574 182 NA NA NA NA 602 260 NA NA NA NA 
1759784400.0 127.0 236 332 NA NA NA NA 339 455 NA NA NA NA 688 291 NA NA NA NA 615 219 NA NA NA NA 
1759784400.0 128.0 233 339 NA NA NA NA 326 451 NA NA NA NA 488 280 NA NA NA NA 537 265 NA NA NA NA 
1759784400.0 12846.0 NA 468 NA NA NA NA NA 603 NA NA NA NA NA 613 NA NA NA NA NA 434 NA NA NA NA 
1759784400.0 12861.0 NA 467 NA NA NA NA NA 617 NA NA NA NA NA 579 NA NA NA NA NA 377 NA NA NA NA 
1759784400.0 129.0 233 329 NA NA NA NA 326 452 NA NA NA NA 497 289 NA NA NA NA 537 274 NA NA NA NA 
1759784400.0 13.0 NA 339 NA NA NA NA NA 474 NA NA NA NA NA 255 NA NA NA NA NA 209 NA NA NA NA 
1759784400.0 130.0 234 339 NA NA NA NA 343 452 NA NA NA NA 518 282 NA NA NA NA 608 195 NA NA NA NA 
1759784400.0 1306.0 NA 385 NA NA NA NA NA 536 NA NA NA NA NA 296 NA NA NA NA NA 290 NA NA NA NA 
1759784400.0 1307.0 NA 372 497 225 0 NA NA 518 685 328 0 NA NA 285 477 100 113 NA NA 256 517 187 184 NA 
1759784400.0 1308.0 NA 365 480 224 0 NA NA 509 674 329 0 NA NA 279 326 95 112 NA NA 231 486 160 210 NA 
1759784400.0 1309.0 NA 397 NA NA NA NA NA 544 NA NA NA NA NA 326 NA NA NA NA NA 255 NA NA NA NA 
1759784400.0 131.0 236 330 NA NA NA NA 330 458 NA NA NA NA 740 293 NA NA NA NA 559 248 NA NA NA NA 
1759784400.0 1310.0 NA 404 NA NA NA NA NA 548 NA NA NA NA NA 317 NA NA NA NA NA 300 NA NA NA NA 
1759784400.0 1311.0 NA 389 NA NA NA NA NA 531 NA NA NA NA NA 309 NA NA NA NA NA 336 NA NA NA NA 
1759784400.0 1312.0 NA 395 NA NA NA NA NA 547 NA NA NA NA NA 327 NA NA NA NA NA 341 NA NA NA NA 
