Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1766959200.0 141.044406 NA 196 202 0 NA NA 293 756 0 NA NA 253 476 53 NA NA 142 238 67 NA 
1766959200.0 141.044407 NA 194 215 0 NA NA 288 773 0 NA NA 257 517 66 NA NA 144 239 98 NA 
1766959200.0 141.044408 NA 196 160 NA NA NA 294 695 NA NA NA 250 87 NA NA NA 133 97 NA NA 
1766959200.0 141.044412 NA 196 181 0 NA NA 289 711 0 NA NA 249 180 57 NA NA 136 161 73 NA 
1766959200.0 141.044413 NA 195 183 0 NA NA 287 714 0 NA NA 249 222 63 NA NA 135 177 78 NA 
1766959200.0 141.044414 NA 197 112 NA NA NA 286 606 NA NA NA 243 62 NA NA NA 130 79 NA NA 
1766959200.0 141.044422 NA 196 187 0 NA NA 296 706 0 NA NA 253 203 56 NA NA 137 157 69 NA 
1766959200.0 141.044423 NA 195 187 0 NA NA 297 702 0 NA NA 254 204 62 NA NA 135 155 78 NA 
1766959200.0 141.044424 NA 197 112 NA NA NA 294 605 NA NA NA 246 62 NA NA NA 132 80 NA NA 
1766959200.0 141.044483 NA 278 0 NA NA NA 859 0 NA NA NA 492 84 NA NA NA 255 100 NA NA 
1766959200.0 160.03502 115 220 100 488 177 166 326 154 1110 269 746 143 75 526 160 513 138 110 485 169 
1766959200.0 17034.402 NA 850 304 0 NA NA 1681 873 0 NA NA 2098 344 94 NA NA 942 281 109 NA 
1766959200.0 17034.403 NA 890 312 0 NA NA 1728 908 0 NA NA 2143 356 102 NA NA 991 284 116 NA 
1766959200.0 17034.406 NA 843 332 0 NA NA 1687 914 0 NA NA 2080 445 105 NA NA 905 301 120 NA 
1766959200.0 17034.412 NA 789 484 0 NA NA 1653 1150 0 NA NA 2042 594 58 NA NA 933 415 71 NA 
1766959200.0 17034.422 NA 872 492 0 NA NA 1701 1133 0 NA NA 2058 546 54 NA NA 941 402 70 NA 
1766959200.0 17034.423 NA 858 523 0 NA NA 1741 1137 0 NA NA 2081 555 53 NA NA 950 391 67 NA 
1766959200.0 18434.402 NA 520 256 0 NA NA 1195 816 0 NA NA 527 250 85 NA NA 346 234 99 NA 
1766959200.0 18434.403 NA 522 262 0 NA NA 1196 832 0 NA NA 522 254 93 NA NA 344 239 107 NA 
1766959200.0 18434.404 NA 521 186 NA NA NA 1174 714 NA NA NA 533 122 NA NA NA 369 139 NA NA 
1766959200.0 18434.406 NA 521 258 0 NA NA 1172 828 0 NA NA 523 247 89 NA NA 344 231 105 NA 
1766959200.0 18434.407 NA 521 210 0 NA NA 1188 843 0 NA NA 535 255 91 NA NA 366 247 104 NA 
1766959200.0 18434.408 NA 519 184 NA NA NA 1175 712 NA NA NA 533 119 NA NA NA 370 131 NA NA 
1766959200.0 18434.412 NA 523 230 0 NA NA 1179 776 0 NA NA 532 230 58 NA NA 357 234 70 NA 
1766959200.0 18434.413 NA 522 235 0 NA NA 1188 785 0 NA NA 525 231 59 NA NA 343 226 74 NA 
1766959200.0 18434.422 NA 521 224 0 NA NA 1221 756 0 NA NA 530 224 52 NA NA 353 221 65 NA 
1766959200.0 18434.423 NA 518 228 0 NA NA 1186 758 0 NA NA 530 227 54 NA NA 349 214 68 NA 
1766959200.0 18434.424 NA 473 193 NA NA NA 1197 695 NA NA NA 529 152 NA NA NA 358 155 NA NA 
1766959200.0 18450.402 NA 488 254 0 NA NA 1210 814 0 NA NA 515 236 82 NA NA 356 232 97 NA 
1766959200.0 18450.403 NA 519 262 0 NA NA 1224 835 0 NA NA 516 238 89 NA NA 352 234 103 NA 
1766959200.0 18450.404 NA 518 184 NA NA NA 1179 714 NA NA NA 511 115 NA NA NA 342 129 NA NA 
1766959200.0 18450.406 NA 522 252 0 NA NA 1193 816 0 NA NA 514 236 85 NA NA 358 234 99 NA 
1766959200.0 18450.407 NA 517 261 0 NA NA 1193 825 0 NA NA 515 241 86 NA NA 350 237 100 NA 
1766959200.0 18450.408 NA 518 186 NA NA NA 1163 713 NA NA NA 534 117 NA NA NA 357 132 NA NA 
1766959200.0 18461.402 NA 490 243 0 NA NA 1146 783 0 NA NA 486 218 68 NA NA 346 220 81 NA 
1766959200.0 18634.402 NA 706 285 0 NA NA 1462 843 0 NA NA 1362 299 94 NA NA 711 253 112 NA 
1766959200.0 18634.403 NA 696 291 0 NA NA 1467 869 0 NA NA 1311 308 101 NA NA 702 281 117 NA 
1766959200.0 18634.404 NA 696 185 NA NA NA 1425 718 NA NA NA 1350 122 NA NA NA 693 143 NA NA 
1766959200.0 18634.406 NA 694 284 0 NA NA 1463 852 0 NA NA 1303 306 100 NA NA 713 252 114 NA 
1766959200.0 18634.407 NA 708 298 0 NA NA 1456 863 0 NA NA 1350 318 103 NA NA 702 256 117 NA 
1766959200.0 18634.408 NA 704 186 NA NA NA 1411 710 NA NA NA 1348 121 NA NA NA 712 140 NA NA 
1766959200.0 18634.412 NA 708 395 0 NA NA 1441 992 0 NA NA 1374 434 58 NA NA 708 352 72 NA 
1766959200.0 18634.413 NA 678 400 0 NA NA 1468 979 0 NA NA 1358 433 59 NA NA 716 362 73 NA 
1766959200.0 18634.422 NA 697 374 0 NA NA 1448 959 0 NA NA 1349 395 54 NA NA 705 348 69 NA 
1766959200.0 18634.423 NA 703 375 0 NA NA 1460 956 0 NA NA 1392 408 53 NA NA 722 364 66 NA 
1766959200.0 18634.424 NA 700 195 NA NA NA 1438 698 NA NA NA 1361 154 NA NA NA 723 154 NA NA 
1766959200.0 18650.402 NA 707 282 0 NA NA 1425 840 0 NA NA 1305 284 93 NA NA 701 247 111 NA 
1766959200.0 18650.403 NA 685 290 0 NA NA 1400 848 0 NA NA 1257 289 98 NA NA 694 249 113 NA 
1766959200.0 18650.404 NA 694 185 NA NA NA 1440 716 NA NA NA 1319 116 NA NA NA 677 131 NA NA 
1766959200.0 18650.406 NA 692 286 0 NA NA 1413 859 0 NA NA 1297 293 99 NA NA 692 249 114 NA 
1766959200.0 18650.407 NA 689 294 0 NA NA 1412 867 0 NA NA 1274 299 101 NA NA 689 252 117 NA 
1766959200.0 18650.408 NA 691 188 NA NA NA 1444 718 NA NA NA 1294 115 NA NA NA 698 129 NA NA 
1766959200.0 18661.402 NA 686 282 0 NA NA 1440 858 0 NA NA 1286 276 96 NA NA 703 256 131 NA 
1766959200.0 29634.402 NA 686 399 0 NA NA 2008 1089 0 NA NA 828 437 82 NA NA 477 369 97 NA 
1766959200.0 29634.4021 NA 705 409 0 NA NA 2088 1192 0 NA NA 828 435 81 NA NA 462 366 95 NA 
1766959200.0 29634.403 NA 691 421 0 NA NA 1997 1163 0 NA NA 827 437 90 NA NA 461 369 110 NA 
1766959200.0 29634.404 NA 697 241 NA NA NA 2044 891 NA NA NA 827 213 NA NA NA 469 251 NA NA 
1766959200.0 29634.406 NA 689 426 0 NA NA 2016 1148 0 NA NA 827 445 84 NA NA 478 371 99 NA 
1766959200.0 29634.612 NA 288 254 0 NA NA 408 821 0 NA NA 416 355 102 NA NA 220 228 116 NA 
1766959200.0 29634.704 NA 688 396 0 NA NA 1379 1196 0 NA NA 826 450 97 NA NA 475 393 110 NA 
1766959200.0 29634.751 NA 712 0 NA NA NA 2000 0 NA NA NA 930 76 NA NA NA 503 93 NA NA 
1766959200.0 29661.402 NA 638 355 0 NA NA 1907 955 0 NA NA 732 394 63 NA NA 451 368 78 NA 
1766959200.0 29661.751 NA 633 0 NA NA NA 1308 0 NA NA NA 808 67 NA NA NA 482 78 NA NA 
1766959200.0 29834.402 NA 1622 853 0 NA NA 3448 1809 0 NA NA 5209 1488 102 NA NA 1916 711 120 NA 
1766959200.0 29834.4021 NA 1530 870 0 NA NA 3350 1874 0 NA NA 5200 1434 104 NA NA 1836 689 124 NA 
1766959200.0 29834.403 NA 1595 869 0 NA NA 3189 1849 0 NA NA 5187 1502 121 NA NA 1900 668 140 NA 
1766959200.0 29834.404 NA 1590 248 NA NA NA 3313 919 NA NA NA 5312 218 NA NA NA 1902 261 NA NA 
1766959200.0 29834.704 NA 1581 789 0 NA NA 2635 1739 0 NA NA 5213 1797 117 NA NA 1848 711 133 NA 
1766959200.0 29834.751 NA 1576 0 NA NA NA 3305 0 NA NA NA 5613 85 NA NA NA 1976 99 NA NA 
