Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1768428000.0 1.0 140 173 281 NA NA NA NA NA NA 230 261 445 NA NA NA NA NA NA 975 229 617 NA NA NA NA NA NA 606 207 768 NA NA NA NA NA NA 
1768428000.0 10.0 NA 214 416 0 NA NA NA NA NA NA 320 612 0 NA NA NA NA NA NA 741 1482 178 NA NA NA NA NA NA 336 968 195 NA NA NA NA NA 
1768428000.0 1000.0 NA 350 175 0 108 NA NA NA NA NA 523 283 0 178 NA NA NA NA NA 1590 322 213 175 NA NA NA NA NA 1169 319 247 174 NA NA NA NA 
1768428000.0 10001.0 NA 288 498 0 150 173 NA NA NA NA 404 749 0 228 282 NA NA NA NA 698 1186 299 260 355 NA NA NA NA 414 1335 348 376 449 NA NA NA 
1768428000.0 10002.0 NA 303 506 0 150 178 NA NA NA NA 411 759 0 223 279 NA NA NA NA 552 803 184 167 245 NA NA NA NA 276 798 204 194 263 NA NA NA 
1768428000.0 10003.0 NA 297 506 0 154 185 NA NA NA NA 417 773 0 222 283 NA NA NA NA 598 783 187 155 245 NA NA NA NA 298 818 209 191 258 NA NA NA 
1768428000.0 10004.0 NA 294 501 0 153 172 NA NA NA NA 410 764 0 220 278 NA NA NA NA 651 842 188 164 258 NA NA NA NA 326 874 208 209 323 NA NA NA 
1768428000.0 10005.0 NA 289 501 0 149 174 NA NA NA NA 405 739 0 223 278 NA NA NA NA 720 1015 236 200 305 NA NA NA NA 397 1310 259 261 322 NA NA NA 
1768428000.0 10006.0 NA 289 497 0 149 111 NA NA NA NA 416 722 0 224 271 NA NA NA NA 696 807 280 252 400 NA NA NA NA 437 940 347 312 522 NA NA NA 
1768428000.0 10007.0 NA 293 501 0 177 174 NA NA NA NA 421 755 0 301 289 NA NA NA NA 820 1191 272 256 396 NA NA NA NA 492 1294 296 304 462 NA NA NA 
1768428000.0 10008.0 NA 294 502 0 178 175 NA NA NA NA 430 733 0 299 286 NA NA NA NA 880 1204 290 261 382 NA NA NA NA 436 1316 312 312 401 NA NA NA 
1768428000.0 10009.0 NA 301 510 0 184 187 NA NA NA NA 420 754 0 298 286 NA NA NA NA 602 835 194 160 255 NA NA NA NA 296 1114 212 197 311 NA NA NA 
1768428000.0 1001.0 NA 324 187 0 0 0 0 0 0 NA 489 280 0 0 0 0 0 0 NA 1313 306 56 37 57 150 74 124 NA 1591 361 92 61 85 237 129 139 
1768428000.0 1001.2 NA 536 228 0 0 0 0 NA NA NA 808 362 0 0 0 0 NA NA NA 5810 525 62 71 79 102 NA NA NA 2417 539 76 109 97 194 NA NA 
1768428000.0 1001.3 NA 540 216 0 NA NA NA NA NA NA 771 335 0 NA NA NA NA NA NA 3536 196 107 NA NA NA NA NA NA 1738 207 148 NA NA NA NA NA 
1768428000.0 1001.4 NA 497 180 0 0 0 NA NA NA NA 775 297 0 0 0 NA NA NA NA 4945 266 80 82 73 NA NA NA NA 3454 347 122 106 90 NA NA NA 
1768428000.0 1002.0 NA 401 140 NA NA NA NA NA NA NA 570 180 NA NA NA NA NA NA NA 1123 97 NA NA NA NA NA NA NA 863 86 NA NA NA NA NA NA 
1768428000.0 1002.3 NA 504 231 0 NA NA NA NA NA NA 747 367 0 NA NA NA NA NA NA 3700 521 162 NA NA NA NA NA NA 2470 477 205 NA NA NA NA NA 
1768428000.0 1002.4 NA 529 0 NA NA NA NA NA NA NA 781 0 NA NA NA NA NA NA NA 5306 223 NA NA NA NA NA NA NA 2850 294 NA NA NA NA NA NA 
1768428000.0 1002.5 NA 150 133 0 0 NA NA NA NA NA 235 204 0 0 NA NA NA NA NA 154 109 92 50 NA NA NA NA NA 243 160 127 65 NA NA NA NA 
1768428000.0 10023.0 NA 293 498 0 149 171 NA NA NA NA 409 721 0 225 284 NA NA NA NA 919 1161 277 251 333 NA NA NA NA 474 1206 300 320 366 NA NA NA 
1768428000.0 10024.0 NA 306 528 0 189 188 NA NA NA NA 413 790 0 305 278 NA NA NA NA 605 883 210 154 259 NA NA NA NA 304 1027 285 178 277 NA NA NA 
1768428000.0 10024.1 NA 311 304 0 NA NA NA NA NA NA 415 439 0 NA NA NA NA NA NA 745 407 188 NA NA NA NA NA NA 337 445 206 NA NA NA NA NA 
1768428000.0 10024.2 NA 312 534 0 NA NA NA NA NA NA 430 756 0 NA NA NA NA NA NA 556 778 175 NA NA NA NA NA NA 316 764 223 NA NA NA NA NA 
1768428000.0 10024.3 NA 320 288 0 NA NA NA NA NA NA 432 413 0 NA NA NA NA NA NA 549 290 149 NA NA NA NA NA NA 269 358 188 NA NA NA NA NA 
1768428000.0 10024.4 NA 298 510 0 NA NA NA NA NA NA 434 749 0 NA NA NA NA NA NA 830 1118 224 NA NA NA NA NA NA 379 1329 244 NA NA NA NA NA 
1768428000.0 10025.0 NA 297 510 0 151 175 NA NA NA NA 410 723 0 222 283 NA NA NA NA 684 1044 196 168 263 NA NA NA NA 364 1039 219 194 320 NA NA NA 
