Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1767996000.0 1.0 126 170 276 NA NA NA NA NA NA 232 254 457 NA NA NA NA NA NA 769 209 498 NA NA NA NA NA NA 452 182 582 NA NA NA NA NA NA 
1767996000.0 10.0 NA 226 438 0 NA NA NA NA NA NA 315 619 0 NA NA NA NA NA NA 689 1402 179 NA NA NA NA NA NA 280 914 204 NA NA NA NA NA 
1767996000.0 1000.0 NA 344 171 0 108 NA NA NA NA NA 553 276 0 176 NA NA NA NA NA 1809 313 192 122 NA NA NA NA NA 1438 301 209 122 NA NA NA NA 
1767996000.0 10001.0 NA 295 523 0 157 186 NA NA NA NA 402 741 0 224 281 NA NA NA NA 769 730 172 154 229 NA NA NA NA 351 757 196 222 275 NA NA NA 
1767996000.0 10002.0 NA 292 501 0 150 175 NA NA NA NA 409 749 0 225 286 NA NA NA NA 659 917 225 215 297 NA NA NA NA 346 995 246 245 410 NA NA NA 
1767996000.0 10003.0 NA 308 504 0 157 187 NA NA NA NA 427 736 0 229 281 NA NA NA NA 610 778 176 149 236 NA NA NA NA 299 788 237 209 282 NA NA NA 
1767996000.0 10004.0 NA 310 512 0 157 180 NA NA NA NA 416 729 0 226 279 NA NA NA NA 548 780 170 151 229 NA NA NA NA 255 760 202 192 276 NA NA NA 
1767996000.0 10005.0 NA 311 513 0 157 186 NA NA NA NA 413 742 0 228 280 NA NA NA NA 546 746 175 146 234 NA NA NA NA 250 843 238 191 275 NA NA NA 
1767996000.0 10006.0 NA 305 519 0 154 185 NA NA NA NA 409 716 0 230 278 NA NA NA NA 761 719 172 150 228 NA NA NA NA 359 704 205 199 266 NA NA NA 
1767996000.0 10007.0 NA 304 508 0 184 180 NA NA NA NA 407 759 0 303 281 NA NA NA NA 585 781 176 154 230 NA NA NA NA 282 841 202 202 272 NA NA NA 
1767996000.0 10008.0 NA 310 505 0 186 179 NA NA NA NA 408 735 0 300 287 NA NA NA NA 623 771 184 152 232 NA NA NA NA 287 821 229 196 269 NA NA NA 
1767996000.0 10009.0 NA 306 519 0 186 182 NA NA NA NA 416 732 0 304 285 NA NA NA NA 566 793 176 153 231 NA NA NA NA 263 760 208 201 268 NA NA NA 
1767996000.0 1001.0 NA 335 192 0 0 0 0 0 0 NA 482 276 0 0 0 0 0 0 NA 1091 183 36 24 36 80 45 81 NA 791 232 49 36 50 94 62 100 
1767996000.0 1001.2 NA 561 238 0 0 0 0 NA NA NA 785 359 0 0 0 0 NA NA NA 5952 466 61 80 72 74 NA NA NA 2299 372 72 159 109 92 NA NA 
1767996000.0 1001.3 NA 534 211 0 NA NA NA NA NA NA 758 329 0 NA NA NA NA NA NA 4668 209 107 NA NA NA NA NA NA 1964 227 147 NA NA NA NA NA 
1767996000.0 1001.4 NA 514 180 0 0 0 NA NA NA NA 765 291 0 0 0 NA NA NA NA 6126 272 84 81 88 NA NA NA NA 4080 393 132 115 138 NA NA NA 
1767996000.0 1002.0 NA 387 124 NA NA NA NA NA NA NA 579 187 NA NA NA NA NA NA NA 2039 104 NA NA NA NA NA NA NA 1835 85 NA NA NA NA NA NA 
1767996000.0 1002.3 NA 502 229 0 NA NA NA NA NA NA 761 355 0 NA NA NA NA NA NA 4497 498 116 NA NA NA NA NA NA 2471 545 153 NA NA NA NA NA 
1767996000.0 1002.4 NA 534 0 NA NA NA NA NA NA NA 785 0 NA NA NA NA NA NA NA 5240 163 NA NA NA NA NA NA NA 2200 186 NA NA NA NA NA NA 
1767996000.0 1002.5 NA 147 130 0 0 NA NA NA NA NA 232 206 0 0 NA NA NA NA NA 266 163 140 76 NA NA NA NA NA 558 237 196 134 NA NA NA NA 
1767996000.0 10023.0 NA 309 506 0 156 180 NA NA NA NA 411 737 0 220 282 NA NA NA NA 557 782 177 148 226 NA NA NA NA 262 746 216 202 272 NA NA NA 
1767996000.0 10024.0 NA 318 549 0 189 191 NA NA NA NA 423 759 0 310 285 NA NA NA NA 794 1104 247 187 242 NA NA NA NA 374 940 268 241 274 NA NA NA 
1767996000.0 10024.1 NA 317 307 0 NA NA NA NA NA NA 434 452 0 NA NA NA NA NA NA 687 394 199 NA NA NA NA NA NA 347 458 211 NA NA NA NA NA 
1767996000.0 10024.2 NA 321 521 0 NA NA NA NA NA NA 412 773 0 NA NA NA NA NA NA 580 875 182 NA NA NA NA NA NA 275 1076 202 NA NA NA NA NA 
1767996000.0 10024.3 NA 312 283 0 NA NA NA NA NA NA 419 412 0 NA NA NA NA NA NA 665 379 176 NA NA NA NA NA NA 344 479 235 NA NA NA NA NA 
1767996000.0 10024.4 NA 320 524 0 NA NA NA NA NA NA 436 759 0 NA NA NA NA NA NA 580 845 176 NA NA NA NA NA NA 264 747 193 NA NA NA NA NA 
1767996000.0 10025.0 NA 314 523 0 158 189 NA NA NA NA 427 728 0 227 282 NA NA NA NA 557 771 184 148 231 NA NA NA NA 263 803 241 193 265 NA NA NA 
1767996000.0 10026.0 NA 313 549 0 160 189 NA NA NA NA 420 752 0 232 286 NA NA NA NA 765 947 198 150 234 NA NA NA NA 325 845 243 191 264 NA NA NA 
1767996000.0 1003.0 NA 398 0 NA NA NA NA NA NA NA 671 0 NA NA NA NA NA NA NA 1909 187 NA NA NA NA NA NA NA 1371 234 NA NA NA NA NA NA 
1767996000.0 10042.0 NA 313 524 0 189 189 NA NA NA NA 409 743 0 310 283 NA NA NA NA 713 1006 188 157 238 NA NA NA NA 341 953 226 213 284 NA NA NA 
1767996000.0 1005.0 NA 210 158 0 0 NA NA NA NA NA 372 259 0 0 NA NA NA NA NA 294 166 59 78 NA NA NA NA NA 606 219 98 149 NA NA NA NA 
1767996000.0 10059.0 NA 320 557 0 161 191 NA NA NA NA 418 760 0 231 292 NA NA NA NA 882 1720 229 203 251 NA NA NA NA 392 1302 310 228 292 NA NA NA 
1767996000.0 10071.0 NA 310 542 0 161 183 NA NA NA NA 414 744 0 228 284 NA NA NA NA 832 1089 196 151 232 NA NA NA NA 394 1029 232 195 257 NA NA NA 
1767996000.0 101.0 167 NA NA NA NA NA NA NA NA 307 NA NA NA NA NA NA NA NA 475 NA NA NA NA NA NA NA NA 479 NA NA NA NA NA NA NA NA 
1767996000.0 1010.0 NA 88 108 0 NA NA NA NA NA NA 152 173 0 NA NA NA NA NA NA 92 118 87 NA NA NA NA NA NA 157 136 140 NA NA NA NA NA 
1767996000.0 102.0 169 NA NA NA NA NA NA NA NA 292 NA NA NA NA NA NA NA NA 447 NA NA NA NA NA NA NA NA 550 NA NA NA NA NA NA NA NA 
1767996000.0 1020.0 NA 96 82 0 93 NA NA NA NA NA 169 153 0 164 NA NA NA NA NA 134 89 41 135 NA NA NA NA NA 192 117 86 183 NA NA NA NA 
1767996000.0 10224.0 NA 485 783 0 190 NA NA NA NA NA 667 1067 0 288 NA NA NA NA NA 1538 1766 207 237 NA NA NA NA NA 838 1288 226 272 NA NA NA NA 
1767996000.0 10224.15 NA 484 771 0 214 NA NA NA NA NA 682 1103 0 307 NA NA NA NA NA 1534 1894 202 322 NA NA NA NA NA 729 1257 231 320 NA NA NA NA 
1767996000.0 10225.0 NA 478 758 0 184 NA NA NA NA NA 639 1069 0 279 NA NA NA NA NA 1441 1565 199 238 NA NA NA NA NA 718 1197 226 274 NA NA NA NA 
1767996000.0 103.0 107 0 0 NA NA NA NA NA NA 169 0 0 NA NA NA NA NA NA 380 86 927 NA NA NA NA NA NA 382 105 1182 NA NA NA NA NA NA 
1767996000.0 1030.0 NA 275 95 0 0 NA NA NA NA NA 416 162 0 0 NA NA NA NA NA 2566 83 24 23 NA NA NA NA NA 987 124 41 32 NA NA NA NA 
1767996000.0 1040.0 NA 495 81 0 NA NA NA NA NA NA 716 142 0 NA NA NA NA NA NA 4820 77 53 NA NA NA NA NA NA 1721 94 79 NA NA NA NA NA 
1767996000.0 1040.1 NA 132 80 0 NA NA NA NA NA NA 212 142 0 NA NA NA NA NA NA 272 87 69 NA NA NA NA NA NA 357 124 122 NA NA NA NA NA 
1767996000.0 1041.0 NA 125 87 0 NA NA NA NA NA NA 208 154 0 NA NA NA NA NA NA 198 91 42 NA NA NA NA NA NA 307 124 89 NA NA NA NA NA 
1767996000.0 1042.0 NA 129 83 0 NA NA NA NA NA NA 211 148 0 NA NA NA NA NA NA 358 100 41 NA NA NA NA NA NA 555 127 86 NA NA NA NA NA 
1767996000.0 10424.0 NA 264 525 0 NA NA NA NA NA NA 364 734 0 NA NA NA NA NA NA 220 1011 195 NA NA NA NA NA NA 206 1190 230 NA NA NA NA NA 
1767996000.0 1046.0 NA 97 81 0 NA NA NA NA NA NA 171 154 0 NA NA NA NA NA NA 175 84 35 NA NA NA NA NA NA 363 132 68 NA NA NA NA NA 
1767996000.0 1047.0 NA 96 100 0 NA NA NA NA NA NA 175 173 0 NA NA NA NA NA NA 175 121 46 NA NA NA NA NA NA 238 162 91 NA NA NA NA NA 
1767996000.0 1048.0 NA 101 96 0 NA NA NA NA NA NA 173 161 0 NA NA NA NA NA NA 169 113 38 NA NA NA NA NA NA 319 147 59 NA NA NA NA NA 
1767996000.0 1049.0 NA 110 0 NA NA NA NA NA NA NA 176 0 NA NA NA NA NA NA NA 708 80 NA NA NA NA NA NA NA 1480 97 NA NA NA NA NA NA 
1767996000.0 105.0 139 179 97 NA NA NA NA NA NA 222 259 156 NA NA NA NA NA NA 970 259 109 NA NA NA NA NA NA 678 293 133 NA NA NA NA NA NA 
1767996000.0 1052.0 NA 212 152 0 NA NA NA NA NA NA 372 261 0 NA NA NA NA NA NA 363 151 35 NA NA NA NA NA NA 525 195 73 NA NA NA NA NA 
1767996000.0 1052.1 NA 137 0 NA NA NA NA NA NA NA 248 0 NA NA NA NA NA NA NA 140 42 NA NA NA NA NA NA NA 190 61 NA NA NA NA NA NA 
1767996000.0 106.0 106 0 0 NA NA NA NA NA NA 172 0 0 NA NA NA NA NA NA 343 88 920 NA NA NA NA NA NA 328 108 1111 NA NA NA NA NA NA 
1767996000.0 107.0 144 181 397 NA NA NA NA NA NA 248 271 551 NA NA NA NA NA NA 951 174 726 NA NA NA NA NA NA 460 202 768 NA NA NA NA NA NA 
1767996000.0 108.0 155 178 394 NA NA NA NA NA NA 249 263 582 NA NA NA NA NA NA 885 185 731 NA NA NA NA NA NA 401 216 795 NA NA NA NA NA NA 
1767996000.0 10801.0 NA 303 511 0 157 185 NA NA NA NA 399 752 0 227 276 NA NA NA NA 546 782 174 151 232 NA NA NA NA 265 806 206 203 274 NA NA NA 
1767996000.0 10802.0 NA 292 505 0 157 185 NA NA NA NA 397 717 0 227 281 NA NA NA NA 737 780 181 149 232 NA NA NA NA 372 813 220 202 272 NA NA NA 
1767996000.0 10803.0 NA 301 533 0 158 188 NA NA NA NA 401 769 0 222 287 NA NA NA NA 779 1072 269 217 310 NA NA NA NA 417 973 302 248 360 NA NA NA 
1767996000.0 10804.0 NA 299 505 0 157 184 NA NA NA NA 407 733 0 229 280 NA NA NA NA 544 756 172 151 233 NA NA NA NA 254 813 227 197 279 NA NA NA 
1767996000.0 10804.31 NA 301 526 0 157 185 NA NA NA NA 383 760 0 226 281 NA NA NA NA 637 1122 235 213 322 NA NA NA NA 287 1636 255 289 403 NA NA NA 
1767996000.0 10805.0 NA 300 524 0 157 188 NA NA NA NA 386 727 0 222 283 NA NA NA NA 772 992 201 177 241 NA NA NA NA 355 994 229 230 287 NA NA NA 
1767996000.0 10805.31 NA 301 528 0 157 186 NA NA NA NA 395 751 0 221 274 NA NA NA NA 862 1174 236 219 333 NA NA NA NA 398 1643 253 293 360 NA NA NA 
1767996000.0 10806.0 NA 299 519 0 156 180 NA NA NA NA 390 741 0 223 275 NA NA NA NA 646 731 171 146 233 NA NA NA NA 320 739 202 190 269 NA NA NA 
1767996000.0 10807.0 NA 298 519 0 186 186 NA NA NA NA 405 724 0 306 283 NA NA NA NA 674 1016 177 156 238 NA NA NA NA 338 1049 192 217 273 NA NA NA 
1767996000.0 10808.0 NA 288 516 0 187 188 NA NA NA NA 408 740 0 310 276 NA NA NA NA 822 788 179 154 234 NA NA NA NA 374 793 247 208 281 NA NA NA 
1767996000.0 10809.0 NA 305 529 0 187 181 NA NA NA NA 406 761 0 307 288 NA NA NA NA 559 795 184 155 232 NA NA NA NA 259 732 225 218 264 NA NA NA 
1767996000.0 10823.0 NA 304 512 0 157 184 NA NA NA NA 397 758 0 224 281 NA NA NA NA 548 755 181 150 234 NA NA NA NA 255 785 229 197 272 NA NA NA 
1767996000.0 10824.0 NA 311 547 0 189 190 NA NA NA NA 404 744 0 309 289 NA NA NA NA 831 1159 245 194 245 NA NA NA NA 359 1043 266 272 307 NA NA NA 
1767996000.0 10824.1 NA 312 308 0 NA NA NA NA NA NA 397 463 0 NA NA NA NA NA NA 628 365 206 NA NA NA NA NA NA 294 399 256 NA NA NA NA NA 
1767996000.0 10824.6 NA 308 546 0 189 189 NA NA NA NA 403 786 0 305 279 NA NA NA NA 838 1219 299 222 357 NA NA NA NA 369 1174 328 282 486 NA NA NA 
1767996000.0 10824.8 NA 305 545 0 187 189 NA NA NA NA 399 750 0 303 286 NA NA NA NA 743 985 195 155 236 NA NA NA NA 335 938 225 197 265 NA NA NA 
1767996000.0 10825.0 NA 305 521 0 157 184 NA NA NA NA 402 756 0 227 276 NA NA NA NA 759 771 191 151 230 NA NA NA NA 343 792 220 195 256 NA NA NA 
1767996000.0 10826.0 NA 310 527 0 158 184 NA NA NA NA 395 770 0 228 286 NA NA NA NA 669 1179 195 153 232 NA NA NA NA 313 1010 222 203 267 NA NA NA 
1767996000.0 10842.0 NA 305 537 0 190 189 NA NA NA NA 395 782 0 304 284 NA NA NA NA 769 1083 268 216 343 NA NA NA NA 363 1062 344 256 369 NA NA NA 
1767996000.0 10859.0 NA 319 562 0 160 185 NA NA NA NA 417 764 0 227 288 NA NA NA NA 718 1637 300 232 363 NA NA NA NA 336 1237 324 311 424 NA NA NA 
1767996000.0 10871.0 NA 301 533 0 161 188 NA NA NA NA 399 732 0 234 285 NA NA NA NA 587 875 199 150 231 NA NA NA NA 299 822 227 193 261 NA NA NA 
1767996000.0 109.0 153 191 410 NA NA NA NA NA NA 245 269 548 NA NA NA NA NA NA 936 166 728 NA NA NA NA NA NA 407 131 720 NA NA NA NA NA NA 
