Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1766354400.0 1.0 152 182 321 NA NA NA NA NA 247 251 462 NA NA NA NA NA 671 155 407 NA NA NA NA NA 502 189 479 NA NA NA NA NA 
1766354400.0 101.0 180 NA NA NA NA NA NA NA 309 NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA 297 NA NA NA NA NA NA NA 
1766354400.0 102.0 179 NA NA NA NA NA NA NA 291 NA NA NA NA NA NA NA 285 NA NA NA NA NA NA NA 249 NA NA NA NA NA NA NA 
1766354400.0 1020.0 NA 86 77 0 84 NA NA NA NA 168 157 0 164 NA NA NA NA 76 51 24 78 NA NA NA NA 117 81 42 139 NA NA NA 
1766354400.0 10224.0 NA 509 812 0 190 NA NA NA NA 647 1048 0 292 NA NA NA NA 1893 1905 222 294 NA NA NA NA 1010 1389 242 404 NA NA NA 
1766354400.0 103.0 119 0 0 NA NA NA NA NA 176 0 0 NA NA NA NA NA 230 54 524 NA NA NA NA NA 324 98 675 NA NA NA NA NA 
1766354400.0 1042.0 NA 122 84 0 NA NA NA NA NA 211 149 0 NA NA NA NA NA 227 57 25 NA NA NA NA NA 430 86 54 NA NA NA NA 
1766354400.0 10424.0 NA 271 537 0 NA NA NA NA NA 375 743 0 NA NA NA NA NA 232 969 238 NA NA NA NA NA 261 1106 275 NA NA NA NA 
1766354400.0 1049.0 NA 103 0 NA NA NA NA NA NA 179 0 NA NA NA NA NA NA 478 51 NA NA NA NA NA NA 497 64 NA NA NA NA NA 
1766354400.0 1052.0 NA 208 153 0 NA NA NA NA NA 379 260 0 NA NA NA NA NA 224 99 25 NA NA NA NA NA 275 112 35 NA NA NA NA 
1766354400.0 1052.1 NA 137 0 NA NA NA NA NA NA 249 0 NA NA NA NA NA NA 89 26 NA NA NA NA NA NA 133 48 NA NA NA NA NA 
1766354400.0 106.0 114 0 0 NA NA NA NA NA 178 0 0 NA NA NA NA NA 241 53 527 NA NA NA NA NA 392 82 596 NA NA NA NA NA 
1766354400.0 107.0 168 191 407 NA NA NA NA NA 249 271 571 NA NA NA NA NA 849 158 673 NA NA NA NA NA 410 157 715 NA NA NA NA NA 
1766354400.0 108.0 167 190 407 NA NA NA NA NA 247 264 595 NA NA NA NA NA 836 161 717 NA NA NA NA NA 396 149 746 NA NA NA NA NA 
1766354400.0 109.0 164 192 410 NA NA NA NA NA 252 269 564 NA NA NA NA NA 904 157 706 NA NA NA NA NA 397 161 751 NA NA NA NA NA 
1766354400.0 110.0 125 184 390 NA NA NA NA NA 185 263 559 NA NA NA NA NA 234 145 613 NA NA NA NA NA 293 180 723 NA NA NA NA NA 
1766354400.0 111.0 130 181 390 NA NA NA NA NA 206 254 558 NA NA NA NA NA 321 111 596 NA NA NA NA NA 396 144 701 NA NA NA NA NA 
1766354400.0 112.0 169 190 394 NA NA NA NA NA 250 260 569 NA NA NA NA NA 734 158 676 NA NA NA NA NA 364 139 729 NA NA NA NA NA 
1766354400.0 113.0 164 188 399 NA NA NA NA NA 255 269 546 NA NA NA NA NA 656 156 653 NA NA NA NA NA 369 142 650 NA NA NA NA NA 
1766354400.0 114.0 159 189 401 NA NA NA NA NA 246 264 568 NA NA NA NA NA 647 154 654 NA NA NA NA NA 376 132 743 NA NA NA NA NA 
1766354400.0 115.0 161 190 405 NA NA NA NA NA 244 269 574 NA NA NA NA NA 759 163 673 NA NA NA NA NA 381 170 684 NA NA NA NA NA 
1766354400.0 116.0 158 188 404 NA NA NA NA NA 246 268 572 NA NA NA NA NA 708 156 656 NA NA NA NA NA 421 143 715 NA NA NA NA NA 
1766354400.0 117.0 157 190 406 NA NA NA NA NA 251 265 560 NA NA NA NA NA 843 158 710 NA NA NA NA NA 382 166 722 NA NA NA NA NA 
1766354400.0 119.0 159 188 399 NA NA NA NA NA 245 268 567 NA NA NA NA NA 510 152 637 NA NA NA NA NA 333 170 741 NA NA NA NA NA 
1766354400.0 120.0 124 181 387 NA NA NA NA NA 187 263 544 NA NA NA NA NA 217 149 626 NA NA NA NA NA 250 181 771 NA NA NA NA NA 
1766354400.0 121.0 160 191 410 NA NA NA NA NA 245 263 558 NA NA NA NA NA 845 163 715 NA NA NA NA NA 417 148 723 NA NA NA NA NA 
1766354400.0 122.0 128 174 383 NA NA NA NA NA 194 246 541 NA NA NA NA NA 235 106 597 NA NA NA NA NA 267 153 673 NA NA NA NA NA 
1766354400.0 123.1 387 NA NA NA NA NA NA NA 523 NA NA NA NA NA NA NA 362 NA NA NA NA NA NA NA 305 NA NA NA NA NA NA NA 
1766354400.0 123.2 391 NA NA NA NA NA NA NA 532 NA NA NA NA NA NA NA 403 NA NA NA NA NA NA NA 308 NA NA NA NA NA NA NA 
1766354400.0 123.3 311 NA NA NA NA NA NA NA 427 NA NA NA NA NA NA NA 313 NA NA NA NA NA NA NA 364 NA NA NA NA NA NA NA 
1766354400.0 124.1 374 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA NA 298 NA NA NA NA NA NA NA 283 NA NA NA NA NA NA NA 
1766354400.0 124.2 386 NA NA NA NA NA NA NA 534 NA NA NA NA NA NA NA 338 NA NA NA NA NA NA NA 338 NA NA NA NA NA NA NA 
1766354400.0 124.4 381 NA NA NA NA NA NA NA 490 NA NA NA NA NA NA NA 310 NA NA NA NA NA NA NA 297 NA NA NA NA NA NA NA 
1766354400.0 124.5 378 NA NA NA NA NA NA NA 505 NA NA NA NA NA NA NA 317 NA NA NA NA NA NA NA 346 NA NA NA NA NA NA NA 
1766354400.0 124.6 313 NA NA NA NA NA NA NA 443 NA NA NA NA NA NA NA 309 NA NA NA NA NA NA NA 361 NA NA NA NA NA NA NA 
1766354400.0 125.0 160 189 402 NA NA NA NA NA 252 260 544 NA NA NA NA NA 675 151 634 NA NA NA NA NA 335 139 674 NA NA NA NA NA 
1766354400.0 126.0 127 177 389 NA NA NA NA NA 202 258 545 NA NA NA NA NA 349 148 620 NA NA NA NA NA 262 169 726 NA NA NA NA NA 
1766354400.0 127.0 123 185 380 NA NA NA NA NA 174 260 530 NA NA NA NA NA 289 147 614 NA NA NA NA NA 288 186 774 NA NA NA NA NA 
1766354400.0 128.0 121 185 388 NA NA NA NA NA 174 255 544 NA NA NA NA NA 209 149 611 NA NA NA NA NA 295 181 744 NA NA NA NA NA 
1766354400.0 129.0 120 182 384 NA NA NA NA NA 176 258 526 NA NA NA NA NA 211 146 622 NA NA NA NA NA 288 173 833 NA NA NA NA NA 
1766354400.0 130.0 123 183 389 NA NA NA NA NA 176 258 555 NA NA NA NA NA 225 148 610 NA NA NA NA NA 258 167 712 NA NA NA NA NA 
1766354400.0 1301.0 123 219 293 NA NA NA NA NA 195 316 519 NA NA NA NA NA 598 165 426 NA NA NA NA NA 383 152 503 NA NA NA NA NA 
1766354400.0 1308.0 NA 221 252 97 0 NA NA NA NA 327 400 166 0 NA NA NA NA 159 210 72 77 NA NA NA NA 241 349 109 116 NA NA NA 
1766354400.0 131.0 125 184 392 NA NA NA NA NA 189 263 549 NA NA NA NA NA 328 142 628 NA NA NA NA NA 335 177 766 NA NA NA NA NA 
1766354400.0 132.0 157 191 407 NA NA NA NA NA 239 273 565 NA NA NA NA NA 733 159 667 NA NA NA NA NA 394 134 671 NA NA NA NA NA 
1766354400.0 133.0 164 193 411 NA NA NA NA NA 252 267 574 NA NA NA NA NA 972 163 757 NA NA NA NA NA 408 146 752 NA NA NA NA NA 
1766354400.0 134.0 NA 413 84 0 NA NA NA NA NA 578 148 0 NA NA NA NA NA 1245 55 28 NA NA NA NA NA 1029 81 54 NA NA NA NA 
1766354400.0 1356.0 143 227 442 0 230 NA NA NA 222 331 674 0 393 NA NA NA 565 164 717 154 263 NA NA NA 345 158 654 225 265 NA NA NA 
1766354400.0 136.7802 NA 137 0 NA NA NA NA NA NA 206 0 NA NA NA NA NA NA 139 61 NA NA NA NA NA NA 207 88 NA NA NA NA NA 
1766354400.0 136.7803 NA 196 0 NA NA NA NA NA NA 280 0 NA NA NA NA NA NA 297 61 NA NA NA NA NA NA 498 106 NA NA NA NA NA 
1766354400.0 136.832 NA 210 568 0 NA NA NA NA NA 297 820 0 NA NA NA NA NA 185 7521 113 NA NA NA NA NA 210 2774 188 NA NA NA NA 
1766354400.0 136.897 NA 320 157 0 NA NA NA NA NA 505 254 0 NA NA NA NA NA 514 113 128 NA NA NA NA NA 378 125 197 NA NA NA NA 
1766354400.0 136.901 NA 316 291 354 186 304 304 188 NA 482 432 488 257 452 430 282 NA 3850 625 676 232 308 500 244 NA 1528 440 536 157 309 537 326 
1766354400.0 136.902 NA 317 281 328 181 310 299 187 NA 485 414 442 246 471 446 288 NA 3319 531 796 222 309 498 253 NA 1325 391 685 155 314 539 351 
1766354400.0 136.903 NA 365 355 432 204 348 327 188 NA 588 510 591 306 516 484 283 NA 5460 2204 2233 987 684 762 254 NA 2455 856 1058 596 502 578 306 
1766354400.0 138.4 NA 430 0 NA NA NA NA NA NA 630 0 NA NA NA NA NA NA 787 148 NA NA NA NA NA NA 656 164 NA NA NA NA NA 
1766354400.0 139.003 NA 215 387 0 NA NA NA NA NA 302 554 0 NA NA NA NA NA 164 1315 80 NA NA NA NA NA 133 1520 122 NA NA NA NA 
1766354400.0 140.004 NA 0 0 0 NA NA NA NA NA 0 0 0 NA NA NA NA NA 85 1167 243 NA NA NA NA NA 94 1222 260 NA NA NA NA 
1766354400.0 140.006 NA 0 0 0 NA NA NA NA NA 0 0 0 NA NA NA NA NA 100 1189 237 NA NA NA NA NA 139 1445 277 NA NA NA NA 
1766354400.0 140.007 NA 201 549 0 NA NA NA NA NA 285 770 0 NA NA NA NA NA 123 1620 298 NA NA NA NA NA 142 1561 317 NA NA NA NA 
1766354400.0 140.008 NA 185 538 0 NA NA NA NA NA 258 750 0 NA NA NA NA NA 107 1394 297 NA NA NA NA NA 127 1610 316 NA NA NA NA 
1766354400.0 140.009 NA 0 0 0 NA NA NA NA NA 0 0 0 NA NA NA NA NA 94 1347 251 NA NA NA NA NA 166 1392 271 NA NA NA NA 
1766354400.0 140.011 NA 0 0 0 NA NA NA NA NA 0 0 0 NA NA NA NA NA 84 1154 236 NA NA NA NA NA 129 1374 279 NA NA NA NA 
1766354400.0 140.021 NA 0 0 0 NA NA NA NA NA 0 0 0 NA NA NA NA NA 85 1254 248 NA NA NA NA NA 107 1315 268 NA NA NA NA 
1766354400.0 140.113 NA 0 0 0 NA NA NA NA NA 0 0 0 NA NA NA NA NA 99 1107 540 NA NA NA NA NA 134 1316 639 NA NA NA NA 
1766354400.0 141.009 NA 0 0 0 NA NA NA NA NA 0 0 0 NA NA NA NA NA 69 1367 366 NA NA NA NA NA 146 1805 420 NA NA NA NA 
1766354400.0 144.6 NA 388 NA NA NA NA NA NA NA 560 NA NA NA NA NA NA NA 1213 NA NA NA NA NA NA NA 1165 NA NA NA NA NA NA 
1766354400.0 146.103 NA 198 811 0 NA NA NA NA NA 312 1224 0 NA NA NA NA NA 262 11975 140 NA NA NA NA NA 260 6423 165 NA NA NA NA 
1766354400.0 160.401 120 222 103 445 NA NA NA NA 179 329 153 623 NA NA NA NA 736 135 77 490 NA NA NA NA 616 193 116 473 NA NA NA NA 
1766354400.0 2017.3 424 0 237 178 NA NA NA NA 556 0 333 270 NA NA NA NA 408 113 267 236 NA NA NA NA 442 184 274 365 NA NA NA NA 
1766354400.0 2017.4 492 0 237 177 NA NA NA NA 647 0 337 270 NA NA NA NA 458 120 255 198 NA NA NA NA 484 163 266 274 NA NA NA NA 
1766354400.0 2017.5 494 0 235 177 NA NA NA NA 647 0 328 277 NA NA NA NA 454 114 252 232 NA NA NA NA 471 180 259 345 NA NA NA NA 
1766354400.0 2017.6 503 0 235 177 NA NA NA NA 620 0 335 277 NA NA NA NA 467 130 335 212 NA NA NA NA 534 145 384 234 NA NA NA NA 
1766354400.0 2017.7 492 0 230 176 NA NA NA NA 625 0 340 263 NA NA NA NA 460 146 256 217 NA NA NA NA 514 182 270 302 NA NA NA NA 
1766354400.0 2017.9 495 0 236 178 NA NA NA NA 637 0 327 266 NA NA NA NA 449 129 313 198 NA NA NA NA 393 183 384 271 NA NA NA NA 
1766354400.0 2018.1 497 0 242 179 NA NA NA NA 647 0 330 276 NA NA NA NA 505 126 289 245 NA NA NA NA 477 169 276 284 NA NA NA NA 
1766354400.0 2018.11 505 0 241 179 NA NA NA NA 661 0 346 270 NA NA NA NA 610 130 332 239 NA NA NA NA 623 159 279 277 NA NA NA NA 
1766354400.0 2018.12 492 0 239 177 NA NA NA NA 646 0 328 268 NA NA NA NA 489 117 276 252 NA NA NA NA 534 137 271 283 NA NA NA NA 
1766354400.0 2018.2 421 0 225 175 NA NA NA NA 580 0 319 264 NA NA NA NA 426 111 296 222 NA NA NA NA 525 169 386 238 NA NA NA NA 
1766354400.0 2018.3 422 0 234 178 NA NA NA NA 534 0 319 276 NA NA NA NA 434 114 247 208 NA NA NA NA 478 184 264 237 NA NA NA NA 
1766354400.0 2018.4 491 0 234 177 NA NA NA NA 645 0 328 274 NA NA NA NA 450 115 277 216 NA NA NA NA 396 152 316 234 NA NA NA NA 
1766354400.0 2018.5 496 0 230 176 NA NA NA NA 626 0 320 265 NA NA NA NA 507 117 327 209 NA NA NA NA 406 150 383 287 NA NA NA NA 
1766354400.0 2018.6 494 0 236 178 NA NA NA NA 629 0 333 276 NA NA NA NA 523 129 273 212 NA NA NA NA 397 170 272 298 NA NA NA NA 
1766354400.0 2018.7 492 0 232 176 NA NA NA NA 618 0 339 268 NA NA NA NA 485 150 285 226 NA NA NA NA 437 201 326 284 NA NA NA NA 
1766354400.0 2018.9 493 0 233 177 NA NA NA NA 619 0 324 273 NA NA NA NA 437 126 327 229 NA NA NA NA 502 145 446 330 NA NA NA NA 
1766354400.0 2024.0040001 NA 211 660 0 NA NA NA NA NA 306 924 0 NA NA NA NA NA 333 10718 143 NA NA NA NA NA 250 3550 157 NA NA NA NA 
1766354400.0 2025.0010001 NA 438 690 0 NA NA NA NA NA 592 978 0 NA NA NA NA NA 1464 7466 201 NA NA NA NA NA 808 3695 221 NA NA NA NA 
1766354400.0 2500.0001 NA 292 0 NA NA NA NA NA NA 440 0 NA NA NA NA NA NA 33217 74 NA NA NA NA NA NA 14249 119 NA NA NA NA NA 
1766354400.0 2500.0002 NA 299 0 NA NA NA NA NA NA 446 0 NA NA NA NA NA NA 32461 74 NA NA NA NA NA NA 14381 103 NA NA NA NA NA 
1766354400.0 2500.0003 NA 340 0 NA NA NA NA NA NA 557 0 NA NA NA NA NA NA 35764 82 NA NA NA NA NA NA 15328 111 NA NA NA NA NA 
1766354400.0 2500.0004 NA 339 0 NA NA NA NA NA NA 519 0 NA NA NA NA NA NA 34379 75 NA NA NA NA NA NA 14797 92 NA NA NA NA NA 
1766354400.0 2500.0101 NA 304 0 NA NA NA NA NA NA 441 0 NA NA NA NA NA NA 18276 68 NA NA NA NA NA NA 6017 103 NA NA NA NA NA 
1766354400.0 2500.0102 NA 324 0 NA NA NA NA NA NA 484 0 NA NA NA NA NA NA 29468 71 NA NA NA NA NA NA 12861 124 NA NA NA NA NA 
1766354400.0 2500.0103 NA 315 0 NA NA NA NA NA NA 457 0 NA NA NA NA NA NA 24022 67 NA NA NA NA NA NA 7372 95 NA NA NA NA NA 
1766354400.0 2500.0204 NA 336 201 0 NA NA NA NA NA 450 293 0 NA NA NA NA NA 1180 364 57 NA NA NA NA NA 913 335 69 NA NA NA NA 
1766354400.0 2500.1001 NA 338 0 NA NA NA NA NA NA 538 0 NA NA NA NA NA NA 28181 73 NA NA NA NA NA NA 8617 100 NA NA NA NA NA 
1766354400.0 2500.1101 NA 304 0 NA NA NA NA NA NA 434 0 NA NA NA NA NA NA 17572 63 NA NA NA NA NA NA 5708 106 NA NA NA NA NA 
1766354400.0 2500.1502 NA 156 NA NA NA NA NA NA NA 246 NA NA NA NA NA NA NA 8870 NA NA NA NA NA NA NA 7743 NA NA NA NA NA NA 
1766354400.0 2500.1504 NA 155 NA NA NA NA NA NA NA 246 NA NA NA NA NA NA NA 11640 NA NA NA NA NA NA NA 9406 NA NA NA NA NA NA 
1766354400.0 2500.2204 NA 295 NA NA NA NA NA NA NA 432 NA NA NA NA NA NA NA 11092 NA NA NA NA NA NA NA 3891 NA NA NA NA NA NA 
1766354400.0 2500.2207 NA 198 NA NA NA NA NA NA NA 304 NA NA NA NA NA NA NA 7685 NA NA NA NA NA NA NA 3491 NA NA NA NA NA NA 
1766354400.0 2500.2208 NA 313 NA NA NA NA NA NA NA 491 NA NA NA NA NA NA NA 33911 NA NA NA NA NA NA NA 14909 NA NA NA NA NA NA 
1766354400.0 2500.2308 NA 343 NA NA NA NA NA NA NA 516 NA NA NA NA NA NA NA 22723 NA NA NA NA NA NA NA 6977 NA NA NA NA NA NA 
1766354400.0 2500.2309 NA 343 NA NA NA NA NA NA NA 524 NA NA NA NA NA NA NA 23518 NA NA NA NA NA NA NA 7067 NA NA NA NA NA NA 
1766354400.0 2500.231 NA 98 NA NA NA NA NA NA NA 163 NA NA NA NA NA NA NA 4610 NA NA NA NA NA NA NA 3596 NA NA NA NA NA NA 
1766354400.0 2500.2401 NA 225 NA NA NA NA NA NA NA 374 NA NA NA NA NA NA NA 300 NA NA NA NA NA NA NA 255 NA NA NA NA NA NA 
1766354400.0 2500.3001 NA 290 0 NA NA NA NA NA NA 445 0 NA NA NA NA NA NA 7182 78 NA NA NA NA NA NA 2689 138 NA NA NA NA NA 
1766354400.0 2500.3205 NA 343 NA NA NA NA NA NA NA 471 NA NA NA NA NA NA NA 9266 NA NA NA NA NA NA NA 3029 NA NA NA NA NA NA 
1766354400.0 2500.3208 NA 314 NA NA NA NA NA NA NA 479 NA NA NA NA NA NA NA 11996 NA NA NA NA NA NA NA 4275 NA NA NA NA NA NA 
1766354400.0 2500.9101 90 109 NA NA NA NA NA NA 120 188 NA NA NA NA NA NA 117 145 NA NA NA NA NA NA 193 165 NA NA NA NA NA NA 
1766354400.0 250200.1 158 428 388 NA NA NA NA NA 224 580 525 NA NA NA NA NA 592 303 776 NA NA NA NA NA 374 361 635 NA NA NA NA NA 
1766354400.0 250200.118 133 557 433 182 NA NA NA NA 189 760 605 270 NA NA NA NA 630 742 869 179 NA NA NA NA 380 457 704 263 NA NA NA NA 
1766354400.0 250200.18 NA 592 668 0 NA NA NA NA NA 855 961 0 NA NA NA NA NA 3379 1285 191 NA NA NA NA NA 1481 1180 209 NA NA NA NA 
1766354400.0 250200.182 136 583 676 0 NA NA NA NA 191 794 911 0 NA NA NA NA 651 790 1347 195 NA NA NA NA 454 564 1083 209 NA NA NA NA 
1766354400.0 250202.0 NA 467 549 0 NA NA NA NA NA 694 729 0 NA NA NA NA NA 2244 1022 158 NA NA NA NA NA 1171 921 193 NA NA NA NA 
1766354400.0 250202.118 138 564 462 184 NA NA NA NA 192 789 610 273 NA NA NA NA 972 758 953 183 NA NA NA NA 469 446 656 236 NA NA NA NA 
1766354400.0 250202.171 NA 390 538 635 0 NA NA NA NA 559 705 923 0 NA NA NA NA 1021 2698 1271 201 NA NA NA NA 683 1111 1200 224 NA NA NA 
1766354400.0 250202.18 NA 606 686 0 NA NA NA NA NA 877 974 0 NA NA NA NA NA 3463 1594 201 NA NA NA NA NA 1416 1172 253 NA NA NA NA 
1766354400.0 250202.181 NA 474 602 677 0 NA NA NA NA 659 851 925 0 NA NA NA NA 1388 3287 1436 198 NA NA NA NA 692 1337 1062 220 NA NA NA 
1766354400.0 250202.182 134 579 687 0 NA NA NA NA 198 808 949 0 NA NA NA NA 982 828 1492 200 NA NA NA NA 633 548 986 247 NA NA NA NA 
1766354400.0 250202.183 139 566 690 0 NA NA NA NA 197 779 969 0 NA NA NA NA 1023 816 1782 266 NA NA NA NA 609 594 1324 317 NA NA NA NA 
1766354400.0 250202.184 NA 442 599 662 0 NA NA NA NA 623 851 944 0 NA NA NA NA 1360 3421 1437 205 NA NA NA NA 700 1311 1118 267 NA NA NA 
1766354400.0 250202.185 NA 448 597 670 0 NA NA NA NA 614 826 938 0 NA NA NA NA 1466 3486 1496 201 NA NA NA NA 840 1334 1230 256 NA NA NA 
1766354400.0 250203.17 NA 534 636 0 NA NA NA NA NA 740 827 0 NA NA NA NA NA 2697 1097 191 NA NA NA NA NA 1189 1006 214 NA NA NA NA 
1766354400.0 250206.118 133 552 437 182 NA NA NA NA 189 741 592 273 NA NA NA NA 483 636 688 175 NA NA NA NA 450 413 641 241 NA NA NA NA 
