Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1769637600.0 101.0 180 NA NA NA NA NA 307 NA NA NA NA NA 333 NA NA NA NA NA 300 NA NA NA NA NA 
1769637600.0 102.0 179 NA NA NA NA NA 301 NA NA NA NA NA 313 NA NA NA NA NA 306 NA NA NA NA NA 
1769637600.0 1020.0 NA 87 84 0 93 NA NA 169 152 0 166 NA NA 91 63 26 90 NA NA 235 163 59 154 NA 
1769637600.0 1046.0 NA 96 87 0 NA NA NA 171 153 0 NA NA NA 113 67 28 NA NA NA 247 91 38 NA NA 
1769637600.0 1052.0 NA 209 161 0 NA NA NA 390 258 0 NA NA NA 239 107 26 NA NA NA 625 157 38 NA NA 
1769637600.0 1052.1 NA 137 0 NA NA NA NA 246 0 NA NA NA NA 102 28 NA NA NA NA 174 63 NA NA NA 
1769637600.0 11024.0 NA 551 863 0 190 NA NA 751 1163 0 281 NA NA 1980 1899 226 274 NA NA 961 1314 252 355 NA 
1769637600.0 11024.6 NA 560 880 0 190 NA NA 784 1187 0 280 NA NA 2017 1952 225 273 NA NA 1151 1295 251 346 NA 
1769637600.0 123.1 350 NA NA NA NA NA 509 NA NA NA NA NA 408 NA NA NA NA NA 553 NA NA NA NA NA 
1769637600.0 123.2 388 NA NA NA NA NA 536 NA NA NA NA NA 451 NA NA NA NA NA 514 NA NA NA NA NA 
1769637600.0 123.3 306 NA NA NA NA NA 424 NA NA NA NA NA 344 NA NA NA NA NA 501 NA NA NA NA NA 
1769637600.0 124.1 325 NA NA NA NA NA 505 NA NA NA NA NA 360 NA NA NA NA NA 724 NA NA NA NA NA 
1769637600.0 124.2 357 NA NA NA NA NA 534 NA NA NA NA NA 378 NA NA NA NA NA 448 NA NA NA NA NA 
1769637600.0 124.4 358 NA NA NA NA NA 487 NA NA NA NA NA 359 NA NA NA NA NA 477 NA NA NA NA NA 
1769637600.0 124.5 334 NA NA NA NA NA 492 NA NA NA NA NA 367 NA NA NA NA NA 696 NA NA NA NA NA 
1769637600.0 124.6 309 NA NA NA NA NA 429 NA NA NA NA NA 346 NA NA NA NA NA 439 NA NA NA NA NA 
1769637600.0 1307.0 NA 233 271 103 0 NA NA 334 405 168 0 NA NA 168 284 81 85 NA NA 337 618 107 106 NA 
1769637600.0 1325.1 NA 249 251 0 NA NA NA 356 386 0 NA NA NA 198 312 165 NA NA NA 376 696 203 NA NA 
1769637600.0 1325.3 NA 247 241 0 NA NA NA 355 366 0 NA NA NA 198 291 151 NA NA NA 363 616 212 NA NA 
1769637600.0 135.12 354 0 221 178 NA NA 566 0 331 279 NA NA 422 98 290 205 NA NA 698 125 363 231 NA NA 
1769637600.0 135.13 414 0 NA NA NA NA 579 0 NA NA NA NA 418 144 NA NA NA NA 418 202 NA NA NA NA 
1769637600.0 135.2 345 0 224 177 NA NA 481 0 327 271 NA NA 349 90 270 199 NA NA 697 139 407 234 NA NA 
1769637600.0 135.4 418 0 226 176 NA NA 548 0 333 267 NA NA 401 92 279 204 NA NA 685 117 446 269 NA NA 
1769637600.0 135.6 420 0 233 177 NA NA 563 0 343 276 NA NA 419 98 297 211 NA NA 535 125 427 300 NA NA 
1769637600.0 136.7801 NA 193 0 NA NA NA NA 265 0 NA NA NA NA 245 71 NA NA NA NA 387 89 NA NA NA 
1769637600.0 136.7802 NA 132 0 NA NA NA NA 208 0 NA NA NA NA 156 65 NA NA NA NA 270 110 NA NA NA 
1769637600.0 136.897 NA 316 157 0 NA NA NA 494 256 0 NA NA NA 510 119 117 NA NA NA 512 219 188 NA NA 
1769637600.0 138.1 NA 285 157 0 NA NA NA 506 252 0 NA NA NA 469 118 114 NA NA NA 449 165 157 NA NA 
1769637600.0 140.56 NA 857 0 NA NA NA NA 1239 0 NA NA NA NA 6299 147 NA NA NA NA 3000 198 NA NA NA 
1769637600.0 141.113 NA 0 0 0 NA NA NA 0 0 0 NA NA NA 72 480 236 NA NA NA 173 514 263 NA NA 
1769637600.0 144.6 NA 391 NA NA NA NA NA 562 NA NA NA NA NA 1666 NA NA NA NA NA 1463 NA NA NA NA 
1769637600.0 146.103 NA 208 837 0 NA NA NA 318 1212 0 NA NA NA 250 13007 160 NA NA NA 357 5720 224 NA NA 
1769637600.0 162.02 128 286 123 534 133 0 174 476 178 739 201 0 1039 271 92 810 122 242 2097 642 221 1806 155 298 
1769637600.0 163.02 98 297 129 536 134 0 175 463 181 732 198 0 1093 271 93 807 121 236 2062 576 213 1537 193 266 
1769637600.0 18434.0 NA 495 664 0 206 NA NA 669 933 0 326 NA NA 633 1451 293 179 NA NA 1096 2931 338 216 NA 
1769637600.0 18634.0 NA 822 1153 0 NA NA NA 1215 1576 0 NA NA NA 2474 3288 310 NA NA NA 1460 2246 347 NA NA 
1769637600.0 2017.13 472 0 NA NA NA NA 664 0 NA NA NA NA 458 176 NA NA NA NA 437 222 NA NA NA NA 
1769637600.0 2017.2 414 0 223 178 NA NA 529 0 312 270 NA NA 374 103 272 206 NA NA 398 143 408 300 NA NA 
1769637600.0 2018.13 500 0 NA NA NA NA 661 0 NA NA NA NA 466 173 NA NA NA NA 487 197 NA NA NA NA 
1769637600.0 2500.1502 NA 152 NA NA NA NA NA 248 NA NA NA NA NA 7332 NA NA NA NA NA 9740 NA NA NA NA 
1769637600.0 2500.1504 NA 154 NA NA NA NA NA 243 NA NA NA NA NA 9626 NA NA NA NA NA 11470 NA NA NA NA 
1769637600.0 2500.2204 NA 260 NA NA NA NA NA 450 NA NA NA NA NA 10948 NA NA NA NA NA 3825 NA NA NA NA 
1769637600.0 2500.2207 NA 188 NA NA NA NA NA 306 NA NA NA NA NA 7100 NA NA NA NA NA 3284 NA NA NA NA 
1769637600.0 2500.2208 NA 308 NA NA NA NA NA 496 NA NA NA NA NA 27576 NA NA NA NA NA 18370 NA NA NA NA 
1769637600.0 2500.2304 NA 290 NA NA NA NA NA 440 NA NA NA NA NA 9524 NA NA NA NA NA 3369 NA NA NA NA 
1769637600.0 2500.231 NA 97 NA NA NA NA NA 166 NA NA NA NA NA 4318 NA NA NA NA NA 3734 NA NA NA NA 
