Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueVsize2 PeakValueVsize3 TotalJobCPU2 TotalJobCPU3 TotalJobTime2 TotalJobTime3 
1769551200.0 2500.1502 153 NA 246 NA 8271 NA 12129 NA 
1769551200.0 2500.1504 153 NA 249 NA 10767 NA 14421 NA 
1769551200.0 2500.2204 295 NA 442 NA 8261 NA 2578 NA 
1769551200.0 2500.2207 195 NA 305 NA 6129 NA 3129 NA 
1769551200.0 2500.2304 324 NA 444 NA 6308 NA 2106 NA 
1769551200.0 2500.231 96 NA 165 NA 3896 NA 2160 NA 
1769551200.0 2500.3204 296 NA 447 NA 7524 NA 2419 NA 
1769551200.0 2500.3208 309 NA 465 NA 9335 NA 3830 NA 
1769551200.0 2500.3209 289 NA 443 NA 5895 NA 3003 NA 
1769551200.0 2500.3305 310 NA 421 NA 7070 NA 2346 NA 
1769551200.0 34551.85 1037 NA 1333 NA 2113 NA 1325 NA 
1769551200.0 34634.114 1491 NA 1941 NA 2343 NA 1193 NA 
1769551200.0 34634.21 1245 NA 1573 NA 2128 NA 1067 NA 
1769551200.0 34634.999 532 840 769 1170 1537 837 1266 728 
