Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1769637600.0 1.0 151 183 319 NA NA NA NA NA NA 236 266 438 NA NA NA NA NA NA 639 156 419 NA NA NA NA NA NA 400 175 728 NA NA NA NA NA NA 
1769637600.0 10.0 NA 214 420 0 NA NA NA NA NA NA 331 612 0 NA NA NA NA NA NA 680 1356 170 NA NA NA NA NA NA 316 1054 191 NA NA NA NA NA 
1769637600.0 1000.0 NA 386 204 0 115 NA NA NA NA NA 542 284 0 187 NA NA NA NA NA 1343 189 117 190 NA NA NA NA NA 1077 191 136 195 NA NA NA NA 
1769637600.0 10001.0 NA 309 519 0 158 195 NA NA NA NA 415 729 0 232 294 NA NA NA NA 546 741 167 216 227 NA NA NA NA 281 758 183 235 254 NA NA NA 
1769637600.0 10002.0 NA 305 519 0 153 191 NA NA NA NA 416 743 0 233 288 NA NA NA NA 542 689 172 226 230 NA NA NA NA 252 680 194 253 253 NA NA NA 
1769637600.0 10003.0 NA 313 526 0 160 187 NA NA NA NA 418 750 0 234 292 NA NA NA NA 651 846 173 216 237 NA NA NA NA 309 1124 193 238 263 NA NA NA 
1769637600.0 10004.0 NA 297 516 0 160 194 NA NA NA NA 421 731 0 231 298 NA NA NA NA 649 808 166 221 226 NA NA NA NA 321 885 183 250 250 NA NA NA 
1769637600.0 10005.0 NA 308 522 0 159 185 NA NA NA NA 427 723 0 227 291 NA NA NA NA 582 671 168 218 227 NA NA NA NA 257 625 186 242 244 NA NA NA 
1769637600.0 10006.0 NA 312 523 0 158 188 NA NA NA NA 427 751 0 232 298 NA NA NA NA 548 652 173 217 226 NA NA NA NA 258 677 192 242 252 NA NA NA 
1769637600.0 10007.0 NA 300 524 0 190 196 NA NA NA NA 422 776 0 314 293 NA NA NA NA 579 714 178 226 224 NA NA NA NA 281 737 200 273 236 NA NA NA 
1769637600.0 10008.0 NA 302 528 0 184 191 NA NA NA NA 424 721 0 307 290 NA NA NA NA 664 878 173 230 230 NA NA NA NA 334 949 200 259 258 NA NA NA 
1769637600.0 10009.0 NA 304 525 0 190 191 NA NA NA NA 410 756 0 308 300 NA NA NA NA 566 749 170 222 235 NA NA NA NA 347 698 186 252 282 NA NA NA 
1769637600.0 1001.0 NA 349 189 0 0 0 0 0 0 NA 501 282 0 0 0 0 0 0 NA 1084 304 40 25 43 86 45 85 NA 939 310 50 33 58 96 60 95 
1769637600.0 1001.2 NA 556 236 0 0 0 0 NA NA NA 770 362 0 0 0 0 NA NA NA 5606 473 49 59 50 59 NA NA NA 2027 384 64 101 63 72 NA NA 
1769637600.0 1001.3 NA 532 211 0 NA NA NA NA NA NA 770 342 0 NA NA NA NA NA NA 4688 316 110 NA NA NA NA NA NA 2116 322 142 NA NA NA NA NA 
1769637600.0 1001.4 NA 553 190 0 0 0 NA NA NA NA 758 300 0 0 0 NA NA NA NA 4128 228 46 45 49 NA NA NA NA 1782 269 64 55 68 NA NA NA 
1769637600.0 1002.0 NA 396 123 NA NA NA NA NA NA NA 563 177 NA NA NA NA NA NA NA 1178 100 NA NA NA NA NA NA NA 857 90 NA NA NA NA NA NA 
1769637600.0 1002.3 NA 531 239 0 NA NA NA NA NA NA 734 362 0 NA NA NA NA NA NA 3122 381 108 NA NA NA NA NA NA 1535 327 143 NA NA NA NA NA 
1769637600.0 1002.4 NA 541 0 NA NA NA NA NA NA NA 767 0 NA NA NA NA NA NA NA 4628 159 NA NA NA NA NA NA NA 1911 175 NA NA NA NA NA NA 
1769637600.0 1002.5 NA 155 137 0 0 NA NA NA NA NA 238 208 0 0 NA NA NA NA NA 251 189 174 46 NA NA NA NA NA 530 272 186 60 NA NA NA NA 
1769637600.0 10023.0 NA 298 516 0 159 189 NA NA NA NA 423 758 0 228 297 NA NA NA NA 708 792 178 224 229 NA NA NA NA 346 859 194 264 257 NA NA NA 
1769637600.0 10024.0 NA 319 544 0 185 199 NA NA NA NA 440 775 0 306 299 NA NA NA NA 568 788 191 231 229 NA NA NA NA 257 762 214 252 242 NA NA NA 
1769637600.0 10024.1 NA 322 322 0 NA NA NA NA NA NA 422 444 0 NA NA NA NA NA NA 573 318 184 NA NA NA NA NA NA 272 356 196 NA NA NA NA NA 
1769637600.0 10024.2 NA 308 523 0 NA NA NA NA NA NA 437 769 0 NA NA NA NA NA NA 562 779 180 NA NA NA NA NA NA 251 743 233 NA NA NA NA NA 
1769637600.0 10024.3 NA 322 297 0 NA NA NA NA NA NA 430 431 0 NA NA NA NA NA NA 569 303 151 NA NA NA NA NA NA 268 296 166 NA NA NA NA NA 
1769637600.0 10024.4 NA 310 524 0 NA NA NA NA NA NA 424 748 0 NA NA NA NA NA NA 552 733 175 NA NA NA NA NA NA 258 712 200 NA NA NA NA NA 
1769637600.0 10025.0 NA 318 536 0 159 185 NA NA NA NA 421 752 0 235 295 NA NA NA NA 562 728 185 235 229 NA NA NA NA 247 738 202 293 264 NA NA NA 
1769637600.0 10026.0 NA 322 551 0 163 196 NA NA NA NA 434 736 0 241 298 NA NA NA NA 562 879 196 219 229 NA NA NA NA 259 745 225 245 254 NA NA NA 
1769637600.0 1003.0 NA 410 0 NA NA NA NA NA NA NA 663 0 NA NA NA NA NA NA NA 1160 112 NA NA NA NA NA NA NA 709 139 NA NA NA NA NA NA 
1769637600.0 10042.0 NA 301 531 0 194 184 NA NA NA NA 418 793 0 306 292 NA NA NA NA 570 782 184 226 236 NA NA NA NA 350 802 201 288 259 NA NA NA 
1769637600.0 1005.0 NA 216 162 0 0 NA NA NA NA NA 372 267 0 0 NA NA NA NA NA 295 168 33 49 NA NA NA NA NA 474 191 57 103 NA NA NA NA 
1769637600.0 10059.0 NA 325 495 0 163 194 NA NA NA NA 437 764 0 235 297 NA NA NA NA 575 1043 197 220 236 NA NA NA NA 281 777 223 240 250 NA NA NA 
1769637600.0 10071.0 NA 306 531 0 156 200 NA NA NA NA 420 752 0 232 295 NA NA NA NA 596 802 196 228 224 NA NA NA NA 281 766 212 276 245 NA NA NA 
1769637600.0 101.0 183 NA NA NA NA NA NA NA NA 315 NA NA NA NA NA NA NA NA 329 NA NA NA NA NA NA NA NA 301 NA NA NA NA NA NA NA NA 
1769637600.0 1010.0 NA 91 111 0 NA NA NA NA NA NA 162 180 0 NA NA NA NA NA NA 147 157 53 NA NA NA NA NA NA 272 168 77 NA NA NA NA NA 
1769637600.0 102.0 179 NA NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA NA 315 NA NA NA NA NA NA NA NA 314 NA NA NA NA NA NA NA NA 
1769637600.0 1020.0 NA 95 81 0 94 NA NA NA NA NA 175 165 0 173 NA NA NA NA NA 146 119 21 147 NA NA NA NA NA 185 128 29 185 NA NA NA NA 
1769637600.0 10224.0 NA 504 733 0 198 NA NA NA NA NA 650 1021 0 300 NA NA NA NA NA 1403 1449 207 232 NA NA NA NA NA 724 956 272 250 NA NA NA NA 
1769637600.0 10224.15 NA 497 777 0 206 NA NA NA NA NA 676 1099 0 324 NA NA NA NA NA 1808 1840 215 346 NA NA NA NA NA 794 1259 232 348 NA NA NA NA 
1769637600.0 10225.0 NA 475 774 0 187 NA NA NA NA NA 647 1081 0 303 NA NA NA NA NA 1771 1820 207 249 NA NA NA NA NA 898 1243 223 270 NA NA NA NA 
1769637600.0 103.0 115 0 0 NA NA NA NA NA NA 178 0 0 NA NA NA NA NA NA 230 53 474 NA NA NA NA NA NA 247 62 463 NA NA NA NA NA NA 
1769637600.0 1030.0 NA 284 100 0 0 NA NA NA NA NA 419 174 0 0 NA NA NA NA NA 2255 142 20 21 NA NA NA NA NA 1135 142 27 28 NA NA NA NA 
1769637600.0 1040.0 NA 520 84 0 NA NA NA NA NA NA 710 148 0 NA NA NA NA NA NA 3937 128 43 NA NA NA NA NA NA 1466 141 51 NA NA NA NA NA 
