Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1770760800.0 141.044406 NA 198 323 0 NA NA 305 3738 0 NA NA 242 485 49 NA NA 135 223 61 NA 
1770760800.0 141.044407 NA 200 331 0 NA NA 303 3751 0 NA NA 248 542 61 NA NA 138 239 76 NA 
1770760800.0 141.044408 NA 197 257 NA NA NA 290 3664 NA NA NA 250 100 NA NA NA 137 95 NA NA 
1770760800.0 141.044412 NA 198 301 0 NA NA 301 3701 0 NA NA 249 177 53 NA NA 139 148 66 NA 
1770760800.0 141.044413 NA 197 303 0 NA NA 293 3709 0 NA NA 250 210 62 NA NA 137 161 75 NA 
1770760800.0 141.044414 NA 197 142 NA NA NA 305 3507 NA NA NA 249 62 NA NA NA 137 74 NA NA 
1770760800.0 141.044422 NA 198 305 0 NA NA 302 3692 0 NA NA 241 207 53 NA NA 130 162 69 NA 
1770760800.0 141.044423 NA 199 307 0 NA NA 299 3698 0 NA NA 240 203 60 NA NA 131 157 77 NA 
1770760800.0 141.044424 NA 199 141 NA NA NA 302 3505 NA NA NA 241 60 NA NA NA 129 71 NA NA 
1770760800.0 141.044483 NA 397 0 NA NA NA 3851 0 NA NA NA 494 84 NA NA NA 246 105 NA NA 
1770760800.0 160.03502 85 223 100 590 177 171 336 157 4068 272 749 148 77 497 156 511 140 122 472 159 
1770760800.0 17034.402 NA 662 392 0 NA NA 4298 3834 0 NA NA 1793 268 93 NA NA 733 209 108 NA 
1770760800.0 17034.403 NA 693 415 0 NA NA 4205 3849 0 NA NA 1834 274 104 NA NA 738 202 125 NA 
1770760800.0 17034.406 NA 688 420 0 NA NA 4252 3880 0 NA NA 1859 345 103 NA NA 755 215 115 NA 
1770760800.0 17034.412 NA 685 598 0 NA NA 4253 4088 0 NA NA 1827 541 57 NA NA 731 414 70 NA 
1770760800.0 17034.422 NA 698 613 0 NA NA 4267 4103 0 NA NA 1887 493 51 NA NA 814 388 64 NA 
1770760800.0 17034.423 NA 662 580 0 NA NA 4257 4093 0 NA NA 1748 460 53 NA NA 740 325 65 NA 
1770760800.0 18434.402 NA 669 419 0 NA NA 4288 3918 0 NA NA 610 282 81 NA NA 430 268 93 NA 
1770760800.0 18434.403 NA 668 428 0 NA NA 4283 3931 0 NA NA 622 284 93 NA NA 431 266 108 NA 
1770760800.0 18434.404 NA 673 279 NA NA NA 4244 3685 NA NA NA 621 121 NA NA NA 430 137 NA NA 
1770760800.0 18434.406 NA 670 417 0 NA NA 4195 3914 0 NA NA 608 282 90 NA NA 422 272 106 NA 
1770760800.0 18434.407 NA 666 424 0 NA NA 4212 3921 0 NA NA 606 288 90 NA NA 431 274 105 NA 
1770760800.0 18434.408 NA 687 280 NA NA NA 4214 3678 NA NA NA 616 121 NA NA NA 428 134 NA NA 
1770760800.0 18434.412 NA 667 392 0 NA NA 4265 3861 0 NA NA 618 264 56 NA NA 430 261 68 NA 
1770760800.0 18434.413 NA 665 398 0 NA NA 4193 3863 0 NA NA 611 269 56 NA NA 437 261 67 NA 
1770760800.0 18434.422 NA 669 384 0 NA NA 4206 3859 0 NA NA 618 255 52 NA NA 430 241 66 NA 
1770760800.0 18434.423 NA 685 389 0 NA NA 4211 3851 0 NA NA 611 262 52 NA NA 425 254 66 NA 
1770760800.0 18434.424 NA 687 305 NA NA NA 4273 3691 NA NA NA 614 153 NA NA NA 445 152 NA NA 
1770760800.0 18450.402 NA 662 413 0 NA NA 4200 3906 0 NA NA 592 265 80 NA NA 426 255 94 NA 
