Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1769637600.0 1.0 137 175 319 NA NA NA 248 268 431 NA NA NA 783 174 467 NA NA NA 556 344 799 NA NA NA 
1769637600.0 10224.0 NA 520 767 0 228 NA NA 699 1019 0 364 NA NA 1524 1683 228 332 NA NA 1108 1788 386 555 NA 
1769637600.0 10224.15 NA 511 769 0 247 NA NA 681 1135 0 378 NA NA 1524 1768 234 444 NA NA 1098 2070 380 704 NA 
1769637600.0 10225.0 NA 504 771 0 225 NA NA 693 1065 0 357 NA NA 1546 1550 223 328 NA NA 1018 1678 447 523 NA 
1769637600.0 103.0 115 0 0 NA NA NA 178 0 0 NA NA NA 241 60 618 NA NA NA 280 215 949 NA NA NA 
1769637600.0 106.0 122 0 0 NA NA NA 178 0 0 NA NA NA 243 57 616 NA NA NA 335 204 1041 NA NA NA 
1769637600.0 10804.31 NA 303 512 0 165 222 NA 399 729 0 233 349 NA 592 815 183 178 332 NA 503 1997 317 357 518 
1769637600.0 10805.31 NA 272 508 0 160 228 NA 416 733 0 236 362 NA 565 821 183 173 330 NA 538 1900 338 339 522 
1769637600.0 10842.0 NA 312 542 0 198 219 NA 416 747 0 311 361 NA 691 922 217 207 319 NA 644 1296 380 832 577 
1769637600.0 110.0 119 179 383 NA NA NA 186 268 545 NA NA NA 253 164 735 NA NA NA 372 283 1181 NA NA NA 
1769637600.0 11024.0 NA 541 863 0 225 NA NA 795 1196 0 357 NA NA 2163 2026 230 337 NA NA 1886 2005 392 542 NA 
1769637600.0 11024.15 NA 558 854 0 249 NA NA 794 1202 0 380 NA NA 2010 2053 228 445 NA NA 1294 1973 407 575 NA 
1769637600.0 11024.6 NA 588 890 0 229 NA NA 783 1202 0 356 NA NA 2001 2135 232 327 NA NA 1376 1883 395 527 NA 
1769637600.0 11025.0 NA 560 868 0 225 NA NA 778 1168 0 365 NA NA 2170 2077 220 326 NA NA 1467 1831 389 525 NA 
1769637600.0 111.0 127 172 377 NA NA NA 206 259 525 NA NA NA 352 130 717 NA NA NA 491 339 1149 NA NA NA 
1769637600.0 113.0 145 189 393 NA NA NA 252 274 540 NA NA NA 787 171 794 NA NA NA 653 295 1206 NA NA NA 
