Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1766613600.0 141.044406 NA 198 316 0 NA 295 3734 0 NA 253 474 53 NA 137 234 65 
1766613600.0 141.044407 NA 198 326 0 NA 292 3757 0 NA 245 513 66 NA 133 245 80 
1766613600.0 141.044408 NA 197 257 NA NA 296 3662 NA NA 252 104 NA NA 134 101 NA 
1766613600.0 141.044412 NA 197 294 0 NA 288 3689 0 NA 259 187 58 NA 139 158 71 
1766613600.0 141.044413 NA 196 296 0 NA 298 3693 0 NA 255 225 67 NA 138 169 84 
1766613600.0 141.044414 NA 196 139 NA NA 293 3499 NA NA 251 65 NA NA 141 78 NA 
1766613600.0 141.044422 NA 198 300 0 NA 302 3685 0 NA 246 206 57 NA 133 156 72 
1766613600.0 141.044423 NA 198 301 0 NA 292 3689 0 NA 254 209 63 NA 138 168 79 
1766613600.0 141.044424 NA 197 139 NA NA 292 3499 NA NA 255 64 NA NA 138 79 NA 
1766613600.0 141.044483 NA 388 0 NA NA 3846 0 NA NA 501 87 NA NA 250 103 NA 
1766613600.0 160.03502 117 222 101 596 167 329 155 4075 753 146 76 518 513 147 113 485 
1766613600.0 17034.402 NA 951 419 0 NA 4676 3854 0 NA 2120 349 95 NA 958 287 108 
1766613600.0 17034.403 NA 1026 435 0 NA 4713 3896 0 NA 2225 368 107 NA 1010 295 122 
1766613600.0 17034.406 NA 972 427 0 NA 4626 3862 0 NA 1964 374 104 NA 933 281 117 
1766613600.0 17034.412 NA 977 663 0 NA 4648 4128 0 NA 2199 628 59 NA 999 475 72 
1766613600.0 17034.422 NA 995 635 0 NA 4661 4136 0 NA 2176 559 54 NA 953 424 68 
1766613600.0 17034.423 NA 958 637 0 NA 4636 4117 0 NA 2173 561 55 NA 976 393 69 
1766613600.0 18434.402 NA 630 369 0 NA 4165 3803 0 NA 537 253 86 NA 360 244 101 
1766613600.0 18434.403 NA 651 378 0 NA 4185 3816 0 NA 559 260 96 NA 376 248 110 
1766613600.0 18434.404 NA 629 280 NA NA 4150 3678 NA NA 534 126 NA NA 362 140 NA 
1766613600.0 18434.406 NA 628 369 0 NA 4166 3795 0 NA 543 258 92 NA 365 249 108 
1766613600.0 18434.407 NA 650 378 0 NA 4209 3813 0 NA 538 258 92 NA 356 240 106 
1766613600.0 18434.408 NA 628 280 NA NA 4146 3687 NA NA 528 124 NA NA 347 136 NA 
1766613600.0 18434.412 NA 635 346 0 NA 4194 3755 0 NA 546 232 59 NA 355 230 72 
1766613600.0 18434.413 NA 650 348 0 NA 4205 3766 0 NA 561 237 59 NA 370 237 73 
1766613600.0 18434.422 NA 632 334 0 NA 4177 3735 0 NA 544 226 53 NA 353 216 66 
1766613600.0 18434.423 NA 632 341 0 NA 4176 3749 0 NA 536 232 54 NA 358 224 66 
1766613600.0 18434.424 NA 631 305 NA NA 4155 3677 NA NA 542 158 NA NA 365 158 NA 
1766613600.0 18450.402 NA 632 364 0 NA 4193 3802 0 NA 517 241 82 NA 349 231 96 
1766613600.0 18450.403 NA 629 375 0 NA 4175 3820 0 NA 516 243 93 NA 344 233 113 
1766613600.0 18450.404 NA 624 280 NA NA 4157 3683 NA NA 523 122 NA NA 348 137 NA 
1766613600.0 18450.406 NA 650 366 0 NA 4189 3806 0 NA 518 242 86 NA 349 238 100 
1766613600.0 18450.407 NA 646 371 0 NA 4187 3823 0 NA 536 242 87 NA 360 232 99 
1766613600.0 18450.408 NA 630 277 NA NA 4132 3672 NA NA 526 122 NA NA 350 141 NA 
1766613600.0 18461.402 NA 601 336 0 NA 4139 3744 0 NA 490 224 69 NA 349 224 83 
1766613600.0 18634.402 NA 838 401 0 NA 4442 3830 0 NA 1366 306 92 NA 729 271 105 
1766613600.0 18634.403 NA 813 412 0 NA 4463 3843 0 NA 1407 312 105 NA 744 260 124 
1766613600.0 18634.404 NA 806 279 NA NA 4399 3677 NA NA 1349 129 NA NA 718 150 NA 
1766613600.0 18634.406 NA 799 397 0 NA 4411 3835 0 NA 1343 313 100 NA 714 265 113 
1766613600.0 18634.407 NA 806 405 0 NA 4406 3838 0 NA 1367 321 102 NA 742 268 114 
1766613600.0 18634.408 NA 814 301 NA NA 4445 3698 NA NA 1382 127 NA NA 710 141 NA 
1766613600.0 18634.412 NA 815 508 0 NA 4424 3956 0 NA 1367 433 60 NA 729 360 73 
1766613600.0 18634.413 NA 812 497 0 NA 4427 3949 0 NA 1362 443 61 NA 715 391 77 
1766613600.0 18634.422 NA 812 483 0 NA 4427 3967 0 NA 1366 411 53 NA 724 354 66 
1766613600.0 18634.423 NA 816 509 0 NA 4419 3955 0 NA 1366 412 55 NA 718 350 67 
1766613600.0 18634.424 NA 807 307 NA NA 4415 3688 NA NA 1327 159 NA NA 696 160 NA 
1766613600.0 18650.402 NA 802 392 0 NA 4420 3830 0 NA 1343 291 91 NA 727 250 104 
1766613600.0 18650.403 NA 800 406 0 NA 4456 3839 0 NA 1328 295 102 NA 708 254 117 
1766613600.0 18650.404 NA 821 279 NA NA 4416 3685 NA NA 1325 121 NA NA 706 134 NA 
1766613600.0 18650.406 NA 792 396 0 NA 4415 3822 0 NA 1314 295 100 NA 706 247 118 
1766613600.0 18650.407 NA 802 405 0 NA 4440 3841 0 NA 1344 307 102 NA 710 262 116 
1766613600.0 18650.408 NA 795 281 NA NA 4400 3682 NA NA 1333 120 NA NA 706 133 NA 
1766613600.0 18661.402 NA 788 393 0 NA 4404 3825 0 NA 1317 280 92 NA 694 245 107 
1766613600.0 34434.402 NA 808 531 0 NA 6842 4098 0 NA 868 440 83 NA 501 383 98 
1766613600.0 34434.4021 NA 820 536 0 NA 6864 4193 0 NA 866 450 82 NA 503 376 97 
1766613600.0 34434.403 NA 809 534 0 NA 6854 4146 0 NA 868 450 92 NA 509 380 107 
1766613600.0 34434.404 NA 809 334 NA NA 6854 3851 NA NA 860 224 NA NA 494 268 NA 
1766613600.0 34434.406 NA 807 541 0 NA 6862 4116 0 NA 864 445 87 NA 486 381 105 
