Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1790024400.0 18434.402 747 407 0 4327 3895 0 561 290 91 409 281 110 
1790024400.0 18434.403 730 415 0 4336 3901 0 568 302 101 419 296 126 
1790024400.0 18434.404 732 275 NA 4296 3673 NA 555 124 NA 407 143 NA 
1790024400.0 18434.406 745 405 0 4300 3899 0 569 303 94 411 294 112 
1790024400.0 18434.407 748 415 0 4326 3914 0 571 308 97 426 305 117 
1790024400.0 18434.408 746 276 NA 4311 3678 NA 554 122 NA 418 138 NA 
1790024400.0 18434.412 768 385 0 4332 3856 0 568 280 61 429 288 77 
1790024400.0 18434.413 748 388 0 4324 3867 0 563 279 63 406 283 79 
1790024400.0 18434.422 748 377 0 4322 3843 0 561 273 57 406 276 75 
1790024400.0 18434.423 744 380 0 4299 3850 0 561 281 59 423 281 76 
1790024400.0 18434.424 728 301 NA 4274 3684 NA 554 155 NA 421 177 NA 
1790024400.0 18450.402 723 402 0 4315 3901 0 555 283 87 430 291 106 
1790024400.0 18450.403 721 410 0 4281 3907 0 541 286 94 419 287 112 
1790024400.0 18450.404 718 278 NA 4290 3679 NA 537 119 NA 408 136 NA 
1790024400.0 18450.406 728 401 0 4323 3889 0 563 282 90 423 285 108 
1790024400.0 18450.407 675 411 0 4328 3907 0 555 283 91 437 279 108 
1790024400.0 18450.408 725 277 NA 4275 3676 NA 533 116 NA 397 131 NA 
1790024400.0 18461.402 690 375 0 4269 3842 0 519 265 71 416 272 88 
1790024400.0 34634.402 0 NA NA 0 NA NA 0 NA NA 0 NA NA 
1790024400.0 34634.4021 0 NA NA 0 NA NA 0 NA NA 0 NA NA 
1790024400.0 34634.404 0 NA NA 0 NA NA 0 NA NA 0 NA NA 
1790024400.0 34634.713 0 NA NA 0 NA NA 0 NA NA 0 NA NA 
1790024400.0 34634.7503 1781 0 NA 5870 0 NA 7023 96 NA 2404 125 NA 
