Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1767207600.0 141.044406 NA 196 204 0 NA 295 758 0 NA 254 481 52 NA 144 239 65 
1767207600.0 141.044407 NA 195 213 0 NA 294 783 0 NA 253 548 62 NA 137 248 77 
1767207600.0 141.044408 NA 196 163 NA NA 297 694 NA NA 250 86 NA NA 135 94 NA 
1767207600.0 141.044412 NA 198 182 0 NA 297 711 0 NA 252 182 58 NA 138 158 73 
1767207600.0 141.044413 NA 196 182 0 NA 302 718 0 NA 250 224 61 NA 136 177 76 
1767207600.0 141.044414 NA 196 111 NA NA 287 606 NA NA 246 62 NA NA 132 83 NA 
1767207600.0 141.044422 NA 197 188 0 NA 297 706 0 NA 249 204 55 NA 139 162 74 
1767207600.0 141.044423 NA 197 186 0 NA 300 703 0 NA 246 203 60 NA 133 156 75 
1767207600.0 141.044424 NA 199 112 NA NA 292 608 NA NA 254 59 NA NA 138 73 NA 
1767207600.0 141.044483 NA 278 0 NA NA 859 0 NA NA 490 85 NA NA 249 101 NA 
1767207600.0 160.03502 113 219 101 484 165 321 154 1096 742 145 76 506 513 145 111 481 
1767207600.0 17034.402 NA 872 302 0 NA 1699 871 0 NA 2050 341 95 NA 918 279 109 
1767207600.0 17034.403 NA 854 308 0 NA 1643 894 0 NA 1938 347 102 NA 919 288 117 
1767207600.0 17034.406 NA 858 321 0 NA 1724 917 0 NA 2105 408 105 NA 939 299 121 
1767207600.0 17034.412 NA 887 537 0 NA 1788 1147 0 NA 2138 600 58 NA 952 382 72 
1767207600.0 17034.422 NA 830 526 0 NA 1667 1158 0 NA 2093 544 52 NA 941 409 65 
1767207600.0 17034.423 NA 872 502 0 NA 1692 1157 0 NA 2087 545 54 NA 924 400 67 
1767207600.0 18434.402 NA 521 256 0 NA 1207 817 0 NA 545 258 85 NA 359 243 100 
1767207600.0 18434.403 NA 523 263 0 NA 1201 841 0 NA 526 253 93 NA 357 245 111 
1767207600.0 18434.404 NA 522 186 NA NA 1175 713 NA NA 559 120 NA NA 353 133 NA 
1767207600.0 18434.406 NA 520 258 0 NA 1198 816 0 NA 525 264 89 NA 344 244 104 
1767207600.0 18434.407 NA 520 263 0 NA 1186 835 0 NA 527 266 93 NA 361 237 113 
1767207600.0 18434.408 NA 519 188 NA NA 1181 714 NA NA 545 122 NA NA 360 145 NA 
1767207600.0 18434.412 NA 522 232 0 NA 1213 781 0 NA 626 227 57 NA 377 222 71 
1767207600.0 18434.413 NA 519 237 0 NA 1195 785 0 NA 529 230 58 NA 346 236 72 
1767207600.0 18434.422 NA 521 225 0 NA 1192 754 0 NA 524 222 53 NA 355 224 66 
1767207600.0 18434.423 NA 520 227 0 NA 1216 753 0 NA 583 227 53 NA 356 222 66 
1767207600.0 18434.424 NA 519 191 NA NA 1170 703 NA NA 527 152 NA NA 350 162 NA 
1767207600.0 18450.402 NA 507 253 0 NA 1176 817 0 NA 515 229 83 NA 352 232 102 
1767207600.0 18450.403 NA 514 262 0 NA 1200 840 0 NA 512 240 88 NA 339 238 102 
1767207600.0 18450.404 NA 522 186 NA NA 1185 716 NA NA 521 116 NA NA 350 132 NA 
1767207600.0 18450.406 NA 515 253 0 NA 1195 817 0 NA 533 232 84 NA 358 224 97 
1767207600.0 18450.407 NA 522 262 0 NA 1188 824 0 NA 510 242 87 NA 337 241 101 
1767207600.0 18450.408 NA 515 185 NA NA 1152 713 NA NA 510 115 NA NA 344 130 NA 
1767207600.0 18461.402 NA 491 243 0 NA 1153 780 0 NA 481 215 68 NA 332 216 81 
1767207600.0 18634.402 NA 698 289 0 NA 1429 855 0 NA 1364 333 92 NA 737 262 105 
1767207600.0 18634.403 NA 696 296 0 NA 1463 862 0 NA 1350 304 99 NA 739 257 113 
1767207600.0 18634.404 NA 706 185 NA NA 1452 712 NA NA 1365 121 NA NA 744 144 NA 
1767207600.0 18634.406 NA 705 294 0 NA 1444 854 0 NA 1372 310 99 NA 726 265 113 
1767207600.0 18634.407 NA 694 293 0 NA 1443 854 0 NA 1340 312 104 NA 733 266 123 
1767207600.0 18634.408 NA 704 184 NA NA 1436 716 NA NA 1339 120 NA NA 713 134 NA 
1767207600.0 18634.412 NA 696 392 0 NA 1441 968 0 NA 1302 429 58 NA 711 385 71 
1767207600.0 18634.413 NA 704 384 0 NA 1444 988 0 NA 1356 438 57 NA 723 388 71 
1767207600.0 18634.422 NA 700 384 0 NA 1466 971 0 NA 1366 399 51 NA 749 350 64 
1767207600.0 18634.423 NA 708 389 0 NA 1447 974 0 NA 1429 411 54 NA 749 355 67 
1767207600.0 18634.424 NA 695 197 NA NA 1439 708 NA NA 1333 170 NA NA 702 156 NA 
1767207600.0 18650.402 NA 701 285 0 NA 1438 850 0 NA 1306 289 91 NA 694 244 106 
1767207600.0 18650.403 NA 702 290 0 NA 1458 854 0 NA 1324 292 99 NA 714 247 114 
1767207600.0 18650.404 NA 698 189 NA NA 1418 723 NA NA 1294 114 NA NA 683 129 NA 
1767207600.0 18650.406 NA 694 284 0 NA 1438 857 0 NA 1302 294 99 NA 704 244 114 
1767207600.0 18650.407 NA 702 290 0 NA 1438 866 0 NA 1340 298 99 NA 714 250 113 
1767207600.0 18650.408 NA 686 186 NA NA 1399 711 NA NA 1269 118 NA NA 680 132 NA 
1767207600.0 18661.402 NA 685 282 0 NA 1458 852 0 NA 1290 277 88 NA 705 243 102 
1767207600.0 34434.402 NA 695 411 0 NA 2044 1115 0 NA 847 438 81 NA 501 377 96 
1767207600.0 34434.4021 NA 706 410 0 NA 2088 1211 0 NA 849 443 80 NA 482 379 94 
1767207600.0 34434.403 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1767207600.0 34434.404 NA 695 240 NA NA 2007 882 NA NA 846 220 NA NA 492 260 NA 
1767207600.0 34434.406 NA 689 435 0 NA 2011 1150 0 NA 847 440 84 NA 503 378 98 
1767207600.0 34434.612 NA 286 254 0 NA 410 829 0 NA 424 352 101 NA 237 222 116 
1767207600.0 34434.704 NA 690 402 0 NA 1396 1222 0 NA 835 451 98 NA 476 388 113 
1767207600.0 34434.751 NA 719 0 NA NA 2012 0 NA NA 944 76 NA NA 533 90 NA 
1767207600.0 34461.402 NA 638 358 0 NA 1916 947 0 NA 737 391 61 NA 466 364 76 
1767207600.0 34461.751 NA 631 0 NA NA 1286 0 NA NA 821 66 NA NA 513 80 NA 
1767207600.0 34634.402 NA 1585 837 0 NA 3352 1654 0 NA 5145 1448 100 NA 1828 694 115 
1767207600.0 34634.4021 NA 1607 862 0 NA 3382 1824 0 NA 5193 1425 103 NA 1891 708 122 
1767207600.0 34634.403 NA 1560 874 0 NA 3356 1844 0 NA 5224 1551 109 NA 1811 729 123 
1767207600.0 34634.404 NA 1535 246 NA NA 3298 904 NA NA 5336 218 NA NA 1887 260 NA 
1767207600.0 34634.704 NA 1623 793 0 NA 2691 1758 0 NA 5222 1745 117 NA 1865 700 131 
1767207600.0 34634.751 NA 1534 0 NA NA 3070 0 NA NA 5807 84 NA NA 2018 99 NA 
