Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1782205200.0 141.044406 NA 214 188 0 NA NA 305 765 0 NA NA 307 587 64 NA NA 180 287 84 NA 
1782205200.0 141.044407 NA 213 202 0 NA NA 297 777 0 NA NA 282 678 80 NA NA 168 300 99 NA 
1782205200.0 141.044408 NA 213 147 NA NA NA 296 705 NA NA NA 297 97 NA NA NA 172 112 NA NA 
1782205200.0 141.044412 NA 211 169 0 NA NA 295 740 0 NA NA 300 225 71 NA NA 173 197 88 NA 
1782205200.0 141.044413 NA 213 169 0 NA NA 301 741 0 NA NA 282 253 79 NA NA 172 201 97 NA 
1782205200.0 141.044414 NA 212 117 NA NA NA 301 634 NA NA NA 301 73 NA NA NA 172 92 NA NA 
1782205200.0 141.044422 NA 213 168 0 NA NA 303 721 0 NA NA 295 234 68 NA NA 188 189 88 NA 
1782205200.0 141.044423 NA 213 168 0 NA NA 302 721 0 NA NA 295 250 73 NA NA 188 202 92 NA 
1782205200.0 141.044424 NA 212 117 NA NA NA 295 633 NA NA NA 299 74 NA NA NA 173 93 NA NA 
1782205200.0 141.044483 NA 256 0 NA NA NA 853 0 NA NA NA 599 101 NA NA NA 313 121 NA NA 
1782205200.0 160.03502 123 236 113 493 195 171 344 156 1130 263 865 130 85 576 179 717 129 116 646 190 
1782205200.0 17034.402 NA 669 272 0 NA NA 1402 848 0 NA NA 2071 292 115 NA NA 1001 233 132 NA 
1782205200.0 17034.403 NA 678 277 0 NA NA 1377 859 0 NA NA 2158 321 121 NA NA 1169 250 142 NA 
1782205200.0 17034.406 NA 713 299 0 NA NA 1407 889 0 NA NA 2211 414 126 NA NA 1132 262 147 NA 
1782205200.0 17034.412 NA 726 472 0 NA NA 1405 1138 0 NA NA 2083 639 73 NA NA 979 565 90 NA 
1782205200.0 17034.422 NA 730 479 0 NA NA 1502 1127 0 NA NA 2198 600 68 NA NA 1106 591 88 NA 
1782205200.0 17034.423 NA 716 496 0 NA NA 1431 1148 0 NA NA 2202 602 70 NA NA 1045 733 87 NA 
1782205200.0 18434.402 NA 620 294 0 NA NA 1352 910 0 NA NA 662 316 101 NA NA 474 302 118 NA 
1782205200.0 18434.403 NA 672 305 0 NA NA 1349 929 0 NA NA 655 339 113 NA NA 460 323 136 NA 
1782205200.0 18434.404 NA 651 168 NA NA NA 1359 717 NA NA NA 653 139 NA NA NA 496 162 NA NA 
1782205200.0 18434.406 NA 672 289 0 NA NA 1369 919 0 NA NA 637 346 110 NA NA 472 335 128 NA 
1782205200.0 18434.407 NA 657 310 0 NA NA 1378 935 0 NA NA 652 324 112 NA NA 509 308 127 NA 
1782205200.0 18434.408 NA 653 169 NA NA NA 1355 723 NA NA NA 655 137 NA NA NA 510 155 NA NA 
1782205200.0 18434.412 NA 668 272 0 NA NA 1365 918 0 NA NA 659 315 73 NA NA 473 310 90 NA 
1782205200.0 18434.413 NA 671 270 0 NA NA 1347 897 0 NA NA 649 310 71 NA NA 483 309 91 NA 
1782205200.0 18434.422 NA 671 261 0 NA NA 1353 882 0 NA NA 656 294 66 NA NA 474 286 85 NA 
1782205200.0 18434.423 NA 649 268 0 NA NA 1346 887 0 NA NA 652 312 69 NA NA 464 300 85 NA 
1782205200.0 18434.424 NA 645 170 NA NA NA 1325 710 NA NA NA 645 177 NA NA NA 494 186 NA NA 
1782205200.0 18450.402 NA 672 291 0 NA NA 1356 921 0 NA NA 659 301 98 NA NA 507 297 117 NA 
1782205200.0 18450.403 NA 665 300 0 NA NA 1355 935 0 NA NA 635 303 111 NA NA 469 307 129 NA 
1782205200.0 18450.404 NA 640 168 NA NA NA 1362 715 NA NA NA 616 133 NA NA NA 467 152 NA NA 
1782205200.0 18450.406 NA 665 294 0 NA NA 1343 914 0 NA NA 628 312 108 NA NA 473 304 126 NA 
1782205200.0 18450.407 NA 674 303 0 NA NA 1419 933 0 NA NA 630 321 107 NA NA 488 311 123 NA 
1782205200.0 18450.408 NA 649 169 NA NA NA 1350 727 NA NA NA 626 130 NA NA NA 452 149 NA NA 
1782205200.0 18461.402 NA 574 270 0 NA NA 1313 899 0 NA NA 621 282 81 NA NA 488 285 98 NA 
1782205200.0 18634.402 NA 984 355 0 NA NA 1881 997 0 NA NA 2490 424 116 NA NA 1298 356 136 NA 
1782205200.0 18634.403 NA 917 354 0 NA NA 1799 998 0 NA NA 2443 418 125 NA NA 1265 350 143 NA 
1782205200.0 18634.404 NA 976 169 NA NA NA 1874 723 NA NA NA 2542 142 NA NA NA 1366 160 NA NA 
1782205200.0 18634.406 NA 965 355 0 NA NA 1855 1007 0 NA NA 2369 523 125 NA NA 1201 390 140 NA 
1782205200.0 18634.407 NA 963 379 0 NA NA 1871 1037 0 NA NA 2549 527 129 NA NA 1374 399 158 NA 
