Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1790110800.0 141.044406 NA 197 170 0 NA NA 300 800 0 NA NA 253 462 57 NA NA 138 235 79 NA 
1790110800.0 141.044407 NA 196 180 0 NA NA 298 818 0 NA NA 258 509 66 NA NA 145 245 86 NA 
1790110800.0 141.044408 NA 199 132 NA NA NA 306 746 NA NA NA 254 82 NA NA NA 136 96 NA NA 
1790110800.0 141.044412 NA 196 153 0 NA NA 296 812 0 NA NA 257 181 60 NA NA 145 177 77 NA 
1790110800.0 141.044413 NA 196 152 0 NA NA 297 805 0 NA NA 251 217 64 NA NA 136 178 77 NA 
1790110800.0 141.044414 NA 197 105 NA NA NA 295 659 NA NA NA 263 62 NA NA NA 145 82 NA NA 
1790110800.0 141.044422 NA 197 151 0 NA NA 294 760 0 NA NA 255 206 58 NA NA 137 165 73 NA 
1790110800.0 141.044423 NA 196 153 0 NA NA 293 765 0 NA NA 251 205 62 NA NA 141 163 81 NA 
1790110800.0 141.044424 NA 196 103 NA NA NA 297 661 NA NA NA 257 61 NA NA NA 142 85 NA NA 
1790110800.0 141.044483 NA 233 0 NA NA NA 914 0 NA NA NA 477 86 NA NA NA 256 107 NA NA 
1790110800.0 160.03502 115 223 101 456 175 166 328 156 1194 267 748 130 81 511 157 500 122 116 481 159 
1790110800.0 163.03 117 372 163 234 180 169 1083 269 934 304 776 277 117 237 170 530 260 131 259 166 
1790110800.0 17034.402 NA 667 239 0 NA NA 1422 884 0 NA NA 1705 264 97 NA NA 724 219 113 NA 
1790110800.0 17034.403 NA 676 251 0 NA NA 1456 916 0 NA NA 1778 275 103 NA NA 756 221 123 NA 
1790110800.0 17034.406 NA 663 262 0 NA NA 1415 919 0 NA NA 1737 312 110 NA NA 780 221 137 NA 
1790110800.0 17034.412 NA 705 444 0 NA NA 1422 1208 0 NA NA 1766 531 63 NA NA 740 402 78 NA 
1790110800.0 17034.422 NA 688 457 0 NA NA 1410 1191 0 NA NA 1791 474 56 NA NA 775 386 70 NA 
1790110800.0 17034.423 NA 685 454 0 NA NA 1473 1194 0 NA NA 1739 478 59 NA NA 766 413 79 NA 
1790110800.0 18434.402 NA 572 260 0 NA NA 1429 957 0 NA NA 554 283 88 NA NA 408 275 106 NA 
1790110800.0 18434.403 NA 572 270 0 NA NA 1452 972 0 NA NA 560 293 92 NA NA 426 284 108 NA 
1790110800.0 18434.404 NA 572 152 NA NA NA 1426 764 NA NA NA 549 117 NA NA NA 401 133 NA NA 
1790110800.0 18434.406 NA 577 261 0 NA NA 1460 958 0 NA NA 571 287 94 NA NA 438 284 112 NA 
1790110800.0 18434.407 NA 572 270 0 NA NA 1427 981 0 NA NA 565 297 95 NA NA 428 279 111 NA 
1790110800.0 18434.408 NA 572 151 NA NA NA 1441 758 NA NA NA 542 116 NA NA NA 386 133 NA NA 
1790110800.0 18434.412 NA 577 241 0 NA NA 1452 983 0 NA NA 562 265 61 NA NA 412 260 77 NA 
1790110800.0 18434.413 NA 574 206 0 NA NA 1449 987 0 NA NA 563 274 63 NA NA 427 284 85 NA 
1790110800.0 18434.422 NA 573 232 0 NA NA 1469 928 0 NA NA 556 259 58 NA NA 390 261 76 NA 
1790110800.0 18434.423 NA 574 233 0 NA NA 1446 928 0 NA NA 547 270 59 NA NA 383 273 73 NA 
1790110800.0 18434.424 NA 570 153 NA NA NA 1442 756 NA NA NA 554 147 NA NA NA 392 149 NA NA 
1790110800.0 18450.402 NA 568 258 0 NA NA 1455 957 0 NA NA 545 274 85 NA NA 395 268 109 NA 
1790110800.0 18450.403 NA 575 262 0 NA NA 1452 966 0 NA NA 539 281 91 NA NA 395 291 110 NA 
1790110800.0 18450.404 NA 567 150 NA NA NA 1419 763 NA NA NA 537 112 NA NA NA 410 138 NA NA 
1790110800.0 18450.406 NA 567 259 0 NA NA 1435 966 0 NA NA 544 276 90 NA NA 405 273 110 NA 
1790110800.0 18450.407 NA 565 264 0 NA NA 1431 968 0 NA NA 546 276 92 NA NA 417 270 111 NA 
1790110800.0 18450.408 NA 561 152 NA NA NA 1432 760 NA NA NA 527 111 NA NA NA 409 130 NA NA 
1790110800.0 18461.402 NA 535 243 0 NA NA 1404 944 0 NA NA 516 259 73 NA NA 412 263 94 NA 
1790110800.0 18634.402 NA 913 305 0 NA NA 1906 1014 0 NA NA 2071 377 99 NA NA 974 314 117 NA 
1790110800.0 18634.403 NA 925 315 0 NA NA 1920 1039 0 NA NA 2175 386 103 NA NA 1032 315 124 NA 
1790110800.0 18634.404 NA 944 150 NA NA NA 1927 760 NA NA NA 2154 115 NA NA NA 1042 128 NA NA 
1790110800.0 18634.406 NA 920 342 0 NA NA 1903 1074 0 NA NA 2211 443 109 NA NA 1027 329 126 NA 
1790110800.0 18634.407 NA 935 321 0 NA NA 1960 1054 0 NA NA 1986 406 110 NA NA 956 318 128 NA 
1790110800.0 18634.408 NA 927 153 NA NA NA 1822 771 NA NA NA 2079 121 NA NA NA 998 141 NA NA 
1790110800.0 18634.412 NA 939 532 0 NA NA 1989 1337 0 NA NA 2096 643 64 NA NA 997 492 83 NA 
1790110800.0 18634.413 NA 940 497 0 NA NA 1944 1304 0 NA NA 2025 623 61 NA NA 970 505 77 NA 
1790110800.0 18634.422 NA 931 517 0 NA NA 1973 1296 0 NA NA 2164 585 59 NA NA 1084 485 74 NA 
1790110800.0 18634.423 NA 886 512 0 NA NA 2001 1272 0 NA NA 2076 586 57 NA NA 1003 504 70 NA 
1790110800.0 18634.424 NA 926 156 NA NA NA 1872 765 NA NA NA 2100 155 NA NA NA 975 160 NA NA 
1790110800.0 18650.402 NA 882 304 0 NA NA 1955 1025 0 NA NA 2084 362 97 NA NA 1004 308 114 NA 
1790110800.0 18650.403 NA 915 326 0 NA NA 1938 1043 0 NA NA 2106 373 105 NA NA 1012 320 123 NA 
1790110800.0 18650.404 NA 922 152 NA NA NA 1812 767 NA NA NA 2055 114 NA NA NA 969 138 NA NA 
1790110800.0 18650.406 NA 885 320 0 NA NA 1837 1059 0 NA NA 2081 412 106 NA NA 1025 317 123 NA 
1790110800.0 18650.407 NA 896 325 0 NA NA 1782 997 0 NA NA 2036 411 109 NA NA 951 312 126 NA 
1790110800.0 18650.408 NA 883 150 NA NA NA 1805 764 NA NA NA 1963 115 NA NA NA 942 134 NA NA 
1790110800.0 18661.402 NA 915 297 0 NA NA 1944 964 0 NA NA 2060 347 95 NA NA 996 306 113 NA 
1790110800.0 34434.402 NA 676 383 0 NA NA 10543 1122 0 NA NA 859 426 85 NA NA 480 359 102 NA 
1790110800.0 34434.4021 NA 678 384 0 NA NA 10618 1207 0 NA NA 869 432 85 NA NA 509 374 104 NA 
1790110800.0 34434.403 NA 678 395 0 NA NA 10555 1211 0 NA NA 868 440 91 NA NA 488 368 111 NA 
1790110800.0 34434.404 NA 674 153 NA NA NA 10538 902 NA NA NA 862 222 NA NA NA 496 283 NA NA 
1790110800.0 34434.406 NA 676 382 0 NA NA 10575 1146 0 NA NA 858 435 89 NA NA 479 367 109 NA 
