Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1788987600.0 1.0 136 172 262 NA NA NA NA NA NA 239 261 401 NA NA NA NA NA NA 815 217 509 NA NA NA NA NA NA 654 210 643 NA NA NA NA NA NA 
1788987600.0 10.0 NA 211 405 0 NA NA NA NA NA NA 326 574 0 NA NA NA NA NA NA 683 1326 176 NA NA NA NA NA NA 309 933 219 NA NA NA NA NA 
1788987600.0 1000.0 NA 351 176 0 103 NA NA NA NA NA 531 291 0 171 NA NA NA NA NA 1413 184 125 188 NA NA NA NA NA 1079 188 145 202 NA NA NA NA 
1788987600.0 10001.0 NA 294 495 0 152 178 NA NA NA NA 413 690 0 223 285 NA NA NA NA 211 805 177 227 218 NA NA NA NA 260 889 189 265 247 NA NA NA 
1788987600.0 10002.0 NA 308 519 0 154 190 NA NA NA NA 416 703 0 229 278 NA NA NA NA 249 1022 252 366 211 NA NA NA NA 219 935 276 416 240 NA NA NA 
1788987600.0 10003.0 NA 308 519 0 151 188 NA NA NA NA 405 678 0 231 288 NA NA NA NA 257 1093 235 322 230 NA NA NA NA 254 1201 280 426 268 NA NA NA 
1788987600.0 10004.0 NA 306 508 0 156 189 NA NA NA NA 408 702 0 229 277 NA NA NA NA 266 1008 234 292 214 NA NA NA NA 268 1101 252 340 238 NA NA NA 
1788987600.0 10005.0 NA 307 507 0 151 189 NA NA NA NA 398 692 0 221 293 NA NA NA NA 254 1039 232 321 217 NA NA NA NA 264 1145 258 414 252 NA NA NA 
1788987600.0 10006.0 NA 294 489 0 148 181 NA NA NA NA 412 680 0 221 282 NA NA NA NA 252 882 177 229 209 NA NA NA NA 237 860 196 258 242 NA NA NA 
1788987600.0 10007.0 NA 293 493 0 176 177 NA NA NA NA 408 718 0 293 286 NA NA NA NA 235 880 240 282 316 NA NA NA NA 298 793 365 331 375 NA NA NA 
1788987600.0 10008.0 NA 295 506 0 183 184 NA NA NA NA 404 694 0 288 297 NA NA NA NA 265 902 176 233 221 NA NA NA NA 238 847 187 260 250 NA NA NA 
1788987600.0 10009.0 NA 298 514 0 177 179 NA NA NA NA 409 706 0 291 284 NA NA NA NA 243 950 181 231 217 NA NA NA NA 287 966 210 254 243 NA NA NA 
1788987600.0 1001.0 NA 335 186 0 0 0 0 0 0 NA 487 272 0 0 0 0 0 0 NA 1257 271 35 25 38 85 48 84 NA 966 269 45 35 51 112 67 104 
1788987600.0 1001.2 NA 542 232 0 0 0 0 NA NA NA 771 352 0 0 0 0 NA NA NA 5669 417 45 51 45 57 NA NA NA 2048 348 54 79 54 81 NA NA 
1788987600.0 1001.3 NA 528 212 0 NA NA NA NA NA NA 740 322 0 NA NA NA NA NA NA 4347 293 112 NA NA NA NA NA NA 2034 298 145 NA NA NA NA NA 
1788987600.0 1001.4 NA 540 181 0 0 0 NA NA NA NA 739 285 0 0 0 NA NA NA NA 4682 242 45 48 51 NA NA NA NA 1925 291 56 61 77 NA NA NA 
1788987600.0 1002.0 NA 386 120 NA NA NA NA NA NA NA 530 181 NA NA NA NA NA NA NA 1686 105 NA NA NA NA NA NA NA 1167 90 NA NA NA NA NA NA 
1788987600.0 1002.3 NA 521 229 0 NA NA NA NA NA NA 727 340 0 NA NA NA NA NA NA 2948 408 108 NA NA NA NA NA NA 1315 403 140 NA NA NA NA NA 
1788987600.0 1002.4 NA 538 0 NA NA NA NA NA NA NA 759 0 NA NA NA NA NA NA NA 5955 161 NA NA NA NA NA NA NA 2496 178 NA NA NA NA NA NA 
1788987600.0 1002.5 NA 141 135 0 0 NA NA NA NA NA 231 214 0 0 NA NA NA NA NA 348 212 191 67 NA NA NA NA NA 460 258 223 98 NA NA NA NA 
1788987600.0 10023.0 NA 308 510 0 154 189 NA NA NA NA 414 698 0 229 279 NA NA NA NA 256 931 231 316 223 NA NA NA NA 224 1042 274 379 252 NA NA NA 
1788987600.0 10024.0 NA 318 539 0 179 190 NA NA NA NA 425 733 0 295 289 NA NA NA NA 286 1225 292 343 229 NA NA NA NA 223 1185 316 442 253 NA NA NA 
1788987600.0 10024.1 NA 304 306 0 NA NA NA NA NA NA 412 459 0 NA NA NA NA NA NA 259 422 246 NA NA NA NA NA NA 305 412 291 NA NA NA NA NA 
1788987600.0 10024.2 NA 306 508 0 NA NA NA NA NA NA 427 712 0 NA NA NA NA NA NA 255 797 186 NA NA NA NA NA NA 274 790 204 NA NA NA NA NA 
