Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1785704400.0 1.0 149 182 300 NA NA NA NA NA 237 267 412 NA NA NA NA NA 948 195 405 NA NA NA NA NA 695 198 510 NA NA NA NA NA 
1785704400.0 10.0 NA 221 412 0 NA NA NA NA NA 323 571 0 NA NA NA NA NA 795 1553 189 NA NA NA NA NA 335 1107 216 NA NA NA NA 
1785704400.0 10002.0 NA 306 501 0 155 184 NA NA NA 407 707 0 225 293 NA NA NA 266 972 210 354 356 NA NA NA 311 955 247 396 405 NA NA 
1785704400.0 1002.0 NA 355 138 NA NA NA NA NA NA 522 170 NA NA NA NA NA NA 1529 109 NA NA NA NA NA NA 1151 95 NA NA NA NA NA 
1785704400.0 1002.5 NA 148 135 0 0 NA NA NA NA 229 211 0 0 NA NA NA NA 245 197 178 54 NA NA NA NA 316 254 227 73 NA NA NA 
1785704400.0 10024.1 NA 305 308 0 NA NA NA NA NA 430 477 0 NA NA NA NA NA 226 364 199 NA NA NA NA NA 281 432 243 NA NA NA NA 
1785704400.0 10024.2 NA 309 511 0 NA NA NA NA NA 405 702 0 NA NA NA NA NA 253 836 205 NA NA NA NA NA 224 844 232 NA NA NA NA 
1785704400.0 10024.3 NA 303 244 0 NA NA NA NA NA 418 446 0 NA NA NA NA NA 229 353 165 NA NA NA NA NA 271 532 194 NA NA NA NA 
1785704400.0 10024.4 NA 305 508 0 NA NA NA NA NA 418 687 0 NA NA NA NA NA 253 982 195 NA NA NA NA NA 303 1231 226 NA NA NA NA 
1785704400.0 1003.0 NA 393 0 NA NA NA NA NA NA 629 0 NA NA NA NA NA NA 1290 129 NA NA NA NA NA NA 973 155 NA NA NA NA NA 
1785704400.0 1005.0 NA 210 154 0 0 NA NA NA NA 382 253 0 0 NA NA NA NA 328 195 37 57 NA NA NA NA 451 277 52 104 NA NA NA 
1785704400.0 101.0 176 NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA 337 NA NA NA NA NA NA NA 306 NA NA NA NA NA NA NA 
1785704400.0 1010.0 NA 85 109 0 NA NA NA NA NA 158 181 0 NA NA NA NA NA 147 175 56 NA NA NA NA NA 197 207 68 NA NA NA NA 
1785704400.0 102.0 167 NA NA NA NA NA NA NA 288 NA NA NA NA NA NA NA 327 NA NA NA NA NA NA NA 303 NA NA NA NA NA NA NA 
1785704400.0 1020.0 NA 90 81 0 90 NA NA NA NA 176 161 0 169 NA NA NA NA 174 142 26 165 NA NA NA NA 244 183 44 254 NA NA NA 
1785704400.0 10224.15 NA 475 751 0 211 NA NA NA NA 648 1076 0 313 NA NA NA NA 1186 2265 310 500 NA NA NA NA 737 1638 333 483 NA NA NA 
1785704400.0 103.0 119 0 0 NA NA NA NA NA 174 0 0 NA NA NA NA NA 295 76 630 NA NA NA NA NA 284 90 756 NA NA NA NA NA 
1785704400.0 1030.0 NA 283 99 0 0 NA NA NA NA 434 167 0 0 NA NA NA NA 2486 165 25 24 NA NA NA NA 941 176 36 34 NA NA NA 
1785704400.0 1040.1 NA 127 85 0 NA NA NA NA NA 203 149 0 NA NA NA NA NA 289 144 46 NA NA NA NA NA 378 171 62 NA NA NA NA 
1785704400.0 1041.0 NA 124 93 0 NA NA NA NA NA 207 159 0 NA NA NA NA NA 210 151 29 NA NA NA NA NA 321 185 44 NA NA NA NA 
1785704400.0 1042.0 NA 125 90 0 NA NA NA NA NA 209 155 0 NA NA NA NA NA 365 154 30 NA NA NA NA NA 716 173 46 NA NA NA NA 
1785704400.0 10424.0 NA 261 509 0 NA NA NA NA NA 363 692 0 NA NA NA NA NA 226 927 212 NA NA NA NA NA 279 1013 248 NA NA NA NA 
1785704400.0 1046.0 NA 99 85 0 NA NA NA NA NA 176 160 0 NA NA NA NA NA 200 146 22 NA NA NA NA NA 232 168 31 NA NA NA NA 
1785704400.0 1047.0 NA 99 110 0 NA NA NA NA NA 179 176 0 NA NA NA NA NA 203 169 29 NA NA NA NA NA 224 187 43 NA NA NA NA 
1785704400.0 1048.0 NA 98 101 0 NA NA NA NA NA 180 170 0 NA NA NA NA NA 188 166 24 NA NA NA NA NA 218 178 36 NA NA NA NA 
1785704400.0 1049.0 NA 112 0 NA NA NA NA NA NA 190 0 NA NA NA NA NA NA 533 57 NA NA NA NA NA NA 685 76 NA NA NA NA NA 
1785704400.0 105.0 138 176 100 NA NA NA NA NA 236 262 160 NA NA NA NA NA 794 173 153 NA NA NA NA NA 601 182 179 NA NA NA NA NA 
1785704400.0 1052.0 NA 183 153 0 NA NA NA NA NA 374 256 0 NA NA NA NA NA 331 187 27 NA NA NA NA NA 486 239 44 NA NA NA NA 
1785704400.0 1052.1 NA 146 0 NA NA NA NA NA NA 253 0 NA NA NA NA NA NA 175 27 NA NA NA NA NA NA 225 38 NA NA NA NA NA 
1785704400.0 106.0 111 0 0 NA NA NA NA NA 175 0 0 NA NA NA NA NA 270 64 592 NA NA NA NA NA 447 86 720 NA NA NA NA NA 
1785704400.0 107.0 150 189 388 NA NA NA NA NA 239 277 530 NA NA NA NA NA 1082 191 768 NA NA NA NA NA 515 175 879 NA NA NA NA NA 
1785704400.0 108.0 142 188 397 NA NA NA NA NA 243 275 538 NA NA NA NA NA 1054 199 812 NA NA NA NA NA 504 205 872 NA NA NA NA NA 
1785704400.0 10824.1 NA 301 307 0 NA NA NA NA NA 404 465 0 NA NA NA NA NA 233 362 195 NA NA NA NA NA 240 452 230 NA NA NA NA 
1785704400.0 109.0 159 191 389 NA NA NA NA NA 244 277 554 NA NA NA NA NA 1156 196 807 NA NA NA NA NA 538 179 892 NA NA NA NA NA 
1785704400.0 110.0 123 176 374 NA NA NA NA NA 178 261 518 NA NA NA NA NA 281 173 713 NA NA NA NA NA 286 214 871 NA NA NA NA NA 
1785704400.0 111.0 137 178 367 NA NA NA NA NA 206 263 516 NA NA NA NA NA 491 168 671 NA NA NA NA NA 474 190 759 NA NA NA NA NA 
1785704400.0 112.0 148 186 377 NA NA NA NA NA 243 276 513 NA NA NA NA NA 902 192 764 NA NA NA NA NA 432 200 903 NA NA NA NA NA 
1785704400.0 11224.0 NA 262 519 0 NA NA NA NA NA 368 713 0 NA NA NA NA NA 234 937 213 NA NA NA NA NA 248 1007 245 NA NA NA NA 
1785704400.0 11224.6 NA 263 507 0 NA NA NA NA NA 370 693 0 NA NA NA NA NA 230 1027 212 NA NA NA NA NA 271 1238 253 NA NA NA NA 
1785704400.0 113.0 146 179 379 NA NA NA NA NA 239 274 540 NA NA NA NA NA 831 186 738 NA NA NA NA NA 434 211 904 NA NA NA NA NA 
1785704400.0 114.0 141 184 381 NA NA NA NA NA 246 270 506 NA NA NA NA NA 844 202 711 NA NA NA NA NA 562 183 672 NA NA NA NA NA 
1785704400.0 115.0 160 187 379 NA NA NA NA NA 246 266 505 NA NA NA NA NA 859 195 727 NA NA NA NA NA 409 190 788 NA NA NA NA NA 
1785704400.0 116.0 162 187 381 NA NA NA NA NA 234 267 543 NA NA NA NA NA 863 188 765 NA NA NA NA NA 432 169 907 NA NA NA NA NA 
1785704400.0 11634.1 NA 308 309 0 NA NA NA NA NA 428 487 0 NA NA NA NA NA 239 353 193 NA NA NA NA NA 181 470 239 NA NA NA NA 
1785704400.0 11634.5 NA 310 177 0 NA NA NA NA NA 437 309 0 NA NA NA NA NA 237 199 83 NA NA NA NA NA 204 273 105 NA NA NA NA 
1785704400.0 11634.601 NA 310 108 555 0 NA NA NA NA 427 178 768 0 NA NA NA NA 259 69 1036 211 NA NA NA NA 233 119 1368 241 NA NA NA 
1785704400.0 11634.7 NA 317 510 0 NA NA NA NA NA 429 808 0 NA NA NA NA NA 270 1106 218 NA NA NA NA NA 243 1291 247 NA NA NA NA 
1785704400.0 117.0 159 188 399 NA NA NA NA NA 244 276 522 NA NA NA NA NA 1047 215 769 NA NA NA NA NA 492 184 739 NA NA NA NA NA 
1785704400.0 11723.17 NA 318 572 0 NA NA NA NA NA 438 798 0 NA NA NA NA NA 292 1242 209 NA NA NA NA NA 273 1162 236 NA NA NA NA 
1785704400.0 118.0 160 188 385 NA NA NA NA NA 239 269 528 NA NA NA NA NA 1088 185 811 NA NA NA NA NA 530 172 931 NA NA NA NA NA 
1785704400.0 11834.24 NA 243 518 0 NA NA NA NA NA 348 727 0 NA NA NA NA NA 154 825 193 NA NA NA NA NA 232 946 218 NA NA NA NA 
1785704400.0 119.0 158 184 384 NA NA NA NA NA 233 268 509 NA NA NA NA NA 602 181 732 NA NA NA NA NA 373 161 859 NA NA NA NA NA 
1785704400.0 12.0 NA 220 417 0 NA NA NA NA NA 305 577 0 NA NA NA NA NA 705 1530 212 NA NA NA NA NA 294 925 246 NA NA NA NA 
1785704400.0 120.0 112 177 361 NA NA NA NA NA 187 267 507 NA NA NA NA NA 259 172 665 NA NA NA NA NA 347 193 858 NA NA NA NA NA 
1785704400.0 12034.0 NA 277 542 0 NA NA NA NA NA 373 742 0 NA NA NA NA NA 225 922 214 NA NA NA NA NA 173 1088 247 NA NA NA NA 
1785704400.0 121.0 155 182 396 NA NA NA NA NA 241 275 531 NA NA NA NA NA 955 233 807 NA NA NA NA NA 442 228 924 NA NA NA NA NA 
1785704400.0 122.0 123 172 357 NA NA NA NA NA 191 251 498 NA NA NA NA NA 316 135 710 NA NA NA NA NA 324 196 873 NA NA NA NA NA 
1785704400.0 123.1 360 NA NA NA NA NA NA NA 523 NA NA NA NA NA NA NA 422 NA NA NA NA NA NA NA 361 NA NA NA NA NA NA NA 
1785704400.0 123.2 367 NA NA NA NA NA NA NA 523 NA NA NA NA NA NA NA 466 NA NA NA NA NA NA NA 454 NA NA NA NA NA NA NA 
1785704400.0 123.3 313 NA NA NA NA NA NA NA 424 NA NA NA NA NA NA NA 349 NA NA NA NA NA NA NA 398 NA NA NA NA NA NA NA 
1785704400.0 124.1 348 NA NA NA NA NA NA NA 492 NA NA NA NA NA NA NA 349 NA NA NA NA NA NA NA 402 NA NA NA NA NA NA NA 
