Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1786050000.0 141.044406 NA 199 323 0 NA NA 300 3743 0 NA NA 250 435 52 NA NA 135 216 67 NA 
1786050000.0 141.044407 NA 197 332 0 NA NA 295 3754 0 NA NA 254 522 65 NA NA 143 242 81 NA 
1786050000.0 141.044408 NA 200 276 NA NA NA 291 3681 NA NA NA 261 101 NA NA NA 139 100 NA NA 
1786050000.0 141.044412 NA 200 301 0 NA NA 300 3705 0 NA NA 249 182 58 NA NA 132 161 76 NA 
1786050000.0 141.044413 NA 199 303 0 NA NA 304 3705 0 NA NA 252 222 65 NA NA 135 181 81 NA 
1786050000.0 141.044414 NA 199 142 NA NA NA 297 3508 NA NA NA 255 65 NA NA NA 142 81 NA NA 
1786050000.0 141.044422 NA 197 309 0 NA NA 286 3687 0 NA NA 255 207 56 NA NA 139 164 77 NA 
1786050000.0 141.044423 NA 200 309 0 NA NA 295 3691 0 NA NA 250 207 65 NA NA 142 163 85 NA 
1786050000.0 141.044424 NA 198 143 NA NA NA 299 3507 NA NA NA 260 63 NA NA NA 144 80 NA NA 
1786050000.0 141.044483 NA 392 0 NA NA NA 3846 0 NA NA NA 500 87 NA NA NA 248 108 NA NA 
1786050000.0 160.03502 122 222 103 586 173 171 333 154 4073 262 749 133 76 505 152 510 137 111 477 158 
1786050000.0 18434.402 107 739 406 0 NA 193 4273 3897 0 NA 1072 599 274 85 NA 565 455 270 104 NA 
1786050000.0 18434.403 140 716 413 0 NA 194 4283 3914 0 NA 1069 595 277 93 NA 580 443 273 110 NA 
1786050000.0 18434.404 139 720 271 NA NA 196 4266 3667 NA NA 1063 584 112 NA NA 565 442 128 NA NA 
1786050000.0 18434.406 107 716 405 0 NA 198 4274 3900 0 NA 1078 589 273 89 NA 572 450 278 104 NA 
1786050000.0 18434.407 141 715 412 0 NA 199 4297 3898 0 NA 1086 593 279 92 NA 581 467 269 110 NA 
1786050000.0 18434.408 140 714 269 NA NA 192 4262 3666 NA NA 1059 592 112 NA NA 558 455 131 NA NA 
1786050000.0 18434.412 139 740 386 0 NA 195 4278 3863 0 NA 1065 598 261 60 NA 563 457 260 77 NA 
1786050000.0 18434.413 140 717 386 0 NA 196 4286 3863 0 NA 1068 596 261 60 NA 569 446 261 76 NA 
1786050000.0 18434.422 139 722 384 0 NA 203 4257 3842 0 NA 1069 591 254 54 NA 556 451 249 68 NA 
