Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1786093200.0 141.044406 NA 222 215 0 NA NA 318 834 0 NA NA 284 682 75 NA NA 175 304 92 NA 
1786093200.0 141.044407 NA 222 227 0 NA NA 307 865 0 NA NA 290 804 86 NA NA 173 348 108 NA 
1786093200.0 141.044408 NA 222 166 NA NA NA 312 775 NA NA NA 288 112 NA NA NA 171 124 NA NA 
1786093200.0 141.044412 NA 225 191 0 NA NA 313 786 0 NA NA 298 214 80 NA NA 171 194 99 NA 
1786093200.0 141.044413 NA 225 192 0 NA NA 318 781 0 NA NA 274 266 91 NA NA 174 205 111 NA 
1786093200.0 141.044414 NA 225 131 NA NA NA 308 679 NA NA NA 296 85 NA NA NA 179 102 NA NA 
1786093200.0 141.044422 NA 222 191 0 NA NA 305 767 0 NA NA 293 246 82 NA NA 174 200 101 NA 
1786093200.0 141.044423 NA 223 193 0 NA NA 322 770 0 NA NA 289 249 90 NA NA 177 200 120 NA 
1786093200.0 141.044424 NA 224 130 NA NA NA 308 678 NA NA NA 286 86 NA NA NA 171 103 NA NA 
1786093200.0 141.044483 NA 279 0 NA NA NA 955 0 NA NA NA 567 112 NA NA NA 315 131 NA NA 
1786093200.0 160.03502 129 245 112 511 198 166 343 151 1161 279 886 135 83 570 187 596 136 110 572 198 
1786093200.0 18434.402 156 660 318 0 NA 213 1444 987 0 NA 1249 746 317 117 NA 640 551 311 140 NA 
1786093200.0 18434.403 156 641 326 0 NA 201 1434 998 0 NA 1254 741 340 126 NA 655 549 324 143 NA 
1786093200.0 18434.404 154 643 180 NA NA 202 1403 783 NA NA 1234 712 144 NA NA 653 514 160 NA NA 
1786093200.0 18434.406 159 666 317 0 NA 209 1436 984 0 NA 1215 702 335 118 NA 636 520 329 135 NA 
1786093200.0 18434.407 154 666 328 0 NA 208 1423 1016 0 NA 1218 730 324 124 NA 628 542 314 140 NA 
1786093200.0 18434.408 155 624 182 NA NA 201 1390 808 NA NA 1213 729 133 NA NA 635 532 154 NA NA 
1786093200.0 18434.412 159 668 294 0 NA 208 1409 965 0 NA 1285 726 327 88 NA 746 553 328 105 NA 
1786093200.0 18434.413 155 668 296 0 NA 213 1423 963 0 NA 1259 711 321 86 NA 656 521 313 103 NA 
1786093200.0 18434.422 154 671 286 0 NA 200 1433 924 0 NA 1253 718 315 75 NA 651 532 303 91 NA 
1786093200.0 18434.423 155 665 291 0 NA 198 1401 931 0 NA 1243 713 319 80 NA 649 522 306 96 NA 
1786093200.0 18434.424 155 645 180 NA NA 208 1381 755 NA NA 1244 730 168 NA NA 643 535 174 NA NA 
1786093200.0 18450.402 152 655 311 0 NA 196 1417 972 0 NA 770 685 316 106 NA 535 535 309 125 NA 
1786093200.0 18450.403 151 652 322 0 NA 203 1427 995 0 NA 780 657 308 112 NA 532 529 314 131 NA 
1786093200.0 18450.404 152 631 180 NA NA 202 1387 802 NA NA 785 650 136 NA NA 542 502 155 NA NA 
1786093200.0 18450.406 151 651 312 0 NA 201 1406 1002 0 NA 764 662 321 113 NA 529 523 314 130 NA 
1786093200.0 18450.407 150 652 319 0 NA 204 1416 976 0 NA 766 670 323 115 NA 522 541 315 136 NA 
1786093200.0 18450.408 150 627 180 NA NA 203 1382 788 NA NA 774 659 130 NA NA 530 499 149 NA NA 
