Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1786093200.0 141.044406 NA 223 213 0 NA NA 321 806 0 NA NA 293 775 75 NA NA 175 340 92 NA 
1786093200.0 141.044407 NA 224 226 0 NA NA 314 830 0 NA NA 292 825 91 NA NA 171 350 110 NA 
1786093200.0 141.044408 NA 222 167 NA NA NA 311 758 NA NA NA 276 112 NA NA NA 175 139 NA NA 
1786093200.0 141.044412 NA 225 190 0 NA NA 320 762 0 NA NA 301 227 77 NA NA 190 209 98 NA 
1786093200.0 141.044413 NA 222 191 0 NA NA 309 760 0 NA NA 286 266 92 NA NA 181 232 112 NA 
1786093200.0 141.044414 NA 222 138 NA NA NA 318 676 NA NA NA 298 88 NA NA NA 176 108 NA NA 
1786093200.0 141.044422 NA 222 193 0 NA NA 309 740 0 NA NA 280 260 77 NA NA 173 206 101 NA 
1786093200.0 141.044423 NA 222 192 0 NA NA 311 743 0 NA NA 296 254 88 NA NA 177 200 111 NA 
1786093200.0 141.044424 NA 227 135 NA NA NA 319 672 NA NA NA 275 86 NA NA NA 166 106 NA NA 
1786093200.0 141.044483 NA 278 0 NA NA NA 923 0 NA NA NA 554 116 NA NA NA 303 143 NA NA 
1786093200.0 160.03502 129 243 113 512 197 178 336 154 1128 283 867 136 78 600 196 575 140 110 618 204 
1786093200.0 18434.402 155 667 319 0 NA 211 1408 956 0 NA 1220 721 343 111 NA 654 524 330 128 NA 
1786093200.0 18434.403 155 674 329 0 NA 206 1348 988 0 NA 1216 711 328 126 NA 644 528 322 147 NA 
1786093200.0 18434.404 155 644 181 NA NA 202 1372 778 NA NA 1258 709 139 NA NA 656 528 166 NA NA 
1786093200.0 18434.406 155 671 320 0 NA 202 1383 967 0 NA 1265 733 330 120 NA 650 539 318 143 NA 
1786093200.0 18434.407 156 669 327 0 NA 211 1387 976 0 NA 1229 726 328 123 NA 653 589 314 142 NA 
1786093200.0 18434.408 155 644 181 NA NA 209 1379 762 NA NA 1256 712 140 NA NA 646 531 164 NA NA 
1786093200.0 18434.412 154 635 294 0 NA 206 1411 946 0 NA 1274 734 316 81 NA 754 618 310 99 NA 
