Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1760432400.0 101.0 165 NA NA NA NA 312 NA NA NA NA 319 NA NA NA NA 354 NA NA NA NA 
1760432400.0 102.0 165 NA NA NA NA 289 NA NA NA NA 295 NA NA NA NA 271 NA NA NA NA 
1760432400.0 122.0 130 164 366 NA NA 193 253 547 NA NA 272 119 724 NA NA 327 188 981 NA NA 
1760432400.0 123.1 375 NA NA NA NA 563 NA NA NA NA 404 NA NA NA NA 408 NA NA NA NA 
1760432400.0 123.2 369 NA NA NA NA 534 NA NA NA NA 446 NA NA NA NA 441 NA NA NA NA 
1760432400.0 123.3 315 NA NA NA NA 438 NA NA NA NA 347 NA NA NA NA 421 NA NA NA NA 
1760432400.0 124.1 356 NA NA NA NA 506 NA NA NA NA 350 NA NA NA NA 459 NA NA NA NA 
1760432400.0 124.2 364 NA NA NA NA 545 NA NA NA NA 378 NA NA NA NA 392 NA NA NA NA 
1760432400.0 124.4 355 NA NA NA NA 521 NA NA NA NA 360 NA NA NA NA 435 NA NA NA NA 
1760432400.0 124.5 353 NA NA NA NA 521 NA NA NA NA 355 NA NA NA NA 418 NA NA NA NA 
1760432400.0 124.6 318 NA NA NA NA 450 NA NA NA NA 350 NA NA NA NA 409 NA NA NA NA 
1760432400.0 138.4 NA 415 0 NA NA NA 614 0 NA NA NA 693 151 NA NA NA 682 167 NA NA 
1760432400.0 144.6 NA 393 NA NA NA NA 567 NA NA NA NA 1264 NA NA NA NA 1135 NA NA NA 
1760432400.0 2500.1302 NA 152 NA NA NA NA 253 NA NA NA NA 7031 NA NA NA NA 6860 NA NA NA 
1760432400.0 2500.1304 NA 144 NA NA NA NA 253 NA NA NA NA 9383 NA NA NA NA 7049 NA NA NA 
1760432400.0 2500.2204 NA 289 NA NA NA NA 427 NA NA NA NA 11099 NA NA NA NA 4545 NA NA NA 
1760432400.0 2500.2208 NA 298 NA NA NA NA 479 NA NA NA NA 25063 NA NA NA NA 11466 NA NA NA 
1760432400.0 2500.2304 NA 287 NA NA NA NA 447 NA NA NA NA 6361 NA NA NA NA 1905 NA NA NA 
1760432400.0 2500.2308 NA 313 NA NA NA NA 526 NA NA NA NA 18902 NA NA NA NA 5773 NA NA NA 
1760432400.0 2500.2309 NA 313 NA NA NA NA 519 NA NA NA NA 19486 NA NA NA NA 6561 NA NA NA 
1760432400.0 2500.2401 NA 221 NA NA NA NA 358 NA NA NA NA 241 NA NA NA NA 227 NA NA NA 
1760432400.0 2500.3204 NA 307 NA NA NA NA 447 NA NA NA NA 6852 NA NA NA NA 2128 NA NA NA 
1760432400.0 2500.3205 NA 338 NA NA NA NA 487 NA NA NA NA 7373 NA NA NA NA 2328 NA NA NA 
1760432400.0 2500.3208 NA 307 NA NA NA NA 460 NA NA NA NA 11811 NA NA NA NA 4987 NA NA NA 
1760432400.0 2500.3209 NA 291 NA NA NA NA 452 NA NA NA NA 5146 NA NA NA NA 1687 NA NA NA 
1760432400.0 2500.3301 NA 219 NA NA NA NA 335 NA NA NA NA 472 NA NA NA NA 336 NA NA NA 
1760432400.0 2500.3304 NA 280 NA NA NA NA 380 NA NA NA NA 5572 NA NA NA NA 1634 NA NA NA 
1760432400.0 2500.3305 NA 289 NA NA NA NA 423 NA NA NA NA 6675 NA NA NA NA 2200 NA NA NA 
1760432400.0 2500.3306 NA 220 NA NA NA NA 349 NA NA NA NA 523 NA NA NA NA 490 NA NA NA 
1760432400.0 2500.9002 NA 140 NA NA NA NA 250 NA NA NA NA 476 NA NA NA NA 422 NA NA NA 
1760432400.0 250399.0 288 NA NA NA NA 419 NA NA NA NA 321 NA NA NA NA 401 NA NA NA NA 
1760432400.0 250400.0 445 0 224 NA NA 654 0 344 NA NA 445 105 278 NA NA 538 170 293 NA NA 
1760432400.0 250402.17 521 0 233 NA NA 734 0 364 NA NA 557 126 301 NA NA 767 195 327 NA NA 
1760432400.0 250405.18 516 0 229 NA NA 744 0 337 NA NA 521 119 279 NA NA 708 184 349 NA NA 
1760432400.0 250406.17 504 0 229 NA NA 709 0 345 NA NA 462 119 271 NA NA 709 193 388 NA NA 
1760432400.0 250406.18 510 0 227 NA NA 713 0 339 NA NA 462 115 276 NA NA 574 160 341 NA NA 
1760432400.0 250407.0 400 0 222 NA NA 557 0 330 NA NA 378 94 268 NA NA 526 170 397 NA NA 
1760432400.0 25234.0 172 618 697 0 257 232 842 958 0 375 2129 910 1233 269 380 1103 662 1313 326 441 
1760432400.0 25406.0 561 0 239 NA NA 770 0 369 NA NA 605 109 267 NA NA 637 152 356 NA NA 
1760432400.0 29634.911 177 594 695 0 259 242 853 966 0 379 4002 2409 2707 705 390 3063 2210 2022 932 495 
1760432400.0 34834.0 145 629 0 NA NA 252 869 0 NA NA 1793 814 0 NA NA 756 586 0 NA NA 
1760432400.0 500199.0 261 NA NA NA NA 376 NA NA NA NA 612 NA NA NA NA 516 NA NA NA NA 
