Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1787000400.0 1003.0 NA 393 0 NA NA NA NA NA NA 645 0 NA NA NA NA NA NA 1466 108 NA NA NA NA NA NA 1117 143 NA NA NA NA NA 
1787000400.0 1005.0 NA 212 159 0 0 NA NA NA NA 383 256 0 0 NA NA NA NA 352 181 37 50 NA NA NA NA 547 223 75 92 NA NA NA 
1787000400.0 101.0 176 NA NA NA NA NA NA NA 318 NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA 254 NA NA NA NA NA NA NA 
1787000400.0 102.0 170 NA NA NA NA NA NA NA 297 NA NA NA NA NA NA NA 296 NA NA NA NA NA NA NA 290 NA NA NA NA NA NA NA 
1787000400.0 103.0 113 0 0 NA NA NA NA NA 177 0 0 NA NA NA NA NA 276 74 628 NA NA NA NA NA 260 110 744 NA NA NA NA NA 
1787000400.0 1046.0 NA 105 94 0 NA NA NA NA NA 186 163 0 NA NA NA NA NA 187 139 24 NA NA NA NA NA 257 172 37 NA NA NA NA 
1787000400.0 1047.0 NA 102 108 0 NA NA NA NA NA 185 183 0 NA NA NA NA NA 199 160 29 NA NA NA NA NA 246 157 39 NA NA NA NA 
1787000400.0 1048.0 NA 102 100 0 NA NA NA NA NA 186 180 0 NA NA NA NA NA 189 159 23 NA NA NA NA NA 225 195 34 NA NA NA NA 
1787000400.0 105.0 148 180 101 NA NA NA NA NA 235 272 168 NA NA NA NA NA 666 155 146 NA NA NA NA NA 394 159 175 NA NA NA NA NA 
1787000400.0 1052.0 NA 212 159 0 NA NA NA NA NA 381 261 0 NA NA NA NA NA 436 183 26 NA NA NA NA NA 572 246 46 NA NA NA NA 
1787000400.0 106.0 112 0 0 NA NA NA NA NA 176 0 0 NA NA NA NA NA 262 62 628 NA NA NA NA NA 321 76 711 NA NA NA NA NA 
1787000400.0 10805.31 120 290 493 0 148 181 NA NA 179 395 684 0 232 287 NA NA 383 237 901 223 266 233 NA NA 542 341 1985 277 316 280 NA NA 
1787000400.0 123.1 355 NA NA NA NA NA NA NA 523 NA NA NA NA NA NA NA 395 NA NA NA NA NA NA NA 421 NA NA NA NA NA NA NA 
1787000400.0 123.2 353 NA NA NA NA NA NA NA 517 NA NA NA NA NA NA NA 441 NA NA NA NA NA NA NA 418 NA NA NA NA NA NA NA 
1787000400.0 123.3 307 NA NA NA NA NA NA NA 429 NA NA NA NA NA NA NA 322 NA NA NA NA NA NA NA 366 NA NA NA NA NA NA NA 
1787000400.0 124.1 347 NA NA NA NA NA NA NA 504 NA NA NA NA NA NA NA 330 NA NA NA NA NA NA NA 342 NA NA NA NA NA NA NA 
1787000400.0 124.2 348 NA NA NA NA NA NA NA 533 NA NA NA NA NA NA NA 355 NA NA NA NA NA NA NA 356 NA NA NA NA NA NA NA 
1787000400.0 124.4 347 NA NA NA NA NA NA NA 513 NA NA NA NA NA NA NA 344 NA NA NA NA NA NA NA 479 NA NA NA NA NA NA NA 
1787000400.0 124.5 346 NA NA NA NA NA NA NA 512 NA NA NA NA NA NA NA 342 NA NA NA NA NA NA NA 418 NA NA NA NA NA NA NA 
1787000400.0 124.6 309 NA NA NA NA NA NA NA 435 NA NA NA NA NA NA NA 336 NA NA NA NA NA NA NA 338 NA NA NA NA NA NA NA 
1787000400.0 13234.0 84 558 0 NA NA NA NA NA 116 781 0 NA NA NA NA NA 66 907 112 NA NA NA NA NA 58 844 126 NA NA NA NA NA 
1787000400.0 135.1 390 0 216 164 NA NA NA NA 541 0 313 270 NA NA NA NA 464 113 274 181 NA NA NA NA 378 173 287 235 NA NA NA NA 
1787000400.0 135.11 397 0 217 165 NA NA NA NA 550 0 324 268 NA NA NA NA 568 129 318 183 NA NA NA NA 490 212 275 240 NA NA NA NA 
1787000400.0 135.13 389 0 NA NA NA NA NA NA 547 0 NA NA NA NA NA NA 419 133 NA NA NA NA NA NA 344 187 NA NA NA NA NA NA 
1787000400.0 135.2 343 0 204 163 NA NA NA NA 482 0 301 266 NA NA NA NA 407 112 245 174 NA NA NA NA 483 163 345 201 NA NA NA NA 
1787000400.0 135.5 401 0 211 166 NA NA NA NA 531 0 316 274 NA NA NA NA 447 112 240 175 NA NA NA NA 387 149 245 209 NA NA NA NA 
1787000400.0 135.6 410 0 212 163 NA NA NA NA 545 0 309 267 NA NA NA NA 473 115 272 181 NA NA NA NA 365 153 302 245 NA NA NA NA 
1787000400.0 135.7 384 0 207 163 NA NA NA NA 541 0 305 270 NA NA NA NA 471 111 243 175 NA NA NA NA 474 151 300 218 NA NA NA NA 
