Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1711317600.0 1.0 104 147 249 NA NA NA 3600 3560 3737 NA NA NA 4762 1208 3009 NA NA NA 2811 1614 5798 NA NA NA
1711317600.0 1000.0 NA 320 208 0 87 NA NA 3863 3677 0 3492 NA NA 8141 1428 1005 834 NA NA 6589 1365 1448 1259 NA
1711317600.0 1001.3 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1711317600.0 1002.0 NA 320 107 NA NA NA NA 3879 3471 NA NA NA NA 7575 601 NA NA NA NA 6676 509 NA NA NA
1711317600.0 10023.0 NA 255 436 0 115 135 NA 3747 3984 0 3529 3568 NA 5850 5088 1473 534 1290 NA 3988 7644 2369 1399 2544
1711317600.0 10042.0 NA 247 447 0 137 150 NA 3747 4012 0 3615 3567 NA 7995 5400 1632 679 1259 NA 3797 10471 1966 1954 2604
1711317600.0 1005.0 NA 166 111 0 0 NA NA 3702 3571 0 0 NA NA 1359 810 323 333 NA NA 1604 903 423 425 NA
1711317600.0 101.0 130 NA NA NA NA NA 3624 NA NA NA NA NA 3003 NA NA NA NA NA 2916 NA NA NA NA NA
1711317600.0 1010.0 NA 57 62 0 NA NA NA 3482 3483 0 NA NA NA 432 698 479 NA NA NA 539 895 558 NA NA
1711317600.0 102.0 120 NA NA NA NA NA 3611 NA NA NA NA NA 2561 NA NA NA NA NA 2731 NA NA NA NA NA
1711317600.0 1020.0 NA 53 37 0 44 NA NA 3498 3461 0 3494 NA NA 621 418 152 559 NA NA 734 703 193 658 NA
1711317600.0 10224.0 NA 450 684 0 144 NA NA 4018 4423 0 3580 NA NA 7744 9982 1027 1335 NA NA 3115 6363 1168 1771 NA
1711317600.0 10224.15 NA 414 684 0 173 NA NA 3996 4433 0 3592 NA NA 10594 9993 1716 2275 NA NA 4362 13110 2039 2917 NA
1711317600.0 10225.0 NA 419 678 0 155 NA NA 4002 4397 0 3577 NA NA 8820 8017 1762 1271 NA NA 3470 6586 2604 1475 NA
