Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1711490400.0 1000.0 NA 328 197 0 96 NA NA NA 3866 3670 0 3479 NA NA NA 5783 1193 566 374 NA NA NA 3579 1082 598 360 NA NA
1711490400.0 10002.0 NA 241 441 0 105 161 NA NA 3729 4002 0 3524 3576 NA NA 3215 2606 666 470 986 NA NA 1059 2364 689 488 970 NA
1711490400.0 10005.0 NA 250 442 0 110 148 NA NA 3736 4001 0 3526 3569 NA NA 3516 3403 690 510 1010 NA NA 1179 3040 713 507 1154 NA
1711490400.0 10007.0 NA 258 438 0 136 157 NA NA 3740 3997 0 3601 3576 NA NA 3491 2477 692 459 890 NA NA 1160 2235 727 481 929 NA
1711490400.0 1001.2 NA 487 181 0 0 0 0 NA 4126 3670 0 0 0 0 NA 26272 1304 181 183 168 215 NA 8879 888 198 217 209 233
1711490400.0 1002.0 NA 325 94 NA NA NA NA NA 3879 3478 NA NA NA NA NA 4488 327 NA NA NA NA NA 2952 257 NA NA NA NA
1711490400.0 10024.2 NA 266 445 0 NA NA NA NA 3749 4026 0 NA NA NA NA 3771 3518 869 NA NA NA NA 1245 2880 901 NA NA NA
1711490400.0 10024.4 NA 257 448 0 NA NA NA NA 3745 4007 0 NA NA NA NA 3796 2998 1076 NA NA NA NA 1219 2537 1106 NA NA NA
1711490400.0 10042.0 NA 261 461 0 156 138 NA NA 3750 4004 0 3609 3573 NA NA 3865 3089 768 509 907 NA NA 1264 2687 794 538 951 NA
1711490400.0 1005.0 NA 177 114 0 0 NA NA NA 3703 3566 0 0 NA NA NA 1573 921 334 352 NA NA NA 1494 1343 390 446 NA NA
1711490400.0 10059.0 NA 266 454 0 109 151 NA NA 3748 4013 0 3531 3575 NA NA 4034 4450 895 521 780 NA NA 1439 2962 926 528 709 NA
1711490400.0 101.0 140 NA NA NA NA NA NA 3629 NA NA NA NA NA NA 2974 NA NA NA NA NA NA 2219 NA NA NA NA NA NA
1711490400.0 1010.0 NA 54 61 0 NA NA NA NA 3488 3483 0 NA NA NA NA 460 619 597 NA NA NA NA 526 651 665 NA NA NA
1711490400.0 102.0 126 NA NA NA NA NA NA 3611 NA NA NA NA NA NA 2693 NA NA NA NA NA NA 2096 NA NA NA NA NA NA
1711490400.0 1020.0 NA 54 54 0 47 NA NA NA 3497 3464 0 3494 NA NA NA 643 439 201 630 NA NA NA 771 508 252 718 NA NA
1711490400.0 10224.0 NA 440 668 0 143 NA NA NA 4002 4379 0 3582 NA NA NA 6044 5910 940 786 NA NA NA 2064 3372 985 815 NA NA
1711490400.0 10224.15 NA 431 678 0 165 NA NA NA 4018 4391 0 3601 NA NA NA 10741 9994 896 1050 NA NA NA 3545 5642 917 944 NA NA
1711490400.0 10225.0 NA 427 658 0 141 NA NA NA 4002 4329 0 3585 NA NA NA 5321 5300 908 922 NA NA NA 1814 3296 938 891 NA NA
1711490400.0 103.0 86 0 0 NA NA NA NA 3526 0 0 NA NA NA NA 939 161 2515 NA NA NA NA 786 165 2466 NA NA NA NA
1711490400.0 1040.1 NA 88 61 0 NA NA NA NA 3534 3451 0 NA NA NA NA 1123 379 362 NA NA NA NA 1315 433 402 NA NA NA
1711490400.0 1041.0 NA 87 62 0 NA NA NA NA 3538 3464 0 NA NA NA NA 895 522 275 NA NA NA NA 1115 599 319 NA NA NA
1711490400.0 1042.0 NA 82 71 0 NA NA NA NA 3538 3457 0 NA NA NA NA 1222 463 215 NA NA NA NA 1326 484 250 NA NA NA
1711490400.0 10424.0 NA 211 432 0 NA NA NA NA 3701 4004 0 NA NA NA NA 977 5103 917 NA NA NA NA 664 4413 961 NA NA NA
1711490400.0 1043.0 NA 65 74 0 NA NA NA NA 3506 3467 0 NA NA NA NA 948 476 235 NA NA NA NA 942 529 276 NA NA NA
1711490400.0 1044.0 NA 68 61 0 NA NA NA NA 3504 3479 0 NA NA NA NA 939 561 243 NA NA NA NA 904 575 285 NA NA NA
1711490400.0 1045.0 NA 67 89 0 NA NA NA NA 3508 3471 0 NA NA NA NA 866 508 221 NA NA NA NA 822 485 261 NA NA NA
1711490400.0 105.0 96 143 47 NA NA NA NA 3583 3565 3447 NA NA NA NA 4711 1098 428 NA NA NA NA 2812 791 447 NA NA NA NA
1711490400.0 1052.0 NA 177 115 0 NA NA NA NA 3683 3562 0 NA NA NA NA 1783 755 216 NA NA NA NA 1704 810 264 NA NA NA
1711490400.0 1052.1 NA 101 0 NA NA NA NA NA 3579 0 NA NA NA NA NA 667 236 NA NA NA NA NA 725 284 NA NA NA NA
1711490400.0 106.0 87 0 0 NA NA NA NA 3522 0 0 NA NA NA NA 924 184 2472 NA NA NA NA 769 186 2377 NA NA NA NA
1711490400.0 1060.1 NA 129 NA NA NA NA NA NA 3613 NA NA NA NA NA NA 1974 NA NA NA NA NA NA 1436 NA NA NA NA NA
1711490400.0 1060.2 NA 133 NA NA NA NA NA NA 3617 NA NA NA NA NA NA 1773 NA NA NA NA NA NA 1388 NA NA NA NA NA
