Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3 
1748898000.0 1052.1 NA 132 0 NA 269 0 NA 149 46 NA 223 100 
1748898000.0 10804.31 NA 269 0 NA 416 0 NA 1107 0 NA 478 0 
1748898000.0 10805.31 NA 269 0 NA 403 0 NA 1098 0 NA 479 0 
1748898000.0 1361.0 0 NA NA 0 NA NA 480 NA NA 443 NA NA 
1748898000.0 1361.17 0 NA NA 0 NA NA 500 NA NA 486 NA NA 
1748898000.0 1361.18 0 NA NA 0 NA NA 508 NA NA 487 NA NA 
1748898000.0 1361.181 0 NA NA 0 NA NA 477 NA NA 433 NA NA 
1748898000.0 1362.0 0 NA NA 0 NA NA 480 NA NA 447 NA NA 
1748898000.0 1362.17 0 NA NA 0 NA NA 489 NA NA 442 NA NA 
1748898000.0 1362.18 0 NA NA 0 NA NA 503 NA NA 476 NA NA 
1748898000.0 1363.17 0 NA NA 0 NA NA 479 NA NA 499 NA NA 
1748898000.0 1363.18 0 NA NA 0 NA NA 475 NA NA 464 NA NA 
1748898000.0 2500.21 NA 232 0 NA 421 0 NA 24823 117 NA 7172 148 
1748898000.0 25210.0 0 NA NA 0 NA NA 859 NA NA 435 NA NA 
1748898000.0 25211.17 0 NA NA 0 NA NA 480 NA NA 474 NA NA 
