Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1742508000.0 10001.0 NA 314 534 0 147 178 NA NA NA NA 460 793 0 222 270 NA NA NA NA 1330 1371 314 251 366 NA NA NA NA 654 1377 330 281 384 NA NA NA 
1742508000.0 10003.0 NA 315 540 0 147 179 NA NA NA NA 447 763 0 218 272 NA NA NA NA 1325 1429 318 245 360 NA NA NA NA 713 1403 330 281 380 NA NA NA 
1742508000.0 10005.0 NA 335 535 0 147 178 NA NA NA NA 451 794 0 215 264 NA NA NA NA 1317 1322 312 246 364 NA NA NA NA 628 1274 326 283 383 NA NA NA 
1742508000.0 10006.0 NA 329 530 0 146 177 NA NA NA NA 452 765 0 221 263 NA NA NA NA 1345 1368 318 246 363 NA NA NA NA 769 1348 329 283 383 NA NA NA 
1742508000.0 10007.0 NA 334 545 0 177 179 NA NA NA NA 452 768 0 304 273 NA NA NA NA 1329 1329 316 255 372 NA NA NA NA 667 1241 330 284 389 NA NA NA 
1742508000.0 1001.0 NA 395 184 0 0 0 0 0 0 NA 517 272 0 0 0 0 0 0 NA 1769 305 54 38 60 161 81 162 NA 1262 320 75 50 77 171 93 173 
1742508000.0 1001.2 NA 624 229 0 0 0 0 NA NA NA 826 365 0 0 0 0 NA NA NA 7757 618 68 68 77 87 NA NA NA 2742 395 79 97 86 99 NA NA 
1742508000.0 1001.3 NA 608 206 0 NA NA NA NA NA NA 782 326 0 NA NA NA NA NA NA 6545 317 166 NA NA NA NA NA NA 2690 302 204 NA NA NA NA NA 
1742508000.0 1001.4 NA 620 176 0 0 0 NA NA NA NA 802 290 0 0 0 NA NA NA NA 6651 264 80 78 75 NA NA NA NA 2743 291 94 93 85 NA NA NA 
1742508000.0 1002.3 NA 578 229 0 NA NA NA NA NA NA 754 352 0 NA NA NA NA NA NA 5114 506 167 NA NA NA NA NA NA 2741 403 200 NA NA NA NA NA 
1742508000.0 1002.4 NA 638 0 NA NA NA NA NA NA NA 838 0 NA NA NA NA NA NA NA 7654 300 NA NA NA NA NA NA NA 3062 314 NA NA NA NA NA NA 
1742508000.0 10024.0 NA 349 572 0 179 180 NA NA NA NA 476 767 0 306 276 NA NA NA NA 1336 1573 352 259 369 NA NA NA NA 614 1438 366 279 387 NA NA NA 
1742508000.0 10071.0 NA 324 563 0 150 181 NA NA NA NA 473 825 0 222 278 NA NA NA NA 1329 1532 358 255 371 NA NA NA NA 657 1492 372 284 386 NA NA NA 
1742508000.0 10802.0 NA 319 542 0 147 182 NA NA NA NA 435 737 0 220 276 NA NA NA NA 1269 1425 321 258 375 NA NA NA NA 589 1364 334 288 403 NA NA NA 
1742508000.0 10803.0 NA 328 538 0 147 183 NA NA NA NA 452 767 0 222 281 NA NA NA NA 1285 1409 315 254 382 NA NA NA NA 623 1309 332 291 397 NA NA NA 
1742508000.0 10804.0 NA 306 531 0 147 182 NA NA NA NA 433 741 0 216 273 NA NA NA NA 1288 1363 315 249 374 NA NA NA NA 712 1465 333 281 404 NA NA NA 
1742508000.0 10805.0 NA 328 583 0 147 180 NA NA NA NA 465 776 0 218 266 NA NA NA NA 1287 1351 314 259 374 NA NA NA NA 621 1269 326 289 393 NA NA NA 
1742508000.0 10806.0 NA 319 566 0 147 179 NA NA NA NA 449 762 0 221 270 NA NA NA NA 1283 1326 318 248 371 NA NA NA NA 621 1257 329 280 384 NA NA NA 
1742508000.0 10808.0 NA 324 548 0 175 183 NA NA NA NA 452 783 0 289 286 NA NA NA NA 1277 1366 329 257 380 NA NA NA NA 607 1275 346 286 400 NA NA NA 
1742508000.0 10809.0 NA 320 537 0 175 184 NA NA NA NA 452 785 0 298 282 NA NA NA NA 1297 1404 317 261 373 NA NA NA NA 630 1280 334 292 393 NA NA NA 
1742508000.0 10824.6 NA 340 551 0 178 184 NA NA NA NA 463 792 0 296 276 NA NA NA NA 1294 1574 354 265 390 NA NA NA NA 592 1566 366 296 406 NA NA NA 
1742508000.0 10824.8 NA 317 551 0 177 185 NA NA NA NA 444 747 0 299 278 NA NA NA NA 1309 1564 349 256 384 NA NA NA NA 676 1513 363 287 395 NA NA NA 
1742508000.0 10825.0 NA 310 540 0 149 182 NA NA NA NA 463 768 0 228 268 NA NA NA NA 1297 1415 344 251 377 NA NA NA NA 780 1358 360 286 398 NA NA NA 
1742508000.0 10826.0 NA 337 558 0 151 183 NA NA NA NA 467 799 0 232 275 NA NA NA NA 1299 1695 361 259 378 NA NA NA NA 609 1670 374 286 390 NA NA NA 
1742508000.0 10842.0 NA 325 541 0 179 184 NA NA NA NA 460 804 0 306 272 NA NA NA NA 1287 1469 344 261 377 NA NA NA NA 596 1545 356 292 387 NA NA NA 
1742508000.0 11603.0 NA 316 579 0 149 NA NA NA NA NA 463 847 0 229 NA NA NA NA NA 1224 1531 323 243 NA NA NA NA NA 561 1442 337 251 NA NA NA NA 
1742508000.0 11604.0 NA 324 573 0 149 NA NA NA NA NA 463 831 0 224 NA NA NA NA NA 1226 1470 319 235 NA NA NA NA NA 598 1476 336 249 NA NA NA NA 
1742508000.0 11606.0 NA 329 573 0 148 NA NA NA NA NA 463 851 0 227 NA NA NA NA NA 1240 1473 322 235 NA NA NA NA NA 573 1460 339 245 NA NA NA NA 
1742508000.0 11607.0 NA 320 575 0 180 NA NA NA NA NA 473 827 0 308 NA NA NA NA NA 1230 1495 327 246 NA NA NA NA NA 570 1445 339 249 NA NA NA NA 
1742508000.0 11608.0 NA 319 579 0 179 NA NA NA NA NA 465 839 0 304 NA NA NA NA NA 1233 1493 320 247 NA NA NA NA NA 569 1409 332 249 NA NA NA NA 
1742508000.0 11630.0 NA 331 630 0 153 NA NA NA NA NA 471 841 0 232 NA NA NA NA NA 1280 2048 376 239 NA NA NA NA NA 611 1633 393 244 NA NA NA NA 
1742508000.0 11634.0 NA 331 630 0 182 NA NA NA NA NA 470 835 0 304 NA NA NA NA NA 1264 1689 358 250 NA NA NA NA NA 661 1532 369 257 NA NA NA NA 
