Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1784754000.0 1005.0 NA 227 158 0 0 NA 385 246 0 0 NA 514 324 57 67 NA 825 468 115 147 
1784754000.0 101.0 178 NA NA NA NA 309 NA NA NA NA 503 NA NA NA NA 574 NA NA NA NA 
1784754000.0 1046.0 NA 109 96 0 NA NA 180 157 0 NA NA 341 259 37 NA NA 516 385 86 NA 
1784754000.0 1047.0 NA 102 117 0 NA NA 184 177 0 NA NA 341 292 43 NA NA 559 389 88 NA 
1784754000.0 1048.0 NA 112 107 0 NA NA 183 164 0 NA NA 334 286 36 NA NA 495 382 79 NA 
1784754000.0 1049.0 NA 107 0 NA NA NA 197 0 NA NA NA 741 90 NA NA NA 950 214 NA NA 
1784754000.0 105.0 168 186 104 NA NA 244 267 157 NA NA 1000 241 274 NA NA 695 435 416 NA NA 
1784754000.0 1052.0 NA 228 165 0 NA NA 377 249 0 NA NA 517 316 38 NA NA 719 474 87 NA 
1784754000.0 10804.31 132 252 0 NA NA 181 384 0 NA NA 394 291 786 NA NA 606 599 1538 NA NA 
1784754000.0 10805.31 132 285 0 NA NA 183 381 0 NA NA 458 292 784 NA NA 636 537 1590 NA NA 
1784754000.0 136.8855 NA 204 158 0 NA NA 297 291 0 NA NA 283 358 88 NA NA 461 586 217 NA 
1784754000.0 136.8885 NA 208 161 0 NA NA 293 290 0 NA NA 284 355 89 NA NA 395 529 210 NA 
1784754000.0 1360.0 0 NA NA NA NA 0 NA NA NA NA 825 NA NA NA NA 496 NA NA NA NA 
1784754000.0 1361.0 0 NA NA NA NA 0 NA NA NA NA 429 NA NA NA NA 451 NA NA NA NA 
1784754000.0 1361.17 0 NA NA NA NA 0 NA NA NA NA 441 NA NA NA NA 453 NA NA NA NA 
1784754000.0 1361.18 0 NA NA NA NA 0 NA NA NA NA 431 NA NA NA NA 439 NA NA NA NA 
1784754000.0 1361.181 0 NA NA NA NA 0 NA NA NA NA 427 NA NA NA NA 424 NA NA NA NA 
1784754000.0 1362.0 0 NA NA NA NA 0 NA NA NA NA 436 NA NA NA NA 494 NA NA NA NA 
1784754000.0 1362.17 0 NA NA NA NA 0 NA NA NA NA 431 NA NA NA NA 434 NA NA NA NA 
1784754000.0 1362.18 0 NA NA NA NA 0 NA NA NA NA 427 NA NA NA NA 423 NA NA NA NA 
1784754000.0 1363.0 0 NA NA NA NA 0 NA NA NA NA 432 NA NA NA NA 454 NA NA NA NA 
