Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1786136400.0 1001.0 NA 373 233 0 0 0 0 0 0 NA 499 314 0 0 0 0 0 0 NA 1910 509 62 45 63 160 93 166 NA 1850 708 151 140 160 223 177 229 
1786136400.0 1003.0 NA 427 0 NA NA NA NA NA NA NA 654 0 NA NA NA NA NA NA NA 2131 203 NA NA NA NA NA NA NA 1825 394 NA NA NA NA NA NA 
1786136400.0 10042.0 151 336 562 0 211 189 NA NA NA 202 443 766 0 317 275 NA NA NA 778 414 1547 362 465 523 NA NA NA 630 632 1965 650 717 803 NA NA NA 
1786136400.0 10071.0 161 352 577 0 187 189 NA NA NA 216 444 768 0 254 277 NA NA NA 1677 457 1753 359 468 530 NA NA NA 875 605 1956 547 674 800 NA NA NA 
1786136400.0 101.0 192 NA NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA NA 513 NA NA NA NA NA NA NA NA 631 NA NA NA NA NA NA NA NA 
1786136400.0 102.0 187 NA NA NA NA NA NA NA NA 291 NA NA NA NA NA NA NA NA 496 NA NA NA NA NA NA NA NA 622 NA NA NA NA NA NA NA NA 
1786136400.0 105.0 167 217 137 NA NA NA NA NA NA 247 295 193 NA NA NA NA NA NA 946 419 452 NA NA NA NA NA NA 727 648 614 NA NA NA NA NA NA 
1786136400.0 10804.31 137 329 0 NA NA NA NA NA NA 187 420 0 NA NA NA NA NA NA 426 446 1020 NA NA NA NA NA NA 642 701 1598 NA NA NA NA NA NA 
1786136400.0 10805.31 139 329 0 NA NA NA NA NA NA 192 420 0 NA NA NA NA NA NA 502 446 1031 NA NA NA NA NA NA 648 685 1571 NA NA NA NA NA NA 
1786136400.0 10824.6 159 344 579 0 215 188 NA NA NA 216 445 776 0 321 283 NA NA NA 1501 475 1722 359 470 507 NA NA NA 810 663 2155 574 691 777 NA NA NA 
1786136400.0 10825.0 147 334 562 0 184 187 NA NA NA 204 430 736 0 248 279 NA NA NA 1052 467 1550 347 465 527 NA NA NA 705 723 2004 601 749 805 NA NA NA 
1786136400.0 10842.0 152 326 560 0 210 187 NA NA NA 201 430 744 0 315 275 NA NA NA 763 439 1553 351 462 524 NA NA NA 633 680 1979 616 721 772 NA NA NA 
1786136400.0 123.1 386 NA NA NA NA NA NA NA NA 508 NA NA NA NA NA NA NA NA 732 NA NA NA NA NA NA NA NA 1107 NA NA NA NA NA NA NA NA 
1786136400.0 123.2 395 NA NA NA NA NA NA NA NA 517 NA NA NA NA NA NA NA NA 780 NA NA NA NA NA NA NA NA 996 NA NA NA NA NA NA NA NA 
1786136400.0 123.3 320 NA NA NA NA NA NA NA NA 427 NA NA NA NA NA NA NA NA 617 NA NA NA NA NA NA NA NA 980 NA NA NA NA NA NA NA NA 
