Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1789333200.0 1.0 160 197 310 NA NA NA NA NA NA 238 274 417 NA NA NA NA NA NA 983 261 702 NA NA NA NA NA NA 641 577 1222 NA NA NA NA NA NA 
1789333200.0 10.0 166 202 403 0 NA NA NA NA NA 241 287 519 0 NA NA NA NA NA 986 261 1198 324 NA NA NA NA NA 640 543 1786 647 NA NA NA NA NA 
1789333200.0 1000.0 NA 399 215 0 121 NA NA NA NA NA 528 299 0 186 NA NA NA NA NA 1894 347 252 354 NA NA NA NA NA 1898 617 551 598 NA NA NA NA 
1789333200.0 10003.0 195 321 529 0 162 204 NA NA NA 304 427 731 0 229 297 NA NA NA 3095 277 1253 351 372 469 NA NA NA 1273 565 1898 700 645 791 NA NA NA 
1789333200.0 10005.0 134 318 520 0 161 202 NA NA NA 184 407 687 0 229 290 NA NA NA 440 283 1238 337 374 457 NA NA NA 425 613 1930 657 682 799 NA NA NA 
1789333200.0 10008.0 130 319 527 0 190 203 NA NA NA 179 402 688 0 299 295 NA NA NA 348 285 1268 348 378 467 NA NA NA 410 625 1914 685 673 802 NA NA NA 
1789333200.0 10009.0 137 319 530 0 191 206 NA NA NA 189 411 696 0 305 293 NA NA NA 433 282 1291 347 384 476 NA NA NA 443 563 1931 676 662 795 NA NA NA 
1789333200.0 1001.0 NA 357 183 0 0 0 0 0 0 NA 504 272 0 0 0 0 0 0 NA 1798 438 59 43 63 156 67 170 NA 2391 699 121 96 113 209 135 230 
1789333200.0 1001.2 NA 561 232 0 0 0 0 NA NA NA 781 346 0 0 0 0 NA NA NA 7540 666 75 59 65 75 NA NA NA 3293 734 134 110 122 136 NA NA 
1789333200.0 1001.3 NA 543 213 0 NA NA NA NA NA NA 740 309 0 NA NA NA NA NA NA 6327 443 138 NA NA NA NA NA NA 3239 711 211 NA NA NA NA NA 
1789333200.0 1001.4 NA 556 183 0 0 0 NA NA NA NA 753 280 0 0 0 NA NA NA NA 6504 383 66 65 67 NA NA NA NA 3253 655 133 123 135 NA NA NA 
1789333200.0 1002.3 NA 532 228 0 NA NA NA NA NA NA 749 336 0 NA NA NA NA NA NA 5065 624 142 NA NA NA NA NA NA 2915 797 226 NA NA NA NA NA 
1789333200.0 1002.4 NA 555 0 NA NA NA NA NA NA NA 764 0 NA NA NA NA NA NA NA 7410 329 NA NA NA NA NA NA NA 3996 656 NA NA NA NA NA NA 
1789333200.0 10024.0 155 329 492 0 197 207 NA NA NA 214 421 710 0 301 303 NA NA NA 1445 302 1415 383 385 481 NA NA NA 715 569 1952 723 657 793 NA NA NA 
1789333200.0 10024.2 153 327 535 0 NA NA NA NA NA 211 411 697 0 NA NA NA NA NA 1426 297 1363 372 NA NA NA NA NA 823 534 1855 726 NA NA NA NA NA 
1789333200.0 10024.4 153 329 527 0 NA NA NA NA NA 210 413 741 0 NA NA NA NA NA 1433 297 1335 363 NA NA NA NA NA 819 534 1854 709 NA NA NA NA NA 
1789333200.0 10025.0 148 323 530 0 164 205 NA NA NA 203 418 707 0 236 294 NA NA NA 980 285 1249 372 380 470 NA NA NA 584 574 1890 715 667 793 NA NA NA 
1789333200.0 1003.0 NA 417 0 NA NA NA NA NA NA NA 665 0 NA NA NA NA NA NA NA 2038 222 NA NA NA NA NA NA NA 1717 495 NA NA NA NA NA NA 
1789333200.0 1005.0 NA 235 164 0 0 NA NA NA NA NA 394 257 0 0 NA NA NA NA NA 560 325 62 57 NA NA NA NA NA 1007 557 123 123 NA NA NA NA 
1789333200.0 10059.0 178 333 555 0 168 207 NA NA NA 247 435 731 0 238 297 NA NA NA 3964 312 1842 396 379 491 NA NA NA 1425 542 2000 730 651 796 NA NA NA 
1789333200.0 10071.0 157 328 496 0 168 205 NA NA NA 215 422 736 0 241 299 NA NA NA 1537 297 1433 385 376 481 NA NA NA 755 552 1936 721 673 805 NA NA NA 
1789333200.0 101.0 204 NA NA NA NA NA NA NA NA 326 NA NA NA NA NA NA NA NA 540 NA NA NA NA NA NA NA NA 785 NA NA NA NA NA NA NA NA 
1789333200.0 1010.0 NA 107 123 0 NA NA NA NA NA NA 177 192 0 NA NA NA NA NA NA 287 314 146 NA NA NA NA NA NA 539 551 286 NA NA NA NA NA 
1789333200.0 102.0 200 NA NA NA NA NA NA NA NA 308 NA NA NA NA NA NA NA NA 523 NA NA NA NA NA NA NA NA 792 NA NA NA NA NA NA NA NA 
1789333200.0 103.0 126 0 0 NA NA NA NA NA NA 181 0 0 NA NA NA NA NA NA 369 126 976 NA NA NA NA NA NA 432 534 1672 NA NA NA NA NA NA 
1789333200.0 1040.0 NA 508 102 0 NA NA NA NA NA NA 716 160 0 NA NA NA NA NA NA 6564 284 73 NA NA NA NA NA NA 2993 485 134 NA NA NA NA NA 
1789333200.0 10424.0 154 283 538 0 NA NA NA NA NA 212 368 699 0 NA NA NA NA NA 1460 276 1391 393 NA NA NA NA NA 909 525 1888 733 NA NA NA NA NA 
1789333200.0 1046.0 NA 122 106 0 NA NA NA NA NA NA 201 174 0 NA NA NA NA NA NA 357 286 44 NA NA NA NA NA NA 614 491 111 NA NA NA NA NA 
1789333200.0 1047.0 NA 123 126 0 NA NA NA NA NA NA 198 194 0 NA NA NA NA NA NA 356 319 51 NA NA NA NA NA NA 564 510 121 NA NA NA NA NA 
1789333200.0 1048.0 NA 122 117 0 NA NA NA NA NA NA 195 183 0 NA NA NA NA NA NA 356 318 43 NA NA NA NA NA NA 571 516 101 NA NA NA NA NA 
1789333200.0 1049.0 NA 137 0 NA NA NA NA NA NA NA 213 0 NA NA NA NA NA NA NA 784 122 NA NA NA NA NA NA NA 1068 363 NA NA NA NA NA NA 
1789333200.0 105.0 159 201 115 NA NA NA NA NA NA 237 282 176 NA NA NA NA NA NA 975 257 302 NA NA NA NA NA NA 649 551 566 NA NA NA NA NA NA 
1789333200.0 1052.0 NA 235 164 0 NA NA NA NA NA NA 392 250 0 NA NA NA NA NA NA 551 321 47 NA NA NA NA NA NA 964 556 115 NA NA NA NA NA 
1789333200.0 106.0 127 0 0 NA NA NA NA NA NA 182 0 0 NA NA NA NA NA NA 374 122 978 NA NA NA NA NA NA 444 504 1664 NA NA NA NA NA NA 
1789333200.0 10803.0 196 311 495 0 162 204 NA NA NA 290 405 702 0 232 297 NA NA NA 3099 289 1257 354 379 474 NA NA NA 1310 547 1905 683 669 801 NA NA NA 
1789333200.0 10804.31 130 309 0 NA NA NA NA NA NA 182 412 0 NA NA NA NA NA NA 375 291 840 NA NA NA NA NA NA 429 611 1758 NA NA NA NA NA NA 
1789333200.0 10805.0 132 309 520 0 162 202 NA NA NA 184 410 705 0 232 294 NA NA NA 443 298 1229 345 374 460 NA NA NA 431 664 1954 695 668 812 NA NA NA 
1789333200.0 10805.31 130 309 0 NA NA NA NA NA NA 185 425 0 NA NA NA NA NA NA 443 292 841 NA NA NA NA NA NA 453 600 1724 NA NA NA NA NA NA 
1789333200.0 10808.0 130 309 523 0 188 203 NA NA NA 181 402 696 0 294 294 NA NA NA 343 292 1261 351 381 474 NA NA NA 399 634 1914 706 671 829 NA NA NA 
1789333200.0 10823.0 142 312 521 0 161 202 NA NA NA 194 399 684 0 232 292 NA NA NA 950 294 1204 360 376 464 NA NA NA 644 582 1844 701 657 786 NA NA NA 
1789333200.0 10824.0 154 319 545 0 194 206 NA NA NA 210 409 716 0 300 300 NA NA NA 1385 317 1416 389 391 483 NA NA NA 704 570 1937 751 662 804 NA NA NA 
1789333200.0 10824.6 119 321 545 0 196 205 NA NA NA 214 412 752 0 303 295 NA NA NA 1390 315 1422 390 384 492 NA NA NA 708 571 1980 728 668 799 NA NA NA 
1789333200.0 10824.8 154 321 545 0 197 206 NA NA NA 213 417 697 0 304 300 NA NA NA 1389 317 1436 385 385 495 NA NA NA 711 568 1982 732 665 809 NA NA NA 
1789333200.0 10825.0 146 313 527 0 165 203 NA NA NA 202 394 724 0 234 295 NA NA NA 922 308 1285 374 372 467 NA NA NA 560 637 1954 720 653 816 NA NA NA 
1789333200.0 10826.0 158 323 549 0 168 207 NA NA NA 221 424 744 0 241 298 NA NA NA 2143 324 1621 393 385 481 NA NA NA 966 565 1992 730 660 796 NA NA NA 
1789333200.0 10842.0 144 313 524 0 194 202 NA NA NA 200 410 692 0 303 293 NA NA NA 696 276 1265 376 385 474 NA NA NA 512 617 1923 737 680 825 NA NA NA 
