Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1786957200.0 1005.0 NA 228 168 0 0 NA NA NA NA 383 256 0 0 NA NA NA NA 567 346 63 71 NA NA NA NA 693 431 95 120 NA NA NA 
1786957200.0 101.0 202 NA NA NA NA NA NA NA 323 NA NA NA NA NA NA NA 543 NA NA NA NA NA NA NA 568 NA NA NA NA NA NA NA 
1786957200.0 1010.0 NA 96 118 0 NA NA NA NA NA 168 183 0 NA NA NA NA NA 296 316 161 NA NA NA NA NA 345 354 216 NA NA NA NA 
1786957200.0 102.0 200 NA NA NA NA NA NA NA 320 NA NA NA NA NA NA NA 511 NA NA NA NA NA NA NA 486 NA NA NA NA NA NA NA 
1786957200.0 1046.0 NA 116 101 0 NA NA NA NA NA 191 165 0 NA NA NA NA NA 366 291 42 NA NA NA NA NA 376 309 63 NA NA NA NA 
1786957200.0 1047.0 NA 118 121 0 NA NA NA NA NA 192 182 0 NA NA NA NA NA 356 330 49 NA NA NA NA NA 361 450 68 NA NA NA NA 
1786957200.0 1048.0 NA 117 110 0 NA NA NA NA NA 189 173 0 NA NA NA NA NA 360 315 41 NA NA NA NA NA 365 363 57 NA NA NA NA 
1786957200.0 1049.0 NA 130 0 NA NA NA NA NA NA 201 0 NA NA NA NA NA NA 835 132 NA NA NA NA NA NA 868 151 NA NA NA NA NA 
1786957200.0 105.0 154 195 110 NA NA NA NA NA 233 275 164 NA NA NA NA NA 987 260 302 NA NA NA NA NA 699 253 334 NA NA NA NA NA 
1786957200.0 1052.0 NA 232 165 0 NA NA NA NA NA 381 255 0 NA NA NA NA NA 560 351 47 NA NA NA NA NA 649 387 78 NA NA NA NA 
1786957200.0 10804.31 125 307 0 NA NA NA NA NA 173 386 0 NA NA NA NA NA 392 306 753 NA NA NA NA NA 586 317 850 NA NA NA NA NA 
1786957200.0 10805.31 128 307 0 NA NA NA NA NA 176 388 0 NA NA NA NA NA 453 310 778 NA NA NA NA NA 607 300 896 NA NA NA NA NA 
1786957200.0 110.0 126 194 388 NA NA NA NA NA 175 264 528 NA NA NA NA NA 383 250 1055 NA NA NA NA NA 376 242 1126 NA NA NA NA NA 
1786957200.0 111.0 148 194 383 NA NA NA NA NA 213 272 512 NA NA NA NA NA 554 210 1071 NA NA NA NA NA 464 218 1125 NA NA NA NA NA 
1786957200.0 119.0 163 197 395 NA NA NA NA NA 235 271 520 NA NA NA NA NA 867 267 1081 NA NA NA NA NA 533 310 1019 NA NA NA NA NA 
1786957200.0 120.0 127 194 377 NA NA NA NA NA 182 267 512 NA NA NA NA NA 348 247 1051 NA NA NA NA NA 330 216 1148 NA NA NA NA NA 
1786957200.0 123.1 363 NA NA NA NA NA NA NA 518 NA NA NA NA NA NA NA 645 NA NA NA NA NA NA NA 595 NA NA NA NA NA NA NA 
1786957200.0 123.2 386 NA NA NA NA NA NA NA 527 NA NA NA NA NA NA NA 727 NA NA NA NA NA NA NA 630 NA NA NA NA NA NA NA 
1786957200.0 123.3 320 NA NA NA NA NA NA NA 435 NA NA NA NA NA NA NA 554 NA NA NA NA NA NA NA 652 NA NA NA NA NA NA NA 
1786957200.0 124.1 378 NA NA NA NA NA NA NA 496 NA NA NA NA NA NA NA 593 NA NA NA NA NA NA NA 673 NA NA NA NA NA NA NA 
1786957200.0 124.2 386 NA NA NA NA NA NA NA 535 NA NA NA NA NA NA NA 609 NA NA NA NA NA NA NA 617 NA NA NA NA NA NA NA 
1786957200.0 124.4 370 NA NA NA NA NA NA NA 491 NA NA NA NA NA NA NA 580 NA NA NA NA NA NA NA 635 NA NA NA NA NA NA NA 
1786957200.0 124.5 382 NA NA NA NA NA NA NA 489 NA NA NA NA NA NA NA 575 NA NA NA NA NA NA NA 636 NA NA NA NA NA NA NA 
