Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1742767200.0 1.0 156 161 287 NA NA NA 255 224 393 NA NA NA 663 164 418 NA NA NA 516 162 458 NA NA NA 
1742767200.0 103.0 120 0 0 NA NA NA 192 0 0 NA NA NA 273 53 539 NA NA NA 355 85 708 NA NA NA 
1742767200.0 106.0 120 0 0 NA NA NA 190 0 0 NA NA NA 272 51 543 NA NA NA 313 76 724 NA NA NA 
1742767200.0 128.0 123 162 341 NA NA NA 192 226 454 NA NA NA 262 152 611 NA NA NA 308 172 797 NA NA NA 
1742767200.0 129.0 127 162 348 NA NA NA 203 224 469 NA NA NA 264 155 609 NA NA NA 312 153 752 NA NA NA 
1742767200.0 130.0 124 162 343 NA NA NA 194 226 466 NA NA NA 278 153 621 NA NA NA 314 168 678 NA NA NA 
1742767200.0 136.8311 NA 251 0 NA NA NA NA 335 0 NA NA NA NA 853 69 NA NA NA NA 775 95 NA NA NA 
1742767200.0 136.9 NA 252 227 NA NA NA NA 380 329 NA NA NA NA 3372 511 NA NA NA NA 6664 1025 NA NA NA 
1742767200.0 140.202 NA 238 NA NA NA NA NA 336 NA NA NA NA NA 870 NA NA NA NA NA 625 NA NA NA NA 
1742767200.0 141.009 NA 0 0 0 NA NA NA 0 0 0 NA NA NA 362 2086 458 NA NA NA 478 3288 570 NA NA 
1742767200.0 144.6 NA 363 NA NA NA NA NA 484 NA NA NA NA NA 1775 NA NA NA NA NA 1403 NA NA NA NA 
1742767200.0 20034.0 171 472 524 0 191 NA 246 580 671 0 269 NA 2590 817 1220 224 510 NA 1111 640 1305 289 507 NA 
1742767200.0 20834.0 NA 550 537 0 194 NA NA 664 707 0 279 NA NA 932 1270 218 505 NA NA 983 1389 308 553 NA 
1742767200.0 20834.103 NA 548 520 0 194 NA NA 686 716 0 278 NA NA 1604 1349 223 510 NA NA 1174 1499 254 554 NA 
1742767200.0 20834.75 NA 550 543 397 0 194 NA 667 717 543 0 272 NA 931 1268 638 220 507 NA 1327 1617 662 263 525 
1742767200.0 20834.9 NA 538 545 0 195 NA NA 664 718 0 276 NA NA 946 1277 221 513 NA NA 1194 1445 261 517 NA 
1742767200.0 20834.911 150 501 539 0 196 NA 265 659 713 0 273 NA 4604 2306 2410 652 505 NA 3518 2985 1979 1023 553 NA 
1742767200.0 21061.97 953 NA NA NA NA NA 1303 NA NA NA NA NA 4899 NA NA NA NA NA 2521 NA NA NA NA NA 
1742767200.0 22034.0 169 473 504 0 191 NA 252 589 659 0 272 NA 2704 812 1255 223 495 NA 2157 661 1458 318 549 NA 
1742767200.0 22434.0 181 476 516 0 146 NA 252 571 662 0 276 NA 2658 823 1217 223 502 NA 1733 713 1481 297 520 NA 
1742767200.0 23234.0 182 459 529 0 194 NA 259 598 670 0 287 NA 3205 905 1261 238 550 NA 2690 1054 1335 331 550 NA 
1742767200.0 23634.0 174 537 497 0 196 NA 245 653 708 0 275 NA 2772 941 1238 220 507 NA 2086 849 1508 282 549 NA 
1742767200.0 24034.0 182 469 483 0 196 NA 250 580 666 0 267 NA 2792 822 1224 222 506 NA 2339 867 1445 265 531 NA 
1742767200.0 24834.0 173 471 526 0 166 NA 246 573 674 0 274 NA 2728 824 1212 220 491 NA 1736 816 1177 249 510 NA 
1742767200.0 250199.0 391 NA NA NA NA NA 529 NA NA NA NA NA 935 NA NA NA NA NA 714 NA NA NA NA NA 
1742767200.0 250199.17 398 NA NA NA NA NA 538 NA NA NA NA NA 980 NA NA NA NA NA 646 NA NA NA NA NA 
1742767200.0 25234.0 181 474 489 0 193 NA 253 588 683 0 272 NA 2774 829 1213 223 500 NA 2357 763 1381 244 491 NA 
1742767200.0 500199.0 289 NA NA NA NA NA 403 NA NA NA NA NA 607 NA NA NA NA NA 580 NA NA NA NA NA 
1742767200.0 538.0 62 0 NA NA NA NA 160 0 NA NA NA NA 3914 65 NA NA NA NA 6043 129 NA NA NA NA 
