Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3 
1755205200.0 2500.2204 NA 289 NA NA 460 NA NA 8494 NA NA 3829 NA 
1755205200.0 2500.2207 NA 209 NA NA 332 NA NA 6038 NA NA 2309 NA 
1755205200.0 2500.2208 NA 305 NA NA 491 NA NA 28867 NA NA 17605 NA 
1755205200.0 2500.2304 NA 328 NA NA 446 NA NA 6229 NA NA 2083 NA 
1755205200.0 2500.2308 NA 329 NA NA 528 NA NA 21456 NA NA 13055 NA 
1755205200.0 2500.2309 NA 88 NA NA 171 NA NA 3922 NA NA 2234 NA 
1755205200.0 2500.3205 NA 286 NA NA 483 NA NA 7200 NA NA 2664 NA 
1755205200.0 2500.3207 NA 262 NA NA 383 NA NA 5313 NA NA 2728 NA 
1755205200.0 2500.3208 NA 304 NA NA 463 NA NA 9369 NA NA 3391 NA 
1755205200.0 2500.3209 NA 303 NA NA 441 NA NA 5269 NA NA 2301 NA 
1755205200.0 2500.3304 NA 227 NA NA 378 NA NA 5915 NA NA 3180 NA 
1755205200.0 2500.3305 NA 251 NA NA 416 NA NA 6938 NA NA 3526 NA 
1755205200.0 2500.3308 NA 291 NA NA 438 NA NA 5674 NA NA 2743 NA 
1755205200.0 34034.0 188 0 NA 244 0 NA 2045 0 NA 1764 0 NA 
1755205200.0 526.0 65 87 0 103 114 0 3291 65 58 2270 94 71 
