Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1758920400.0 141.044406 NA 216 189 0 NA 293 763 0 NA 317 638 69 NA 185 310 85 
1758920400.0 141.044407 NA 216 201 0 NA 289 779 0 NA 337 733 100 NA 205 350 118 
1758920400.0 141.044408 NA 216 148 NA NA 300 711 NA NA 325 120 NA NA 209 136 NA 
1758920400.0 141.044412 NA 215 172 0 NA 288 734 0 NA 317 219 76 NA 187 205 95 
1758920400.0 141.044413 NA 215 174 0 NA 295 737 0 NA 321 295 101 NA 198 235 119 
1758920400.0 141.044414 NA 214 120 NA NA 289 638 NA NA 323 89 NA NA 190 115 NA 
1758920400.0 141.044422 NA 215 171 0 NA 293 708 0 NA 328 270 74 NA 202 228 92 
1758920400.0 141.044423 NA 216 171 0 NA 295 707 0 NA 314 265 99 NA 195 219 119 
1758920400.0 141.044424 NA 215 119 NA NA 289 636 NA NA 321 102 NA NA 194 122 NA 
1758920400.0 141.044483 NA 255 0 NA NA 846 0 NA NA 626 128 NA NA 348 153 NA 
1758920400.0 160.03502 126 241 114 0 174 330 153 0 796 152 84 0 718 149 116 0 
1758920400.0 16834.402 NA 508 234 0 NA 1190 795 0 NA 624 304 102 NA 419 294 121 
1758920400.0 16834.403 NA 557 239 0 NA 1169 802 0 NA 636 308 131 NA 465 305 150 
1758920400.0 16834.404 NA 526 174 NA NA 1149 729 NA NA 639 152 NA NA 425 172 NA 
1758920400.0 16834.406 NA 557 233 0 NA 1174 786 0 NA 622 310 108 NA 415 296 125 
1758920400.0 16834.407 NA 514 242 0 NA 1192 811 0 NA 627 309 107 NA 432 300 123 
1758920400.0 16834.408 NA 524 177 NA NA 1148 736 NA NA 629 152 NA NA 429 171 NA 
1758920400.0 16834.412 NA 560 215 0 NA 1180 782 0 NA 624 283 75 NA 420 286 89 
1758920400.0 16834.413 NA 533 216 0 NA 1176 782 0 NA 635 285 72 NA 431 289 89 
1758920400.0 16834.422 NA 559 215 0 NA 1175 750 0 NA 619 273 68 NA 416 270 82 
1758920400.0 16834.423 NA 562 204 0 NA 1172 756 0 NA 618 299 68 NA 423 290 84 
1758920400.0 16834.424 NA 489 177 NA NA 1135 713 NA NA 635 181 NA NA 437 188 NA 
1758920400.0 16850.402 NA 543 227 0 NA 1142 793 0 NA 589 279 99 NA 404 282 115 
1758920400.0 16850.403 NA 543 240 0 NA 1176 813 0 NA 607 282 108 NA 444 286 151 
1758920400.0 16850.404 NA 484 174 NA NA 1129 732 NA NA 592 156 NA NA 409 174 NA 
1758920400.0 16850.406 NA 493 228 0 NA 1167 786 0 NA 619 276 98 NA 422 280 116 
1758920400.0 16850.407 NA 543 222 0 NA 1168 816 0 NA 600 294 102 NA 417 297 119 
1758920400.0 16850.408 NA 513 174 NA NA 1138 724 NA NA 585 165 NA NA 400 188 NA 
1758920400.0 16861.402 NA 526 205 0 NA 1132 752 0 NA 565 269 86 NA 400 295 102 
1758920400.0 17034.402 NA 916 278 0 NA 1687 851 0 NA 2342 392 112 NA 1167 331 127 
1758920400.0 17034.403 NA 891 313 0 NA 1705 918 0 NA 2457 404 140 NA 1228 336 168 
1758920400.0 17034.404 NA 858 175 NA NA 1699 727 NA NA 2372 164 NA NA 1184 191 NA 
1758920400.0 17034.406 NA 886 306 0 NA 1672 901 0 NA 2427 461 121 NA 1181 348 139 
1758920400.0 17034.407 NA 881 313 0 NA 1644 889 0 NA 2150 455 119 NA 1115 341 133 
1758920400.0 17034.408 NA 834 176 NA NA 1631 735 NA NA 2214 167 NA NA 1140 184 NA 
1758920400.0 17034.412 NA 791 498 0 NA 1674 1167 0 NA 2543 684 73 NA 1245 712 89 
1758920400.0 17034.413 NA 883 508 0 NA 1709 1123 0 NA 2392 687 75 NA 1179 718 91 
1758920400.0 17034.422 NA 850 500 0 NA 1649 1151 0 NA 2458 615 69 NA 1167 658 84 
1758920400.0 17034.423 NA 907 490 0 NA 1708 1147 0 NA 2276 644 68 NA 1146 786 83 
1758920400.0 17034.424 NA 866 183 NA NA 1676 711 NA NA 2266 207 NA NA 1165 212 NA 
1758920400.0 17050.402 NA 849 273 0 NA 1613 871 0 NA 2308 378 107 NA 1146 331 121 
1758920400.0 17050.403 NA 827 287 0 NA 1629 884 0 NA 2341 368 116 NA 1130 318 156 
1758920400.0 17050.404 NA 890 176 NA NA 1658 731 NA NA 2509 154 NA NA 1164 190 NA 
1758920400.0 17050.406 NA 855 312 0 NA 1711 915 0 NA 2543 462 118 NA 1198 347 133 
1758920400.0 17050.407 NA 881 326 0 NA 1669 911 0 NA 2547 482 122 NA 1196 369 138 
1758920400.0 17050.408 NA 853 175 NA NA 1636 731 NA NA 2318 155 NA NA 1128 171 NA 
1758920400.0 17061.402 NA 830 270 0 NA 1676 857 0 NA 2227 364 108 NA 1061 320 124 
1758920400.0 29634.402 NA 698 448 0 NA 4409 1141 0 NA 1148 734 100 NA 747 657 117 
1758920400.0 29634.403 NA 690 465 0 NA 4405 1234 0 NA 1143 734 130 NA 732 659 148 
1758920400.0 29634.404 NA 699 226 NA NA 4418 923 NA NA 1143 465 NA NA 754 504 NA 
1758920400.0 29634.406 NA 706 403 0 NA 4456 1133 0 NA 1149 726 100 NA 741 633 117 
1758920400.0 29634.612 NA 318 232 0 NA 414 784 0 NA 451 318 136 NA 230 273 156 
1758920400.0 29634.704 NA 656 368 0 NA 1325 1214 0 NA 1186 772 115 NA 738 657 131 
1758920400.0 29634.751 NA 719 0 NA NA 4407 0 NA NA 1326 90 NA NA 865 107 NA 
1758920400.0 29661.402 NA 637 352 0 NA 4329 996 0 NA 1013 656 78 NA 704 631 96 
1758920400.0 29661.751 NA 646 0 NA NA 1315 0 NA NA 1101 81 NA NA 741 99 NA 
1758920400.0 29834.402 NA 1585 938 0 NA 5742 1832 0 NA 6371 1866 115 NA 2555 1052 136 
1758920400.0 29834.403 NA 1545 880 0 NA 5815 1918 0 NA 6504 2072 145 NA 2573 1083 164 
1758920400.0 29834.404 NA 1623 236 NA NA 5784 951 NA NA 6578 446 NA NA 2567 479 NA 
1758920400.0 29834.704 NA 1477 818 0 NA 2444 1796 0 NA 6852 2204 131 NA 2938 1010 148 
1758920400.0 29834.751 NA 1564 0 NA NA 5687 0 NA NA 6956 101 NA NA 2707 118 NA 
