Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1760994000.0 106.0 119 0 0 NA NA 167 0 0 NA NA 231 61 623 NA NA 268 102 709 NA NA 
1760994000.0 11834.19 NA 657 0 NA NA NA 955 0 NA NA NA 1988 0 NA NA NA 1011 0 NA NA 
1760994000.0 120.0 122 183 390 NA NA 179 260 569 NA NA 217 153 691 NA NA 339 197 858 NA NA 
1760994000.0 123.2 416 NA NA NA NA 553 NA NA NA NA 438 NA NA NA NA 366 NA NA NA NA 
1760994000.0 124.1 395 NA NA NA NA 533 NA NA NA NA 350 NA NA NA NA 341 NA NA NA NA 
1760994000.0 124.4 393 NA NA NA NA 514 NA NA NA NA 344 NA NA NA NA 305 NA NA NA NA 
1760994000.0 126.0 123 184 393 NA NA 181 256 534 NA NA 388 153 703 NA NA 478 186 832 NA NA 
1760994000.0 127.0 124 184 389 NA NA 180 260 525 NA NA 279 155 710 NA NA 305 190 910 NA NA 
1760994000.0 128.0 120 144 391 NA NA 169 256 546 NA NA 212 157 701 NA NA 314 198 881 NA NA 
1760994000.0 1301.0 141 234 345 NA NA 199 318 484 NA NA 592 169 464 NA NA 457 193 557 NA NA 
1760994000.0 1325.3 NA 254 249 0 NA NA 357 381 0 NA NA 180 300 141 NA NA 206 360 153 NA 
1760994000.0 135.3 374 0 232 174 NA 502 0 331 259 NA 342 94 264 198 NA 463 149 390 233 NA 
1760994000.0 140.6 NA 96 438 0 NA NA 138 633 0 NA NA 47 425 138 NA NA 107 471 159 NA 
1760994000.0 144.6 NA 412 NA NA NA NA 567 NA NA NA NA 1339 NA NA NA NA 1725 NA NA NA 
1760994000.0 2500.0004 NA 334 0 NA NA NA 517 0 NA NA NA 27191 65 NA NA NA 8029 86 NA NA 
1760994000.0 2500.0401 NA 223 195 0 NA NA 308 285 0 NA NA 414 307 70 NA NA 283 392 106 NA 
1760994000.0 2500.0402 NA 226 195 0 NA NA 315 282 0 NA NA 416 325 71 NA NA 326 373 93 NA 
1760994000.0 2500.0403 NA 227 199 0 NA NA 308 288 0 NA NA 429 328 75 NA NA 331 427 118 NA 
1760994000.0 2500.0404 NA 227 197 0 NA NA 301 298 0 NA NA 431 317 66 NA NA 294 413 88 NA 
1760994000.0 2500.0501 NA 216 182 0 NA NA 316 248 0 NA NA 323 286 68 NA NA 317 368 85 NA 
1760994000.0 2500.0502 NA 223 187 0 NA NA 307 251 0 NA NA 366 313 66 NA NA 343 420 94 NA 
1760994000.0 2500.0503 NA 222 188 0 NA NA 317 254 0 NA NA 369 299 65 NA NA 346 381 79 NA 
1760994000.0 2500.1201 NA 220 204 0 NA NA 306 297 0 NA NA 401 308 67 NA NA 344 339 91 NA 
1760994000.0 2500.1301 NA 249 190 0 NA NA 338 263 0 NA NA 378 276 65 NA NA 242 296 78 NA 
1760994000.0 2500.1501 NA 169 NA NA NA NA 265 NA NA NA NA 3218 NA NA NA NA 1085 NA NA NA 
1760994000.0 2500.1502 NA 157 NA NA NA NA 247 NA NA NA NA 7438 NA NA NA NA 5045 NA NA NA 
1760994000.0 2500.1503 NA 168 NA NA NA NA 274 NA NA NA NA 4341 NA NA NA NA 1350 NA NA NA 
1760994000.0 2500.1504 NA 156 NA NA NA NA 248 NA NA NA NA 9700 NA NA NA NA 6182 NA NA NA 
1760994000.0 2500.2208 NA 310 NA NA NA NA 486 NA NA NA NA 26971 NA NA NA NA 12253 NA NA NA 
1760994000.0 2500.2308 NA 318 NA NA NA NA 511 NA NA NA NA 20710 NA NA NA NA 7065 NA NA NA 
1760994000.0 2500.2309 NA 337 NA NA NA NA 517 NA NA NA NA 20530 NA NA NA NA 9708 NA NA NA 
1760994000.0 2500.231 NA 100 NA NA NA NA 163 NA NA NA NA 4011 NA NA NA NA 2241 NA NA NA 
1760994000.0 2500.2403 NA 128 NA NA NA NA 196 NA NA NA NA 157 NA NA NA NA 175 NA NA NA 
1760994000.0 2500.3204 NA 308 NA NA NA NA 435 NA NA NA NA 6974 NA NA NA NA 1983 NA NA NA 
1760994000.0 2500.3205 NA 331 NA NA NA NA 471 NA NA NA NA 7594 NA NA NA NA 2538 NA NA NA 
1760994000.0 2500.3208 NA 299 NA NA NA NA 460 NA NA NA NA 9542 NA NA NA NA 3606 NA NA NA 
1760994000.0 2500.3305 NA 309 NA NA NA NA 411 NA NA NA NA 6923 NA NA NA NA 2325 NA NA NA 
