Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueVsize2 PeakValueVsize3 TotalJobCPU2 TotalJobCPU3 TotalJobTime2 TotalJobTime3 
1759957200.0 2500.1101 301 0 423 0 17404 79 6903 140 
1759957200.0 2500.2204 294 NA 444 NA 9956 NA 3680 NA 
1759957200.0 2500.2208 312 NA 464 NA 29206 NA 12571 NA 
1759957200.0 2500.2309 333 NA 518 NA 19247 NA 5650 NA 
1759957200.0 2500.3204 293 NA 432 NA 8419 NA 3904 NA 
1759957200.0 2500.3205 341 NA 477 NA 8852 NA 2881 NA 
1759957200.0 2500.3208 309 NA 456 NA 10446 NA 3735 NA 
1759957200.0 2500.3209 294 NA 428 NA 6338 NA 2420 NA 
1759957200.0 2500.3305 310 NA 420 NA 7705 NA 2584 NA 
1759957200.0 2500.3308 237 NA 381 NA 3885 NA 1496 NA 
