Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1788040800.0 138.3 NA 72 470 0 NA 116 678 0 NA 29 1811 142 NA 213 1653 208 
1788040800.0 144.6 NA 400 NA NA NA 557 NA NA NA 1737 NA NA NA 1980 NA NA 
1788040800.0 180.1 0 NA NA NA 0 NA NA NA 2644 NA NA NA 1554 NA NA NA 
1788040800.0 2500.1502 NA 145 NA NA NA 240 NA NA NA 9085 NA NA NA 16017 NA NA 
1788040800.0 2500.1504 NA 144 NA NA NA 240 NA NA NA 11480 NA NA NA 18026 NA NA 
1788040800.0 2500.2204 NA 269 NA NA NA 444 NA NA NA 8515 NA NA NA 3673 NA NA 
1788040800.0 2500.2208 NA 289 NA NA NA 511 NA NA NA 34027 NA NA NA 29150 NA NA 
1788040800.0 2500.2308 NA 312 NA NA NA 527 NA NA NA 25143 NA NA NA 22445 NA NA 
1788040800.0 2500.2309 NA 311 NA NA NA 521 NA NA NA 25141 NA NA NA 22358 NA NA 
1788040800.0 2500.231 NA 91 NA NA NA 163 NA NA NA 3877 NA NA NA 3063 NA NA 
1788040800.0 2500.3204 NA 284 NA NA NA 447 NA NA NA 7134 NA NA NA 2257 NA NA 
1788040800.0 2500.3205 NA 310 NA NA NA 472 NA NA NA 7723 NA NA NA 2712 NA NA 
1788040800.0 2500.3208 NA 293 NA NA NA 460 NA NA NA 12165 NA NA NA 4412 NA NA 
1788040800.0 2500.321 NA 314 NA NA NA 520 NA NA NA 9663 NA NA NA 4134 NA NA 
1788040800.0 2500.3312 NA 96 NA NA NA 156 NA NA NA 4093 NA NA NA 3970 NA NA 
1788040800.0 2500.4301 NA 85 NA NA NA 149 NA NA NA 8488 NA NA NA 12997 NA NA 
