Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1782939600.0 103.0 111 0 0 NA NA 170 0 0 NA NA 345 90 784 NA NA 633 396 1284 NA NA 
1782939600.0 110.0 115 172 360 NA NA 177 258 509 NA NA 315 194 972 NA NA 475 458 2017 NA NA 
1782939600.0 111.0 129 173 362 NA NA 217 256 498 NA NA 522 192 948 NA NA 615 535 1917 NA NA 
1782939600.0 113.0 144 177 368 NA NA 239 264 496 NA NA 967 224 944 NA NA 761 503 1582 NA NA 
1782939600.0 119.0 137 176 371 NA NA 234 260 518 NA NA 838 210 1032 NA NA 778 494 1966 NA NA 
1782939600.0 122.0 116 164 349 NA NA 187 240 489 NA NA 368 160 943 NA NA 633 457 1628 NA NA 
1782939600.0 126.0 115 173 363 NA NA 196 253 508 NA NA 518 201 999 NA NA 567 486 2062 NA NA 
1782939600.0 127.0 115 173 358 NA NA 172 249 518 NA NA 367 204 1000 NA NA 534 471 1598 NA NA 
1782939600.0 128.0 114 173 356 NA NA 174 258 519 NA NA 325 207 1011 NA NA 611 480 1636 NA NA 
1782939600.0 129.0 114 173 357 NA NA 174 248 509 NA NA 344 202 949 NA NA 623 492 1730 NA NA 
1782939600.0 130.0 115 174 359 NA NA 174 258 498 NA NA 341 211 937 NA NA 608 493 1748 NA NA 
1782939600.0 1301.0 138 220 277 NA NA 209 306 447 NA NA 909 262 585 NA NA 873 516 1251 NA NA 
1782939600.0 1301.17 125 288 301 NA NA 184 388 479 NA NA 895 290 682 NA NA 799 544 1325 NA NA 
1782939600.0 131.0 115 173 363 NA NA 176 261 527 NA NA 461 212 993 NA NA 578 473 1698 NA NA 
1782939600.0 140.051 NA 209 586 NA NA NA 296 826 NA NA NA 233 5402 NA NA NA 275 2272 NA NA 
1782939600.0 140.113 NA 0 0 0 NA NA 0 0 0 NA NA 80 1120 540 NA NA 274 1386 868 NA 
1782939600.0 141.102 NA 209 632 0 NA NA 297 869 0 NA NA 251 8441 141 NA NA 351 3632 288 NA 
1782939600.0 141.11 NA 206 604 0 NA NA 288 907 0 NA NA 280 8111 139 NA NA 439 3353 355 NA 
1782939600.0 144.6 NA 381 NA NA NA NA 519 NA NA NA NA 1902 NA NA NA NA 2922 NA NA NA 
1782939600.0 2500.1502 NA 135 NA NA NA NA 241 NA NA NA NA 8786 NA NA NA NA 10220 NA NA NA 
1782939600.0 2500.1504 NA 135 NA NA NA NA 239 NA NA NA NA 11443 NA NA NA NA 11561 NA NA NA 
1782939600.0 2500.231 NA 98 NA NA NA NA 153 NA NA NA NA 3382 NA NA NA NA 2188 NA NA NA 
1782939600.0 2500.3312 NA 99 NA NA NA NA 154 NA NA NA NA 3648 NA NA NA NA 2082 NA NA NA 
1782939600.0 2500.4301 NA 73 NA NA NA NA 141 NA NA NA NA 7521 NA NA NA NA 8255 NA NA NA 
1782939600.0 29634.0 216 661 783 0 274 272 949 983 0 375 2153 913 1339 286 442 1426 1023 1664 545 543 
1782939600.0 31234.0 216 636 727 0 265 271 823 947 0 374 3385 1515 2204 466 689 2096 1619 3121 1099 1237 
1782939600.0 32034.0 217 645 666 NA NA 276 853 822 NA NA 3616 1426 1797 NA NA 3123 1752 3193 NA NA 
1782939600.0 34034.0 240 640 716 0 272 298 823 952 0 372 2807 1425 1968 439 732 2263 1958 2972 895 961 
1782939600.0 34434.0 NA 599 712 0 261 NA 859 976 0 366 NA 1384 2257 435 696 NA 1724 3376 1067 1158 
1782939600.0 34434.911 185 581 719 0 230 276 833 993 0 369 5247 3593 3720 913 721 5442 4033 4070 1651 1151 
1782939600.0 34496.0 NA 597 635 0 249 NA 784 858 0 364 NA 1079 1812 325 674 NA 1414 3294 682 1308 
1782939600.0 36034.0 218 634 709 0 263 271 855 944 0 367 3089 1187 2083 464 594 2753 1375 3331 875 1092 
1782939600.0 37234.0 212 635 725 0 270 288 822 958 0 371 2669 1222 2015 375 650 2856 1481 3293 700 997 
1782939600.0 4003.0 138 177 372 NA NA 236 260 508 NA NA 583 186 1024 NA NA 589 443 1746 NA NA 
