Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3 
1782597600.0 103.0 122 0 0 173 0 0 237 59 491 287 106 525 
1782597600.0 110.0 126 175 376 176 254 524 235 155 588 316 200 680 
1782597600.0 120.0 123 181 375 174 257 509 217 150 590 273 207 710 
1782597600.0 130.0 125 182 375 175 255 518 236 148 620 259 189 702 
1782597600.0 140.051 NA 208 587 NA 299 811 NA 303 5028 NA 240 1900 
1782597600.0 2500.1502 NA 151 NA NA 237 NA NA 7343 NA NA 8245 NA 
1782597600.0 2500.1504 NA 151 NA NA 247 NA NA 9574 NA NA 9031 NA 
1782597600.0 2500.231 NA 89 NA NA 154 NA NA 3029 NA NA 1593 NA 
1782597600.0 2500.3312 NA 97 NA NA 153 NA NA 4319 NA NA 2810 NA 
1782597600.0 2500.4301 NA 96 NA NA 142 NA NA 5938 NA NA 6425 NA 
1782597600.0 29634.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA 
1782597600.0 526.0 66 89 0 102 119 0 4190 58 47 4068 86 63 
