Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1782810000.0 103.0 113 0 0 NA 173 0 0 NA 297 77 610 NA 338 105 614 NA 
1782810000.0 128.0 114 180 358 NA 174 259 510 NA 234 178 730 NA 262 242 818 NA 
1782810000.0 129.0 114 177 358 NA 176 260 496 NA 245 186 695 NA 326 268 990 NA 
1782810000.0 130.0 116 179 360 NA 175 254 504 NA 266 176 784 NA 390 251 877 NA 
1782810000.0 1301.0 128 220 297 NA 197 306 464 NA 657 186 505 NA 509 234 684 NA 
1782810000.0 136.737 NA 178 459 0 NA 264 650 0 NA 185 4513 112 NA 200 1970 131 
1782810000.0 136.777 NA 178 467 0 NA 261 621 0 NA 172 4375 100 NA 206 1815 138 
1782810000.0 136.807 NA 206 476 0 NA 290 702 0 NA 161 4671 117 NA 135 1893 138 
1782810000.0 140.051 NA 208 615 NA NA 293 827 NA NA 224 5284 NA NA 246 1994 NA 
1782810000.0 144.6 NA 385 NA NA NA 541 NA NA NA 1274 NA NA NA 1210 NA NA 
1782810000.0 2500.1502 NA 146 NA NA NA 237 NA NA NA 7985 NA NA NA 8529 NA NA 
1782810000.0 2500.1504 NA 144 NA NA NA 237 NA NA NA 10422 NA NA NA 9610 NA NA 
1782810000.0 2500.231 NA 88 NA NA NA 155 NA NA NA 3573 NA NA NA 1839 NA NA 
1782810000.0 2500.3312 NA 98 NA NA NA 153 NA NA NA 3580 NA NA NA 2456 NA NA 
1782810000.0 2500.4301 NA 91 NA NA NA 140 NA NA NA 6474 NA NA NA 6977 NA NA 
1782810000.0 32034.0 222 658 670 NA 278 924 798 NA 2752 1113 1400 NA 1223 717 1202 NA 
1782810000.0 518.0 67 93 0 NA 103 127 0 NA 3511 81 53 NA 2749 92 66 NA 
1782810000.0 529.0 66 89 0 NA 103 118 0 NA 3509 69 54 NA 2746 98 69 NA 
