Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1784494800.0 1.0 158 184 305 NA NA NA 236 261 421 NA NA NA 631 155 394 NA NA NA 757 236 733 NA NA NA 
1784494800.0 1002.0 NA 366 130 NA NA NA NA 541 164 NA NA NA NA 1236 83 NA NA NA NA 1747 94 NA NA NA 
1784494800.0 1003.0 NA 406 0 NA NA NA NA 646 0 NA NA NA NA 1122 114 NA NA NA NA 1137 202 NA NA NA 
1784494800.0 1005.0 NA 221 162 0 0 NA NA 378 254 0 0 NA NA 358 169 36 50 NA NA 705 325 81 121 NA 
1784494800.0 101.0 190 NA NA NA NA NA 312 NA NA NA NA NA 322 NA NA NA NA NA 429 NA NA NA NA NA 
1784494800.0 1010.0 NA 95 112 0 NA NA NA 159 176 0 NA NA NA 139 146 56 NA NA NA 310 304 99 NA NA 
1784494800.0 102.0 184 NA NA NA NA NA 295 NA NA NA NA NA 305 NA NA NA NA NA 436 NA NA NA NA NA 
1784494800.0 103.0 125 0 0 NA NA NA 178 0 0 NA NA NA 246 60 550 NA NA NA 468 128 1001 NA NA NA 
1784494800.0 1046.0 NA 108 94 0 NA NA NA 179 159 0 NA NA NA 183 135 26 NA NA NA 361 250 63 NA NA 
1784494800.0 1047.0 NA 108 113 0 NA NA NA 182 182 0 NA NA NA 183 154 30 NA NA NA 358 258 65 NA NA 
1784494800.0 1048.0 NA 109 105 0 NA NA NA 183 169 0 NA NA NA 183 152 27 NA NA NA 387 264 62 NA NA 
1784494800.0 1049.0 NA 123 0 NA NA NA NA 193 0 NA NA NA NA 555 58 NA NA NA NA 992 117 NA NA NA 
1784494800.0 105.0 157 187 102 NA NA NA 240 263 160 NA NA NA 637 156 145 NA NA NA 692 235 284 NA NA NA 
1784494800.0 1052.0 NA 224 163 0 NA NA NA 385 253 0 NA NA NA 293 166 25 NA NA NA 619 330 61 NA NA 
1784494800.0 106.0 124 0 0 NA NA NA 178 0 0 NA NA NA 249 62 537 NA NA NA 411 124 971 NA NA NA 
1784494800.0 10804.31 129 297 500 0 155 192 178 390 689 0 224 278 260 178 1046 182 221 219 488 398 3153 359 405 389 
1784494800.0 10805.31 130 298 502 0 154 194 180 380 707 0 221 281 301 179 734 188 215 222 556 415 2462 505 384 426 
1784494800.0 110.0 123 178 336 NA NA NA 179 265 523 NA NA NA 261 161 678 NA NA NA 308 146 739 NA NA NA 
1784494800.0 111.0 123 175 370 NA NA NA 204 256 516 NA NA NA 303 129 691 NA NA NA 272 195 814 NA NA NA 
1784494800.0 116.0 164 191 401 NA NA NA 238 275 532 NA NA NA 743 171 668 NA NA NA 650 236 1185 NA NA NA 
1784494800.0 120.0 119 177 372 NA NA NA 196 261 507 NA NA NA 232 160 713 NA NA NA 235 148 788 NA NA NA 
1784494800.0 122.0 120 174 359 NA NA NA 193 254 521 NA NA NA 256 126 631 NA NA NA 291 188 674 NA NA NA 
1784494800.0 123.1 390 NA NA NA NA NA 521 NA NA NA NA NA 368 NA NA NA NA NA 541 NA NA NA NA NA 
1784494800.0 123.2 397 NA NA NA NA NA 535 NA NA NA NA NA 426 NA NA NA NA NA 605 NA NA NA NA NA 
1784494800.0 123.3 319 NA NA NA NA NA 429 NA NA NA NA NA 308 NA NA NA NA NA 530 NA NA NA NA NA 
1784494800.0 124.1 336 NA NA NA NA NA 501 NA NA NA NA NA 325 NA NA NA NA NA 589 NA NA NA NA NA 
1784494800.0 124.2 336 NA NA NA NA NA 515 NA NA NA NA NA 341 NA NA NA NA NA 533 NA NA NA NA NA 
1784494800.0 124.4 348 NA NA NA NA NA 482 NA NA NA NA NA 330 NA NA NA NA NA 581 NA NA NA NA NA 
1784494800.0 124.5 385 NA NA NA NA NA 489 NA NA NA NA NA 329 NA NA NA NA NA 529 NA NA NA NA NA 
1784494800.0 124.6 279 NA NA NA NA NA 423 NA NA NA NA NA 320 NA NA NA NA NA 556 NA NA NA NA NA 
1784494800.0 127.0 100 183 368 NA NA NA 180 261 520 NA NA NA 299 167 707 NA NA NA 321 215 752 NA NA NA 
1784494800.0 128.0 124 186 379 NA NA NA 176 262 514 NA NA NA 231 154 634 NA NA NA 420 238 1183 NA NA NA 
1784494800.0 129.0 119 178 365 NA NA NA 179 263 520 NA NA NA 226 161 681 NA NA NA 224 196 768 NA NA NA 
1784494800.0 130.0 127 186 335 NA NA NA 180 260 532 NA NA NA 241 152 639 NA NA NA 444 250 1209 NA NA NA 
1784494800.0 1301.0 151 231 329 NA NA NA 215 316 459 NA NA NA 629 163 383 NA NA NA 777 233 776 NA NA NA 
1784494800.0 1301.17 137 302 354 NA NA NA 190 394 512 NA NA NA 666 185 438 NA NA NA 754 291 859 NA NA NA 
1784494800.0 1304.182 102 297 302 262 NA NA 188 395 467 350 NA NA 705 190 276 258 NA NA 663 258 511 480 NA NA 
1784494800.0 1307.0 121 207 277 105 0 NA 171 283 412 166 0 NA 530 109 315 149 78 NA 803 209 536 296 149 NA 
1784494800.0 1308.0 122 228 271 106 0 NA 169 312 405 167 0 NA 229 154 227 144 79 NA 396 262 429 253 155 NA 
1784494800.0 131.0 133 186 387 NA NA NA 203 267 527 NA NA NA 361 151 658 NA NA NA 487 248 1149 NA NA NA 
1784494800.0 1312.0 166 242 465 0 NA NA 230 324 603 0 NA NA 720 168 681 153 NA NA 517 213 931 255 NA NA 
