Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1786179600.0 1.0 158 184 307 NA NA NA NA NA 236 263 410 NA NA NA NA NA 638 152 365 NA NA NA NA NA 440 157 448 NA NA NA NA NA 
1786179600.0 1003.0 NA 408 0 NA NA NA NA NA NA 657 0 NA NA NA NA NA NA 1068 108 NA NA NA NA NA NA 684 162 NA NA NA NA NA 
1786179600.0 1005.0 NA 223 161 0 0 NA NA NA NA 387 252 0 0 NA NA NA NA 283 170 33 47 NA NA NA NA 407 296 43 91 NA NA NA 
1786179600.0 10059.0 174 323 551 0 161 197 NA NA 246 402 730 0 222 285 NA NA 2757 196 1030 192 211 219 NA NA 1091 197 883 252 288 339 NA NA 
1786179600.0 101.0 189 NA NA NA NA NA NA NA 308 NA NA NA NA NA NA NA 319 NA NA NA NA NA NA NA 335 NA NA NA NA NA NA NA 
1786179600.0 1010.0 NA 93 113 0 NA NA NA NA NA 160 181 0 NA NA NA NA NA 137 148 52 NA NA NA NA NA 230 164 69 NA NA NA NA 
1786179600.0 102.0 184 NA NA NA NA NA NA NA 292 NA NA NA NA NA NA NA 302 NA NA NA NA NA NA NA 327 NA NA NA NA NA NA NA 
1786179600.0 103.0 134 178 380 NA NA NA NA NA 192 260 507 NA NA NA NA NA 301 103 570 NA NA NA NA NA 355 174 723 NA NA NA NA NA 
1786179600.0 1046.0 NA 108 93 0 NA NA NA NA NA 176 158 0 NA NA NA NA NA 181 135 22 NA NA NA NA NA 279 167 38 NA NA NA NA 
1786179600.0 1047.0 NA 107 113 0 NA NA NA NA NA 178 176 0 NA NA NA NA NA 182 154 27 NA NA NA NA NA 266 197 43 NA NA NA NA 
1786179600.0 1048.0 NA 107 102 0 NA NA NA NA NA 177 165 0 NA NA NA NA NA 180 150 22 NA NA NA NA NA 223 176 38 NA NA NA NA 
1786179600.0 1049.0 NA 121 0 NA NA NA NA NA NA 189 0 NA NA NA NA NA NA 463 52 NA NA NA NA NA NA 578 68 NA NA NA NA NA 
1786179600.0 105.0 157 187 102 NA NA NA NA NA 235 266 159 NA NA NA NA NA 613 149 142 NA NA NA NA NA 433 197 175 NA NA NA NA NA 
1786179600.0 1052.0 NA 226 161 0 NA NA NA NA NA 379 249 0 NA NA NA NA NA 295 168 23 NA NA NA NA NA 432 239 32 NA NA NA NA 
1786179600.0 106.0 123 0 0 NA NA NA NA NA 172 0 0 NA NA NA NA NA 241 57 501 NA NA NA NA NA 278 80 687 NA NA NA NA NA 
1786179600.0 10804.31 128 296 516 0 154 192 NA NA 172 396 699 0 219 283 NA NA 248 176 978 170 211 214 NA NA 417 268 2510 272 347 303 NA NA 
1786179600.0 10805.31 128 297 497 0 154 191 NA NA 173 397 692 0 221 274 NA NA 294 173 703 169 212 213 NA NA 484 249 2056 237 314 312 NA NA 
1786179600.0 10859.0 172 310 548 0 160 197 NA NA 245 410 721 0 229 294 NA NA 2750 206 964 192 210 215 NA NA 1041 219 914 244 239 264 NA NA 
1786179600.0 110.0 119 176 370 NA NA NA NA NA 177 263 520 NA NA NA NA NA 249 152 621 NA NA NA NA NA 244 136 616 NA NA NA NA NA 
1786179600.0 111.0 123 174 370 NA NA NA NA NA 199 264 526 NA NA NA NA NA 336 118 615 NA NA NA NA NA 337 141 651 NA NA NA NA NA 
1786179600.0 112.0 172 192 392 NA NA NA NA NA 246 276 518 NA NA NA NA NA 751 157 626 NA NA NA NA NA 385 142 785 NA NA NA NA NA 
1786179600.0 113.0 170 189 394 NA NA NA NA NA 242 269 540 NA NA NA NA NA 675 156 624 NA NA NA NA NA 373 137 768 NA NA NA NA NA 
1786179600.0 114.0 164 189 396 NA NA NA NA NA 240 265 537 NA NA NA NA NA 653 156 621 NA NA NA NA NA 356 170 599 NA NA NA NA NA 
1786179600.0 115.0 168 191 399 NA NA NA NA NA 247 265 533 NA NA NA NA NA 740 157 628 NA NA NA NA NA 396 139 625 NA NA NA NA NA 
1786179600.0 116.0 167 191 399 NA NA NA NA NA 241 265 516 NA NA NA NA NA 721 158 629 NA NA NA NA NA 487 179 648 NA NA NA NA NA 
1786179600.0 11630.0 177 327 599 0 162 NA NA NA 243 429 793 0 234 NA NA NA 2904 218 1141 196 199 NA NA NA 1332 156 1063 307 245 NA NA NA 
1786179600.0 119.0 141 180 380 NA NA NA NA NA 237 262 516 NA NA NA NA NA 580 158 650 NA NA NA NA NA 343 142 643 NA NA NA NA NA 
1786179600.0 120.0 128 184 373 NA NA NA NA NA 186 257 532 NA NA NA NA NA 228 141 573 NA NA NA NA NA 313 166 691 NA NA NA NA NA 
1786179600.0 122.0 131 175 369 NA NA NA NA NA 187 245 519 NA NA NA NA NA 242 101 580 NA NA NA NA NA 268 153 732 NA NA NA NA NA 
1786179600.0 123.1 401 NA NA NA NA NA NA NA 528 NA NA NA NA NA NA NA 357 NA NA NA NA NA NA NA 456 NA NA NA NA NA NA NA 
1786179600.0 123.2 397 NA NA NA NA NA NA NA 511 NA NA NA NA NA NA NA 408 NA NA NA NA NA NA NA 448 NA NA NA NA NA NA NA 
1786179600.0 123.3 318 NA NA NA NA NA NA NA 425 NA NA NA NA NA NA NA 303 NA NA NA NA NA NA NA 438 NA NA NA NA NA NA NA 
1786179600.0 124.1 384 NA NA NA NA NA NA NA 488 NA NA NA NA NA NA NA 315 NA NA NA NA NA NA NA 458 NA NA NA NA NA NA NA 
1786179600.0 124.2 394 NA NA NA NA NA NA NA 518 NA NA NA NA NA NA NA 329 NA NA NA NA NA NA NA 440 NA NA NA NA NA NA NA 
1786179600.0 124.4 383 NA NA NA NA NA NA NA 499 NA NA NA NA NA NA NA 305 NA NA NA NA NA NA NA 387 NA NA NA NA NA NA NA 
1786179600.0 124.5 384 NA NA NA NA NA NA NA 488 NA NA NA NA NA NA NA 319 NA NA NA NA NA NA NA 446 NA NA NA NA NA NA NA 
1786179600.0 124.6 319 NA NA NA NA NA NA NA 421 NA NA NA NA NA NA NA 308 NA NA NA NA NA NA NA 436 NA NA NA NA NA NA NA 
1786179600.0 12434.521 153 317 153 0 NA NA NA NA 195 413 223 0 NA NA NA NA 1094 202 133 61 NA NA NA NA 701 135 168 77 NA NA NA NA 
1786179600.0 126.0 134 177 372 NA NA NA NA NA 206 259 508 NA NA NA NA NA 387 155 617 NA NA NA NA NA 296 166 636 NA NA NA NA NA 
1786179600.0 127.0 119 183 372 NA NA NA NA NA 178 262 517 NA NA NA NA NA 282 146 602 NA NA NA NA NA 307 151 704 NA NA NA NA NA 
1786179600.0 128.0 116 175 370 NA NA NA NA NA 174 263 511 NA NA NA NA NA 221 149 601 NA NA NA NA NA 230 154 723 NA NA NA NA NA 
1786179600.0 129.0 116 179 368 NA NA NA NA NA 176 266 513 NA NA NA NA NA 222 149 607 NA NA NA NA NA 211 125 680 NA NA NA NA NA 
1786179600.0 130.0 125 186 382 NA NA NA NA NA 174 257 522 NA NA NA NA NA 236 142 579 NA NA NA NA NA 296 177 625 NA NA NA NA NA 
1786179600.0 1301.0 147 231 331 NA NA NA NA NA 202 315 454 NA NA NA NA NA 613 161 369 NA NA NA NA NA 436 176 555 NA NA NA NA NA 
1786179600.0 1301.17 137 301 355 NA NA NA NA NA 188 392 509 NA NA NA NA NA 685 169 407 NA NA NA NA NA 517 160 694 NA NA NA NA NA 
